Column,Notice Date,Effective Date,Received Date,Company,Company 2,City,County,Employees,Layoff/Closure,County Orig,Year,Layoff/Closure clean
724,06/03/2020,06/05/2020,09/20/2020,Wyndham Vacation Ownership - Canterbury,Wyndham Vacation Ownership - Anaheim Resort,San Francisco,San Francisco County,3.0,Layoff Permanent,San Francisco County,2020,layoff permanent
725,06/03/2020,06/05/2020,09/20/2020,Wyndham Vacation Ownership - Canterbury Resort,Wyndham Vacation Ownership - Anaheim Resort,San Francisco,San Francisco County,5.0,Layoff Temporary,San Francisco County,2020,layoff temporary
726,05/15/2020,06/01/2020,09/20/2020,Wyndham Vacation Ownership - Canterbury Resort,Wyndham Vacation Ownership - Anaheim Resort,San Francisco,San Francisco County,1.0,Layoff Permanent,San Francisco County,2020,layoff permanent
727,07/10/2020,07/03/2020,09/20/2020,Wyndham Vacation Ownership - Canterbury Resort,Wyndham Vacation Ownership - Anaheim Resort,San Francisco,San Francisco County,6.0,Layoff Permanent,San Francisco County,2020,layoff permanent
728,07/10/2020,07/03/2020,09/20/2020,Wyndham Vacation Ownership - SF Nob Hill Resort,Wyndham Vacation Ownership - Anaheim Resort,San Francisco,San Francisco County,2.0,Layoff Permanent,San Francisco County,2020,layoff permanent
729,05/05/2020,04/03/2020,09/19/2020,"C&J Well Services, Inc., a Basic Energy Services, Inc. Company","C&J Well Services, Inc., a Basic Energy Services, Inc. Company",Bakersfield,Kern County,69.0,Layoff Permanent,Kern County,2020,layoff permanent
730,05/15/2020,05/15/2020,09/19/2020,"Live Nation Entertainment, Inc Corporate Division",Live Nation Entertainment Inc,Hollywood,Los Angeles County,18.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
731,05/13/2020,05/15/2020,09/19/2020,"Live Nation Entertainment, Inc. Corporate Division",Live Nation Entertainment Inc,Beverly Hills,Los Angeles County,15.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
732,05/14/2020,05/15/2020,09/19/2020,"Live Nation Entertainment, Inc Tour Design and Information and Security Division",Live Nation Entertainment Inc,Beverly Hills,Los Angeles County,4.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
733,05/14/2020,05/15/2020,09/19/2020,"Live Nation Entertainment, Inc. Tour Design and Information and Security Division",Live Nation Entertainment Inc,Los Angeles,Los Angeles County,3.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
734,03/20/2020,03/16/2020,09/19/2020,SPROUT SANTA FE CAFE DBA BON TEMPS,SPROUT SANTA FE CAFE DBA BON TEMPS,Los Angeles,Los Angeles County,55.0,Closure Permanent,Los Angeles County,2020,closure permanent
735,05/20/2020,05/21/2020,09/19/2020,"Safran Electronics & Defense, Avionics USA, LLC","Safran Electronics & Defense, Avionics USA, LLC",Irvine,Orange County,55.0,Layoff Permanent,Orange County,2020,layoff permanent
736,05/18/2020,05/22/2020,09/19/2020,"Live Nation Entertainment, Inc. U.S. Concerts Division IT Department",Live Nation Entertainment Inc,San Francisco,San Francisco County,2.0,Layoff Temporary,San Francisco County,2020,layoff temporary
737,03/31/2020,03/31/2020,09/19/2020,ASM Global,ASM Global,Stockton,San Joaquin County,483.0,Layoff Temporary,San Joaquin County,2020,layoff temporary
738,05/26/2020,05/30/2020,09/19/2020,Cal Poly Corporation,Cal Poly Corporation,San Luis Obispo,San Luis Obispo County,120.0,Layoff Temporary,San Luis Obispo County,2020,layoff temporary
739,05/26/2020,03/30/2020,09/19/2020,"LAZ Parking California, LLC","LAZ Parking California, LLC",San Diego,San Diego County,2260.0,Layoff Temporary,San Diego County,2020,layoff temporary
740,05/02/2020,03/31/2020,09/19/2020,"Areas USA, Inc","Areas USA, Inc",Los Angeles,Los Angeles County,738.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
741,05/30/2020,06/01/2020,09/19/2020,CMC Rebar West,CMC Rebar West,Napa,Napa County,25.0,Layoff Permanent,Napa County,2020,layoff permanent
742,04/03/2020,05/18/2020,09/19/2020,"Out West Restaurant Group, Inc dba Outback Steakhouse",Out West Restaurant Group Inc ,Cupertino,Santa Clara County,67.0,Closure Permanent,Santa Clara County,2020,closure permanent
743,05/08/2020,05/09/2020,09/19/2020,Patagonia Works,Patagonia Works,Ventura,Ventura County,162.0,Layoff Temporary,Ventura County,2020,layoff temporary
744,09/03/2020,11/06/2020,09/18/2020,"Universal City Studios, LLC dba Universal Studios Hollywood","Universal City Studios, LLC ",Universal City,Los Angeles County,23.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
745,09/02/2020,09/04/2020,09/18/2020,"Universal City Studios Productions LLLP, NBCUniversal Media, LLC, and Focus Features LLC","Universal City Studios, LLC ",Universal City,Los Angeles County,54.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
746,08/27/2020,10/30/2020,09/18/2020,Renaissance Long Beach Hotel,Renaissance Long Beach Hotel,Long Beach,Los Angeles County,79.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
747,07/17/2020,07/17/2020,09/18/2020,"In-Shape Health Club, LLC",In-Shape Health Clubs,Monterey,Monterey County,23.0,Layoff Temporary,Monterey County,2020,layoff temporary
748,09/18/2020,09/23/2020,09/18/2020,"Freeman Audio Visual, LLC","Freeman Audio Visual, LLC",Anaheim,Orange County,4.0,Layoff Temporary,Orange County,2020,layoff temporary
749,07/17/2020,07/17/2020,09/18/2020,"In-Shape Health Clubs, LCC",In-Shape Health Clubs,Tracy,San Joaquin County,36.0,Layoff Temporary,San Joaquin County,2020,layoff temporary
750,05/26/2020,05/22/2020,09/18/2020,"JUUL Labs, Inc.","JUUL Labs, Inc.",Mountain View,Santa Clara County,43.0,Layoff Permanent,Santa Clara County,2020,layoff permanent
751,07/17/2020,07/17/2020,09/18/2020,In-Shape Health Club,In-Shape Health Clubs,Vacaville,Solano County,24.0,Layoff Temporary,Solano County,2020,layoff temporary
752,04/09/2020,04/12/2020,09/18/2020,Los Angeles Philharmonic Association,Los Angeles Philharmonic Association,Los Angeles,Los Angeles County,392.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
753,04/14/2020,04/12/2020,09/18/2020,Los Angeles Philharmonic Association,Los Angeles Philharmonic Association,Los Angeles,Los Angeles County,122.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
754,08/27/2020,08/07/2020,09/18/2020,Wyndham Vacation Ownership dba Harbour Lights,Wyndham Vacation Ownership - Anaheim Resort,San Diego,San Diego County,20.0,Layoff Permanent,San Diego County,2020,layoff permanent
755,05/12/2020,05/11/2020,09/17/2020,"Viasat, Inc.","Viasat, Inc.",Carlsbad,San Diego County,10.0,Layoff Temporary,San Diego County,2020,layoff temporary
756,09/16/2020,10/01/2020,09/17/2020,"Corium, Inc.","Corium, Inc.",Menlo Park,San Mateo County,19.0,Closure Permanent,San Mateo County,2020,closure permanent
757,09/03/2020,11/02/2020,09/17/2020,"Spine and Pain Treatment Medical Center of Santa Barbara, Inc.","Spine and Pain Treatment Medical Center of Santa Barbara, Inc.",Oxnard,Ventura County,6.0,Closure Permanent,Ventura County,2020,closure permanent
758,09/03/2020,11/02/2020,09/17/2020,"Lags Spine and Sportscare Medical Centers, Inc. DBA Lags Medical Centers","Lags Spine and Sportscare Medical Centers, Inc. DBA Lags Medical Centers",Ventura,Ventura County,13.0,Closure Permanent,Ventura County,2020,closure permanent
759,06/30/2020,07/01/2020,09/16/2020,Rabbi Jacob Pressman Academy of Temple Beth Am,Rabbi Jacob Pressman Academy of Temple Beth Am,Los Angeles,Los Angeles County,71.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
760,09/15/2020,11/13/2020,09/16/2020,HV Global Marketing Corporation,HV Global Management Corp,Carmel,Monterey County,17.0,Layoff Permanent,Monterey County,2020,layoff permanent
761,07/21/2020,07/15/2020,09/16/2020,"LTF Club Management Company, LLC dba Life Time In Laguna Niguel","LTF Club Management Company, LLC",Laguna Niguel,Orange County,326.0,Closure Temporary,Orange County,2020,closure temporary
762,07/21/2020,07/15/2020,09/16/2020,"LTF Club Management Company, LLC dba Life Time In Rancho San Clemente","LTF Club Management Company, LLC",San Clemente,Orange County,185.0,Closure Temporary,Orange County,2020,closure temporary
763,07/28/2020,07/15/2020,09/16/2020,"LTF Club Management Company, LLC dba Life Time In Folsom","LTF Club Management Company, LLC",Folsom,Sacramento County,325.0,Closure Temporary,Sacramento County,2020,closure temporary
764,09/15/2020,11/15/2020,09/16/2020,HSS Inc.,HSS Inc.,San Diego,San Diego County,88.0,Layoff Permanent,San Diego County,2020,layoff permanent
765,09/11/2020,03/26/2020,09/16/2020,Hyatt Regency Mission,Hyatt Regency ,San Diego,San Diego County,7.0,Layoff Permanent,San Diego County,2020,layoff permanent
766,09/15/2020,12/11/2020,09/16/2020,"Cox Automotive, Inc.",Cox Automotive,Redwood City,San Mateo County,60.0,Closure Permanent,San Mateo County,2020,closure permanent
767,09/11/2020,09/13/2020,09/16/2020,"Universal City Studios, LLC DBA Universal Studios Hollywood","Universal City Studios, LLC ",Universal City,Los Angeles County,2.0,Layoff Type Unknown,Los Angeles County,2020,layoff type unknown
768,09/11/2020,11/11/2020,09/16/2020,Sodexo,Sodexo,South San Francisco,San Mateo County,200.0,Closure Permanent,San Mateo County,2020,closure permanent
769,05/18/2020,05/18/2020,09/16/2020,Parker Hannifin - Parker Aerospace Group,Parker Hannifin - Parker Aerospace Group,Irvine,Orange County,40.0,Layoff Permanent,Orange County,2020,layoff permanent
770,03/20/2020,04/17/2020,09/16/2020,TriMark,TriMark,Brisbane,San Mateo County,36.0,Layoff Temporary,San Mateo County,2020,layoff temporary
771,09/03/2020,11/02/2020,09/16/2020,LAGZ Corporation,LAGZ Corporation,Oxnard,Ventura County,1.0,Layoff Permanent,Ventura County,2020,layoff permanent
772,04/21/2020,03/31/2020,09/15/2020,"Picture Head Holdings, LLC","Picture Head Holdings, LLC",Los Angeles,Los Angeles County,60.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
773,03/19/2020,03/23/2020,09/15/2020,Hawaiian Host Candies of L.A. Inc.,Hawaiian Host Candies of L.A. Inc.,Gardena,Los Angeles County,67.0,Closure Permanent,Los Angeles County,2020,closure permanent
774,07/31/2020,07/31/2020,09/15/2020,"Picture Head Holdings, LLC","Picture Head Holdings, LLC",Burbank,Los Angeles County,112.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
775,09/14/2020,09/15/2020,09/15/2020,Discovery LLC,Discovery LLC,Buena Park,Orange County,62.0,Layoff Temporary,Orange County,2020,layoff temporary
776,09/02/2020,11/13/2020,09/15/2020,"Nestle USA, Inc.","Nestle USA, Inc.",Mira Loma,Riverside County,15.0,Layoff Permanent,Riverside County,2020,layoff permanent
777,08/26/2020,08/22/2020,09/15/2020,"Alcatraz Cruises, LLC","Alcatraz Cruises, LLC",San Francisco,San Francisco County,16.0,Layoff Permanent,San Francisco County,2020,layoff permanent
778,08/11/2020,08/07/2020,09/15/2020,"Alcatraz Cruises, LLC","Alcatraz Cruises, LLC",San Francisco,San Francisco County,38.0,Layoff Permanent,San Francisco County,2020,layoff permanent
779,09/14/2020,09/05/2020,09/15/2020,"Live Nation Entertainment, Inc.&rsquo;",Live Nation Entertainment Inc,San Francisco,San Francisco County,1.0,Layoff Temporary,San Francisco County,2020,layoff temporary
780,09/03/2020,09/05/2020,09/15/2020,"Live Nation Entertainment, lnc.",Live Nation Entertainment Inc,San Francisco,San Francisco County,17.0,Layoff Temporary,San Francisco County,2020,layoff temporary
781,09/08/2020,09/01/2020,09/15/2020,Storer Transportation Services,Storer Transit Systems,Stockton,San Joaquin County,67.0,Layoff Permanent,San Joaquin County,2020,layoff permanent
782,09/10/2020,10/09/2020,09/15/2020,Universal City Studios LLC,"Universal City Studios, LLC ",Universal City,Los Angeles County,20.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
783,09/10/2020,10/16/2020,09/15/2020,"NBCUniversal Media, LLC","NBCUniversal Media, LLC",Universal City,Los Angeles County,93.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
784,03/22/2020,03/24/2020,09/15/2020,"Unical Aviation, Inc.","Unical Aviation, Inc.",City of Industry,Los Angeles County,112.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
785,08/27/2020,07/24/2020,09/15/2020,Wyndham Vacation Ownership dba the Donatello,Wyndham Vacation Ownership - Anaheim Resort,San Francisco,San Francisco County,1.0,Closure Permanent,San Francisco County,2020,closure permanent
786,09/04/2020,09/04/2020,09/14/2020,"Empire Chauffeured Services, Ltd.,","Empire Chauffeured Services, Ltd",El Segundo,Los Angeles County,183.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
787,09/03/2020,09/05/2020,09/14/2020,Live Nation,Live Nation,Beverly Hills,Los Angeles County,79.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
788,09/03/2020,09/05/2020,09/14/2020,Live Nation Entertainment Inc,Live Nation Entertainment Inc,Los Angeles,Los Angeles County,139.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
789,09/09/2020,08/24/2020,09/14/2020,"Lucky Brand Dungarees, LLC","Lucky Brand Dungarees, LLC",Los Angeles,Los Angeles County,164.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
790,04/08/2020,04/07/2020,09/14/2020,"Trophy Universal City Group, LLC-Universal City Nissan","Trophy Universal City Group, LLC-Universal City Nissan",Los Angeles,Los Angeles County,136.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
791,06/09/2020,06/12/2020,09/14/2020,Monarch Beach Resort,Monarch Beach Resort,Dana Point,Orange County,276.0,Closure Permanent,Orange County,2020,closure permanent
792,09/02/2020,11/13/2020,09/14/2020,Vistana California Management Inc,Vistana California Management Inc,Palm Desert,Riverside County,47.0,Layoff Permanent,Riverside County,2020,layoff permanent
793,03/23/2020,03/23/2020,09/14/2020,Islands Restaurants,Islands Restaurants,Folsom,Sacramento County,47.0,Closure Temporary,Sacramento County,2020,closure temporary
794,05/20/2020,04/20/2020,09/14/2020,"Hornblower Yachts, LLC","Hornblower Yachts, LLC",San Francisco,San Francisco County,1.0,Layoff Permanent,San Francisco County,2020,layoff permanent
795,05/20/2020,04/23/2020,09/14/2020,"Hornblower Yachts, LLC","Hornblower Yachts, LLC",San Francisco,San Francisco County,8.0,Layoff Temporary,San Francisco County,2020,layoff temporary
796,05/18/2020,05/25/2020,09/14/2020,"Alcatraz Cruises, LLC","Alcatraz Cruises, LLC",San Francisco,San Francisco County,25.0,Layoff Permanent,San Francisco County,2020,layoff permanent
797,09/02/2020,09/16/2020,09/14/2020,"Mariott Ownership Resorts, Inc","Marriott Ownership Resorts, Inc",San Francisco,San Francisco County,25.0,Layoff Permanent,San Francisco County,2020,layoff permanent
798,09/02/2020,09/16/2020,09/14/2020,MARRIOTT RESORTS HOSPITALITY CORPORATION,MARRIOTT RESORTS HOSPITALITY CORPORATION,San Francisco,San Francisco County,65.0,Layoff Permanent,San Francisco County,2020,layoff permanent
799,09/03/2020,09/05/2020,09/14/2020,Ticketmaster,"Ticketmaster division of Live NationWorldwide, Inc.",San Francisco,San Francisco County,17.0,Layoff Temporary,San Francisco County,2020,layoff temporary
800,09/11/2020,09/13/2020,09/14/2020,nVent Thermal LLC,nVent Thermal LLC,Redwood City,San Mateo County,42.0,Layoff Temporary,San Mateo County,2020,layoff temporary
801,09/04/2020,09/11/2020,09/14/2020,Garten Wellbeing-PBC,Garten Wellbeing-PBC,Burlingame,San Mateo County,73.0,Layoff Permanent,San Mateo County,2020,layoff permanent
802,09/02/2020,11/02/2020,09/14/2020,NetApp,NetApp,Sunnyvale,Santa Clara County,103.0,Layoff Permanent,Santa Clara County,2020,layoff permanent
803,09/08/2020,09/01/2020,09/14/2020,Storer Transportation School and Contract Service,Storer Transit Systems,Modesto,Stanislaus County,82.0,Layoff Permanent,Stanislaus County,2020,layoff permanent
804,09/10/2020,09/11/2020,09/14/2020,"Universal City Studios, LLC dba Universal Studios Hollywood","Universal City Studios, LLC ",Universal City,Los Angeles County,1207.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
805,09/11/2020,11/13/2020,09/14/2020,Golden Gate Bridge Highway and Transportation District,Golden Gate Bridge Highway and Transportation District,San Francisco,San Francisco County,192.0,Layoff Temporary,San Francisco County,2020,layoff temporary
806,04/16/2020,04/16/2020,09/14/2020,Clinica de Salud del Valle de Salinas,Clinica de Salud del Valle de Salinas,Salinas,Monterey County,63.0,Layoff Temporary,Monterey County,2020,layoff temporary
807,09/08/2020,11/10/2020,09/14/2020,McDonald&rsquo;s Restaurants of California,McDonald's,San Jose,Santa Clara County,63.0,Closure Permanent,Santa Clara County,2020,closure permanent
808,09/10/2020,11/14/2020,09/14/2020,"Timber Products Company, Yreka Veneer Division","Timber Products Company, Yreka Veneer Division",Yreka,Siskiyou County,45.0,Layoff Temporary,Siskiyou County,2020,layoff temporary
809,04/01/2020,05/22/2020,09/11/2020,"QSC, LLC","QSC, LLC",Costa Mesa,Orange County,55.0,Layoff Type Unknown,Orange County,2020,layoff type unknown
810,09/02/2020,11/13/2020,09/11/2020,"Vistana California Management, Inc.",Vistana California Management Inc,Rancho Mirage,Riverside County,6.0,Layoff Permanent,Riverside County,2020,layoff permanent
811,09/02/2020,11/13/2020,09/11/2020,"WVC Rancho Mirage, Inc","WVC RANCHO MIRAGE, INC.",Rancho Mirage,Riverside County,47.0,Layoff Permanent,Riverside County,2020,layoff permanent
812,09/02/2020,11/13/2020,09/11/2020,"WVC RANCHO MIRAGE, INC.","WVC RANCHO MIRAGE, INC.",Palm Desert,Riverside County,24.0,Layoff Permanent,Riverside County,2020,layoff permanent
813,08/28/2020,10/30/2020,09/11/2020,"Marriott Hotel Services, Inc","Marriott Hotel Services, Inc.",San Francisco,San Francisco County,57.0,Layoff Permanent,San Francisco County,2020,layoff permanent
814,09/01/2020,09/08/2020,09/11/2020,TA Aerospace,TA Aerospace,Valencia,Los Angeles County,180.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
815,09/01/2020,10/01/2020,09/11/2020,Pomona College,Pomona College,Claremont,Los Angeles County,154.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
816,09/03/2020,08/31/2020,09/11/2020,"Universal City Studios, LLC dba Universal Studios Hollywood","Universal City Studios, LLC ",Universal City,Los Angeles County,11.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
817,09/04/2020,11/06/2020,09/11/2020,"Edition Management, LLC",EDITION Management LLC,West Hollywood,Los Angeles County,88.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
818,09/02/2020,09/11/2020,09/11/2020,HV Global Management Corp,HV Global Management Corp,Carmel,Monterey County,109.0,Layoff Temporary,Monterey County,2020,layoff temporary
819,09/02/2020,10/08/2020,09/11/2020,HV Global Management Corp.,HV Global Management Corp,Carmel,Monterey County,94.0,Layoff Permanent,Monterey County,2020,layoff permanent
820,09/02/2020,10/08/2020,09/11/2020,HV Global Marketing Corporation,HV Global Management Corp,Carmel,Monterey County,17.0,Layoff Permanent,Monterey County,2020,layoff permanent
821,09/02/2020,08/31/2020,09/11/2020,"MV Transportation, Inc.","MV Transportation, Inc.",Stockton,San Joaquin County,32.0,Layoff Permanent,San Joaquin County,2020,layoff permanent
822,08/26/2020,09/30/2020,09/10/2020,H.U.G. Company,H.U.G. Company,Hayward,Alameda County,42.0,Closure Permanent,Alameda County,2020,closure permanent
823,09/01/2020,11/01/2020,09/10/2020,"Alorica, Inc.","Alorica, Inc.",Clovis,Fresno County,891.0,Closure Permanent,Fresno County,2020,closure permanent
824,08/28/2020,10/30/2020,09/10/2020,"Marriott Hotel Services, Inc., DBA Los Angeles Airport Marriott","Marriott Hotel Services, Inc.",Los Angeles,Los Angeles County,241.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
825,08/31/2020,10/30/2020,09/10/2020,Sheraton Operating Corporation DBA Sheraton Fairplex Hotel and Conference Center,Sheraton Operating Corporation ,Pomona,Los Angeles County,85.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
826,08/28/2020,09/30/2020,09/10/2020,MGH Gourmet,MGH Gourmet,Rancho Dominguez,Los Angeles County,150.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
827,09/01/2020,11/23/2020,09/10/2020,"Quality Aluminum Forge, LLC","Quality Aluminum Forge, LLC",Orange,Orange County,110.0,Layoff Temporary,Orange County,2020,layoff temporary
828,09/02/2020,11/13/2020,09/10/2020,"Nestle USA, Inc.","Nestle USA, Inc.",Mira Loma,Riverside County,15.0,Layoff Permanent,Riverside County,2020,layoff permanent
829,08/28/2020,09/09/2020,09/10/2020,Fleet Science Center,Fleet Science Center,San Diego,San Diego County,54.0,Layoff Temporary,San Diego County,2020,layoff temporary
830,08/27/2020,10/30/2020,09/10/2020,"Marriott International, Inc., DBA Marriott Marquis San Diego Marina","Marriott International, Inc.",San Diego,San Diego County,450.0,Layoff Permanent,San Diego County,2020,layoff permanent
831,08/27/2020,10/30/2020,09/10/2020,"Marriott Hotel Services, Inc., DBA Coronado Island Marriott","Marriott Hotel Services, Inc.",Coronado,San Diego County,107.0,Layoff Permanent,San Diego County,2020,layoff permanent
832,08/28/2020,10/30/2020,09/10/2020,"Sheraton Operating Corporation DBA The US Grant, A Luxury Collection Hotel",Sheraton Operating Corporation ,San Diego,San Diego County,179.0,Layoff Permanent,San Diego County,2020,layoff permanent
833,08/10/2020,08/13/2020,09/10/2020,Sunroad KMI Auto Inc / Kearny Mesa Infiniti,"Sunroad KM, LLC",San Diego,San Diego County,1.0,Layoff Permanent,San Diego County,2020,layoff permanent
834,05/11/2020,06/01/2020,09/10/2020,"Nordstrom Inc, dba Nordstrom",Nordstrom Inc,Santa Barbara,Santa Barbara County,182.0,Closure Permanent,Santa Barbara County,2020,closure permanent
835,09/01/2020,09/09/2020,09/10/2020,"Fish Market Restaurants, Inc.","Fish Market Restaurants, Inc.",San Jose,Santa Clara County,73.0,Closure Permanent,Santa Clara County,2020,closure permanent
836,04/23/2020,06/06/2020,09/10/2020,Gate Group - Los Angeles International Airport kitchen,Gate Group - Los Angeles International Airport kitchen,Los Angeles,Los Angeles County,274.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
837,09/01/2020,11/04/2020,09/10/2020,Options for Learning,Options for Learning,Rowland Heights,Los Angeles County,789.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
838,09/01/2020,11/01/2020,09/10/2020,Pebble Beach Company,Pebble Beach Company,Pebble Beach,Monterey County,500.0,Layoff Permanent,Monterey County,2020,layoff permanent
839,09/01/2020,09/11/2020,09/10/2020,"Avis Budget Car Rental, LLC","Avis Budget Car Rental, LLC",Santa Ana,Orange County,78.0,Layoff Temporary,Orange County,2020,layoff temporary
840,09/02/2020,10/27/2020,09/10/2020,"G2 Secure Staff, LLC","G2 Secure Staff, LLC",San Jose,Santa Clara County,41.0,Layoff Permanent,Santa Clara County,2020,layoff permanent
841,08/26/2020,08/24/2020,09/10/2020,Golden Valley Health Centers,Golden Valley Health Centers,Modesto,Stanislaus County,1.0,Layoff Permanent,Stanislaus County,2020,layoff permanent
842,08/26/2020,08/24/2020,09/10/2020,Golden Valley Health Centers,Golden Valley Health Centers,Newman,Stanislaus County,1.0,Layoff Permanent,Stanislaus County,2020,layoff permanent
843,08/26/2020,08/24/2020,09/10/2020,Golden Valley Health Centers,Golden Valley Health Centers,Turlock,Stanislaus County,1.0,Layoff Permanent,Stanislaus County,2020,layoff permanent
844,05/05/2020,04/19/2020,09/10/2020,Burlington Coat Factory Warehouse Corporation dba Burlington #959,Burlington Coat Factory,Los Angeles,Los Angeles County,1.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
845,08/31/2020,10/30/2020,09/10/2020,Wesco Aircraft Hardware Corp. DBA Incora,Wesco Aircraft Hardware Corp.,Valencia,Los Angeles County,80.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
846,04/15/2020,03/23/2020,09/10/2020,Neighborhood Healthcare,Neighborhood Healthcare,Escondido,San Diego County,28.0,Layoff Temporary,San Diego County,2020,layoff temporary
847,08/28/2020,10/30/2020,09/09/2020,"Renaissance Hotel Operating Co, dba Renaissance Los Angeles Airport",Renaissance Hotel Operating Co.,Los Angeles,Los Angeles County,53.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
848,08/27/2020,10/30/2020,09/09/2020,The Ritz-Carlton Hotel Company LLC dba The Ritz-Carlton,THE RITZ-CARLTON HOTEL ,Marina del Rey,Los Angeles County,151.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
849,04/10/2020,04/08/2020,09/09/2020,Trophy of Carson LLC,Trophy of Carson LLC,Carson,Los Angeles County,178.0,Closure Temporary,Los Angeles County,2020,closure temporary
850,08/27/2020,10/30/2020,09/09/2020,"Renaissance Hotel Management Company, LLC (&ldquo;Renaissance&rsquo;), dba Renaissance Newport Beach",Renaissance Hotel Operating Co.,Newport Beach,Orange County,99.0,Layoff Permanent,Orange County,2020,layoff permanent
851,08/27/2020,10/30/2020,09/09/2020,Marriott Hotel Services dba Newport Beach Marriott Hotel & Spa,"Marriott Hotel Services, Inc.",Newport Beach,Orange County,119.0,Layoff Permanent,Orange County,2020,layoff permanent
852,08/28/2020,10/30/2020,09/09/2020,"The Ritz-Carlton Hotel Company, LLC, dba The Ritz-Carlton, San Francisco",THE RITZ-CARLTON HOTEL ,San Francisco,San Francisco County,185.0,Layoff Permanent,San Francisco County,2020,layoff permanent
853,09/01/2020,09/01/2020,09/09/2020,Sur La Table,Sur La Table,Thousand Oaks,Ventura County,14.0,Closure Permanent,Ventura County,2020,closure permanent
854,04/15/2020,03/23/2020,09/09/2020,Neighborhood Healthcare,Neighborhood Healthcare,Escondido,San Diego County,1.0,Layoff Temporary,San Diego County,2020,layoff temporary
855,03/15/2020,03/23/2020,09/09/2020,Neigborhood Healthcare,Neighborhood Healthcare,Fallbrook,San Diego County,1.0,Layoff Temporary,San Diego County,2020,layoff temporary
856,06/29/2020,06/19/2020,09/08/2020,Adventist Health Bakersfield,Adventist Health Bakersfield,Bakersfield,Kern County,3.0,Layoff Permanent,Kern County,2020,layoff permanent
857,08/18/2020,09/09/2020,09/08/2020,Richmark Capital Corp,Richmark Capital Corp,Gardena,Los Angeles County,864.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
858,08/17/2020,10/16/2020,09/08/2020,Adventist Health Mendocino Coast,Adventist Health Bakersfield,Ukiah,Mendocino County,1.0,Layoff Permanent,Mendocino County,2020,layoff permanent
859,08/27/2020,10/26/2020,09/08/2020,Collins Aerospace,Collins Aerospace,Chula Vista,San Diego County,9.0,Layoff Permanent,San Diego County,2020,layoff permanent
860,03/25/2020,03/25/2020,09/08/2020,ANDRE-BOUDIN BAKERIES,"Andre-Boudin Bakeries, Inc.",San Marcos,San Diego County,32.0,Layoff Permanent,San Diego County,2020,layoff permanent
861,03/18/2020,03/18/2020,09/08/2020,"Boudin Properties Operating Company, Inc. dba Boudin","Boudin Properties Operating Company, Inc.",San Francisco,San Francisco County,217.0,Layoff Permanent,San Francisco County,2020,layoff permanent
862,04/29/2020,04/30/2020,09/08/2020,Flying Food Group LLC,"Flying Food Group, LLC",Burlingame,San Mateo County,33.0,Layoff Permanent,San Mateo County,2020,layoff permanent
863,08/24/2020,09/04/2020,09/08/2020,"Compass Group USA, Inc. DBA Eurest","Compass Group USA, Inc",Sunnyvale,Santa Clara County,120.0,Layoff Permanent,Santa Clara County,2020,layoff permanent
864,08/20/2020,10/19/2020,09/08/2020,AT&T CORP.,AT&T CORP.,San Ramon,Contra Costa County,5.0,Layoff Permanent,Contra Costa County,2020,layoff permanent
865,05/08/2020,05/08/2020,09/08/2020,"PCL Industrial Services, Inc.","PCL Industrial Services, Inc.",Bakersfield,Kern County,34.0,Layoff Type Unknown,Kern County,2020,layoff type unknown
