Column,Notice Date,Effective Date,Received Date,Company,Company 2,City,County,Employees,Layoff/Closure,Year
588,04/23/2020,06/06/2020,09/10/2020,Gate Group - Los Angeles International Airport kitchen,Gate Group,Los Angeles,Los Angeles County,274.0,layoff permanent,2020
589,09/01/2020,11/04/2020,09/10/2020,Options for Learning,Options for Learning,Rowland Heights,Los Angeles County,789.0,layoff permanent,2020
590,09/01/2020,11/01/2020,09/10/2020,Pebble Beach Company,Pebble Beach Company,Pebble Beach,Monterey County,500.0,layoff permanent,2020
591,09/01/2020,09/11/2020,09/10/2020,"Avis Budget Car Rental, LLC","Avis Budget Car Rental, LLC",Santa Ana,Orange County,78.0,layoff temporary,2020
592,09/02/2020,10/27/2020,09/10/2020,"G2 Secure Staff, LLC","G2 Secure Staff, LLC",San Jose,Santa Clara County,41.0,layoff permanent,2020
593,08/26/2020,08/24/2020,09/10/2020,Golden Valley Health Centers,Golden Valley Health Center,Modesto,Stanislaus County,1.0,layoff permanent,2020
594,08/26/2020,08/24/2020,09/10/2020,Golden Valley Health Centers,Golden Valley Health Center,Newman,Stanislaus County,1.0,layoff permanent,2020
595,08/26/2020,08/24/2020,09/10/2020,Golden Valley Health Centers,Golden Valley Health Center,Turlock,Stanislaus County,1.0,layoff permanent,2020
596,05/05/2020,04/19/2020,09/10/2020,Burlington Coat Factory Warehouse Corporation dba Burlington #959,Burlington Coat Factory,Los Angeles,Los Angeles County,1.0,layoff temporary,2020
597,08/31/2020,10/30/2020,09/10/2020,Wesco Aircraft Hardware Corp. DBA Incora,Wesco Aircraft Hardware Corp.,Valencia,Los Angeles County,80.0,layoff permanent,2020
598,04/15/2020,03/23/2020,09/10/2020,Neighborhood Healthcare,Neighborhood Healthcare,Escondido,San Diego County,28.0,layoff temporary,2020
599,08/27/2020,10/30/2020,09/09/2020,The Ritz-Carlton Hotel Company LLC dba The Ritz-Carlton,The Ritz-Carlton Hotel,Marina del Rey,Los Angeles County,151.0,layoff permanent,2020
600,08/28/2020,10/30/2020,09/09/2020,"Renaissance Hotel Operating Co, dba Renaissance Los Angeles Airport",Renaissance Hotel,Los Angeles,Los Angeles County,53.0,layoff permanent,2020
601,04/10/2020,04/08/2020,09/09/2020,Trophy of Carson LLC,Trophy of Carson LLC,Carson,Los Angeles County,178.0,closure temporary,2020
602,08/27/2020,10/30/2020,09/09/2020,Marriott Hotel Services dba Newport Beach Marriott Hotel & Spa,Mariott Resorts Hospitality Corporation,Newport Beach,Orange County,119.0,layoff permanent,2020
603,08/27/2020,10/30/2020,09/09/2020,"Renaissance Hotel Management Company, LLC (&ldquo;Renaissance&rsquo;), dba Renaissance Newport Beach",Renaissance Hotel,Newport Beach,Orange County,99.0,layoff permanent,2020
604,08/28/2020,10/30/2020,09/09/2020,"The Ritz-Carlton Hotel Company, LLC, dba The Ritz-Carlton, San Francisco",The Ritz-Carlton Hotel,San Francisco,San Francisco County,185.0,layoff permanent,2020
605,09/01/2020,09/01/2020,09/09/2020,Sur La Table,Sur La Table,Thousand Oaks,Ventura County,14.0,closure permanent,2020
606,03/15/2020,03/23/2020,09/09/2020,Neigborhood Healthcare,Neighborhood Healthcare,Fallbrook,San Diego County,1.0,layoff temporary,2020
607,04/15/2020,03/23/2020,09/09/2020,Neighborhood Healthcare,Neighborhood Healthcare,Escondido,San Diego County,1.0,layoff temporary,2020
608,06/29/2020,06/19/2020,09/08/2020,Adventist Health Bakersfield,Adventist Health,Bakersfield,Kern County,3.0,layoff permanent,2020
609,08/18/2020,09/09/2020,09/08/2020,Richmark Capital Corp,Richmark Capital Corp,Gardena,Los Angeles County,864.0,layoff permanent,2020
610,08/17/2020,10/16/2020,09/08/2020,Adventist Health Mendocino Coast,Adventist Health,Ukiah,Mendocino County,1.0,layoff permanent,2020
611,08/27/2020,10/26/2020,09/08/2020,Collins Aerospace,Collins Aerospace,Chula Vista,San Diego County,9.0,layoff permanent,2020
612,03/25/2020,03/25/2020,09/08/2020,ANDRE-BOUDIN BAKERIES,ANDRE-BOUDIN BAKERIES,San Marcos,San Diego County,32.0,layoff permanent,2020
613,03/18/2020,03/18/2020,09/08/2020,"Boudin Properties Operating Company, Inc. dba Boudin","Boudin Properties Operating Company, Inc.",San Francisco,San Francisco County,217.0,layoff permanent,2020
614,04/29/2020,04/30/2020,09/08/2020,Flying Food Group LLC,"Flying Food Group, LLC",Burlingame,San Mateo County,33.0,layoff permanent,2020
615,08/24/2020,09/04/2020,09/08/2020,"Compass Group USA, Inc. DBA Eurest","Compass Group USA, Inc",Sunnyvale,Santa Clara County,120.0,layoff permanent,2020
616,08/20/2020,10/19/2020,09/08/2020,AT&T CORP.,AT&T,San Ramon,Contra Costa County,5.0,layoff permanent,2020
617,05/08/2020,05/08/2020,09/08/2020,"PCL Industrial Services, Inc.","PCL Industrial Services, Inc.",Bakersfield,Kern County,34.0,layoff type unknown,2020
618,08/20/2020,10/28/2020,09/08/2020,"First Transit,",First Transit,Los Angeles,Los Angeles County,109.0,closure permanent,2020
619,08/13/2020,09/20/2020,09/08/2020,"Remo, Inc.","Remo, Inc.",Valencia,Los Angeles County,76.0,layoff permanent,2020
620,08/17/2020,10/15/2020,09/08/2020,Compass Group,"Compass Group USA, Inc",Los Angeles,Los Angeles County,104.0,layoff permanent,2020
621,08/19/2020,10/19/2020,09/08/2020,AT&T,AT&T,El Segundo,Los Angeles County,11.0,layoff permanent,2020
622,08/12/2020,07/22/2020,09/08/2020,"Andre-Boudin Bakeries, Inc","Andre_Boudin Bakeries, Inc.",Costa Mesa,Orange County,7.0,closure temporary,2020
623,05/01/2020,06/01/2020,09/08/2020,"Andre-Boudin Bakeries, Inc.","Andre_Boudin Bakeries, Inc.",San Francisco,San Francisco County,3.0,layoff permanent,2020
624,05/29/2020,06/01/2020,09/08/2020,"Boudin Properties Operating, Inc. dba Boudin","Boudin Properties Operating Company, Inc.",South San Francisco,San Mateo County,1.0,layoff permanent,2020
625,08/24/2020,08/21/2020,09/08/2020,Catalyst Family Inc,Catalyst Family Inc,Madison,Yolo County,8.0,layoff type unknown,2020
626,08/26/2020,10/25/2020,09/08/2020,Leidos,Leidos,Beale Afb,Yuba County,77.0,layoff permanent,2020
627,08/28/2020,10/30/2020,09/04/2020,"Marriott Hotel Services, Inc., DBA San Ramon Marriott",Mariott Resorts Hospitality Corporation,San Ramon,Contra Costa County,60.0,layoff permanent,2020
628,05/15/2020,05/22/2020,09/04/2020,adventist Health Reedley,Adventist Health,Reedley,Fresno County,1.0,layoff permanent,2020
629,05/15/2020,05/22/2020,09/04/2020,Adventist Health Reedley,Adventist Health,Reedley,Fresno County,1.0,layoff temporary,2020
630,06/16/2020,06/26/2020,09/04/2020,Adventist Health Reedley,Adventist Health,Reedley,Fresno County,6.0,layoff permanent,2020
631,04/22/2020,05/05/2020,09/04/2020,Adventist Health Bakersfield,Adventist Health,Bakersfield,Kern County,2.0,layoff permanent,2020
632,04/22/2020,05/05/2020,09/04/2020,Adventist Health Bakersfield,Adventist Health,Bakersfield,Kern County,53.0,layoff temporary,2020
633,05/08/2020,05/22/2020,09/04/2020,Adventist Health Bakersfield,Adventist Health,Bakersfield,Kern County,15.0,layoff temporary,2020
634,05/08/2020,07/11/2020,09/04/2020,Adventist Health Bakersfield,Adventist Health,Bakersfield,Kern County,72.0,closure permanent,2020
635,06/16/2020,06/26/2020,09/04/2020,Adventist Health Hanford,Adventist Health,Hanford,Kings County,9.0,layoff permanent,2020
636,05/15/2020,05/22/2020,09/04/2020,Adventist Health Hanford,Adventist Health,Hanford,Kings County,1.0,layoff temporary,2020
637,08/27/2020,10/30/2020,09/04/2020,"Marriott Hotel Services, Inc.,  DBA The Ritz-Carlton, Los Angeles and JW Marriott L.A. LIVE",Mariott Resorts Hospitality Corporation,Los Angeles,Los Angeles County,62.0,layoff permanent,2020
638,07/29/2020,09/28/2020,09/04/2020,Adventist Health Ukiah Valley,Adventist Health,Ukiah,Mendocino County,2.0,layoff permanent,2020
639,08/17/2020,10/18/2020,09/04/2020,Adventist Health Mendocino Coast,Adventist Health,Fort Bragg,Mendocino County,2.0,layoff permanent,2020
640,05/20/2020,07/31/2020,09/04/2020,Adventist Health Ukiah Valley,Adventist Health,Ukiah,Mendocino County,4.0,closure permanent,2020
641,06/16/2020,06/19/2020,09/04/2020,Adventist Health St. Helena,Adventist Health,Saint Helena,Napa County,5.0,layoff permanent,2020
642,04/08/2020,06/08/2020,09/04/2020,Adventist Health St. Helena,Adventist Health,Saint Helena,Napa County,5.0,layoff permanent,2020
643,08/27/2020,10/30/2020,09/04/2020,"Marriott Hotel Services, Inc., DBA The Anaheim Marriott Hotel",Mariott Resorts Hospitality Corporation,Anaheim,Orange County,373.0,layoff permanent,2020
644,08/27/2020,10/30/2020,09/04/2020,"Marriott Hotel Services, Inc., DBA  JW Marriott Desert Springs Resort & Spa,",Mariott Resorts Hospitality Corporation,Palm Desert,Riverside County,187.0,layoff permanent,2020
645,08/26/2020,10/27/2020,09/04/2020,"General Atomics Aeronautical Systems, Inc","General Atomics Aeronautical Systems, Inc",San Diego,San Diego County,105.0,layoff permanent,2020
646,08/26/2020,10/27/2020,09/04/2020,"General Atomics Aeronautical Systems, Inc.","General Atomics Aeronautical Systems, Inc",Poway,San Diego County,224.0,layoff permanent,2020
647,06/12/2020,06/26/2020,09/04/2020,Adventist Health Lodi Memorial,Adventist Health,Lodi,San Joaquin County,3.0,layoff permanent,2020
648,08/28/2020,10/30/2020,09/04/2020,"Marriott International, Inc DBA Santa Clara",Mariott Resorts Hospitality Corporation,Santa Clara,Santa Clara County,98.0,layoff permanent,2020
649,06/19/2020,06/19/2020,09/04/2020,Adventist Health and Rideout,Adventist Health,Yuba City,Sutter County,24.0,layoff temporary,2020
650,05/15/2020,05/22/2020,09/04/2020,Adventist Health Tulare,Adventist Health,Tulare,Tulare County,2.0,layoff permanent,2020
651,07/02/2020,08/24/2020,09/04/2020,"Universal City Studios, LLC dba Universal Studios Hollywood","Universal City Studios, LLC",Universal City,Los Angeles County,144.0,layoff permanent,2020
652,08/10/2020,08/17/2020,09/04/2020,Orora Visual LLC,Orora Visual LLC,Los Angeles,Los Angeles County,8.0,closure permanent,2020
653,08/24/2020,11/11/2020,09/04/2020,Silgan Containers,Silgan Containers,Modesto,Stanislaus County,69.0,layoff temporary,2020
654,04/10/2020,04/10/2020,09/04/2020,Gerber Collision & Glass,Gerber Collision & Glass,Corona,Riverside County,2.0,layoff temporary,2020
655,04/10/2020,04/10/2020,09/04/2020,Gerber Collision & Glass,Gerber Collision & Glass,Corona,Riverside County,4.0,layoff temporary,2020
656,04/10/2020,04/10/2020,09/04/2020,Gerber Collision & Glass,Gerber Collision & Glass,Moreno Valley,Riverside County,2.0,layoff temporary,2020
657,08/21/2020,09/30/2020,09/04/2020,First Student,First Student,San Francisco,San Francisco County,227.0,layoff temporary,2020
658,04/02/2020,03/23/2020,09/03/2020,Paradies Lagardere,Paradies Lagardere,San Francisco,San Francisco County,66.0,layoff temporary,2020
659,08/21/2020,08/21/2020,09/03/2020,Linkedin Corporation,Linkedin Corporation,Sunnyvale,Santa Clara County,29.0,layoff permanent,2020
660,08/21/2020,10/01/2020,09/03/2020,California Resources Corporation,California Resources Corporation,Bakersfield,Kern County,55.0,layoff permanent,2020
661,04/23/2020,04/11/2020,09/03/2020,"Paradies Lagardere @ LAX F&B, LLC",Paradies Lagardere,Los Angeles,Los Angeles County,24.0,layoff temporary,2020
662,04/13/2020,04/03/2020,09/03/2020,"Paradies-Long Beach, LLC","Paradies-Long Beach, LLC",Long Beach,Los Angeles County,88.0,layoff temporary,2020
663,04/02/2020,04/03/2020,09/03/2020,"Paradies-Long Beach II, LLC","Paradies-Long Beach, LLC",Long Beach,Los Angeles County,80.0,layoff temporary,2020
664,03/19/2020,03/17/2020,09/03/2020,"Paradies Lagardere @ LAX F&B, LLC",Paradies Lagardere,Los Angeles,Los Angeles County,101.0,layoff temporary,2020
665,04/24/2020,04/01/2020,09/03/2020,Amada America,"Amada America, Inc.",Brea,Orange County,83.0,layoff type unknown,2020
666,03/20/2020,03/20/2020,09/03/2020,"Paradies Shops, LLC","Paradies Shops, LLC",Sacramento,Sacramento County,37.0,layoff temporary,2020
667,05/08/2020,03/20/2020,09/03/2020,Old Town Trolley Tours of San Diego,Old Town Trolley Tours,San Diego,San Diego County,94.0,layoff temporary,2020
668,04/29/2020,05/01/2020,09/02/2020,Marugame Udon USA LLC,Marugame Udon USA LLC,Los Angeles,Los Angeles County,35.0,layoff permanent,2020
669,07/09/2020,06/04/2020,09/02/2020,"Unical Aviation, Inc.","Unical Aviation, Inc.",City of Industry,Los Angeles County,1.0,layoff temporary,2020
670,07/09/2020,06/04/2020,09/02/2020,"Unical Aviation, Inc.","Unical Aviation, Inc.",City of Industry,Los Angeles County,3.0,layoff permanent,2020
671,07/09/2020,06/04/2020,09/02/2020,"Unical MRO, Inc.","Unical MRO, Inc.",San Bernardino,San Bernardino County,2.0,layoff temporary,2020
672,06/19/2020,06/19/2020,09/02/2020,Hotel DeAnza,Hotel DeAnza,San Jose,Santa Clara County,2.0,layoff permanent,2020
673,04/09/2020,04/10/2020,09/02/2020,Watsonville Community Hospital,Watsonville Community Hospital,Watsonville,Santa Cruz County,7.0,layoff permanent,2020
674,04/22/2020,04/24/2020,09/02/2020,Flying Food Group LLC,"Flying Food Group, LLC",Burlingame,San Mateo County,18.0,layoff permanent,2020
675,04/14/2020,04/21/2020,09/02/2020,Watsonville Community Hospital,Watsonville Community Hospital,Watsonville,Santa Cruz County,23.0,layoff temporary,2020
676,08/24/2020,10/11/2020,09/02/2020,Silgan Containers,Silgan Containers,Modesto,Stanislaus County,75.0,layoff temporary,2020
677,08/19/2020,10/19/2020,09/02/2020,"Sun Pacific Farming Cooperative, Inc.","Sun Pacific Farming Cooperative, Inc.",Exeter,Tulare County,209.0,layoff permanent,2020
678,08/24/2020,08/21/2020,09/02/2020,Catalyst Family Inc.,Catalyst Family Inc,Davis,Yolo County,12.0,layoff type unknown,2020
679,08/24/2020,10/20/2020,09/01/2020,"FXI, INc.","FXI, INc.",San Leandro,Alameda County,64.0,closure permanent,2020
680,05/20/2020,05/15/2020,09/01/2020,Trophy of Carson LLC-Kia of Carson,Trophy of Carson LLC,Carson,Los Angeles County,43.0,layoff permanent,2020
681,05/20/2020,05/15/2020,09/01/2020,"West Covina Motor Group, LLC","West Covina Motor Group, LLC",West Covina,Los Angeles County,14.0,layoff permanent,2020
682,04/16/2020,03/14/2020,09/01/2020,Transform SR LLC - 02728,Transform SR LLC,Downey,Los Angeles County,17.0,layoff temporary,2020
683,03/20/2020,03/19/2020,09/01/2020,"Avalon BH HM, LLC - Avalon Hotel Beverly Hills","Avalon BH HM, LLC - Avalon Hotel Beverly Hills",Beverly Hills,Los Angeles County,69.0,layoff temporary,2020
684,04/08/2020,04/08/2020,09/01/2020,"West Covina Motor Group, LLC dba West Covina Nissan","West Covina Motor Group, LLC",West Covina,Los Angeles County,67.0,layoff temporary,2020
685,06/04/2020,06/08/2020,09/01/2020,"Safran Electronics & Defense, Avionics USA, LLC","Safran Electronics & Defense, Avionics USA, LLC",Irvine,Orange County,170.0,layoff temporary,2020
686,03/20/2020,03/20/2020,09/01/2020,"Avalon PS HM LLC, dba Avalon Palm Springs","Avalon PS HM, LLC",Palm Springs,Riverside County,72.0,closure temporary,2020
687,04/15/2020,01/21/2020,09/01/2020,Gate Gourmet's San Francisco International Airport Kitchen,Gate Gourmet,San Francisco,San Francisco County,678.0,layoff temporary,2020
688,04/23/2020,04/24/2020,09/01/2020,"Lulu's Fashion Lounge, LLC","Lulu's Fashion Lounge, LLC",Chico,Butte County,78.0,layoff permanent,2020
689,05/01/2020,05/01/2020,09/01/2020,Brentwood Originals,Brentwood,Carson,Los Angeles County,16.0,layoff temporary,2020
690,03/20/2020,03/21/2020,09/01/2020,Elite Car Rental Services,Elite Car Rental Services,Newport Beach,Orange County,275.0,layoff temporary,2020
691,08/24/2020,08/20/2020,09/01/2020,"Hornblower Cruises & Events, LLC",Hornblower Cruises & Events LLC,San Diego,San Diego County,65.0,layoff permanent,2020
692,04/02/2020,04/02/2020,09/01/2020,InterContinental San Francisco,"Intercontinental Hotels Group Resources, LLC",San Francisco,San Francisco County,294.0,layoff type unknown,2020
693,03/20/2020,03/22/2020,09/01/2020,Go Rentals,Go Rentals,San Jose,Santa Clara County,5.0,layoff temporary,2020
694,04/20/2020,04/20/2020,08/31/2020,Mercury Air Cargo,Mercury Air Cargo,Los Angeles,Los Angeles County,256.0,layoff permanent,2020
695,06/15/2020,07/31/2020,08/31/2020,Safran Seats,Safran Seats,Santa Maria,Santa Barbara County,103.0,closure permanent,2020
696,08/24/2020,09/30/2020,08/31/2020,Viad Corp,Viad Corp,Chula Vista,San Diego County,34.0,layoff type unknown,2020
697,08/20/2020,08/20/2020,08/31/2020,"Hornblower Cable Cars, Inc","Hornblower Cable Cars, Inc",San Francisco,San Francisco County,41.0,layoff permanent,2020
698,08/20/2020,08/20/2020,08/31/2020,Hornblower Cruises & Events LLC,Hornblower Cruises & Events LLC,San Francisco,San Francisco County,139.0,layoff permanent,2020
699,04/13/2020,04/15/2020,08/31/2020,"Kendal Floral Supply, LLC","Kendal Floral Supply, LLC",Gilroy,Santa Clara County,68.0,layoff temporary,2020
700,04/27/2020,06/01/2020,08/31/2020,Silver Star Auto Group,Silver Star Auto Group,Thousand Oaks,Ventura County,228.0,layoff permanent,2020
701,04/16/2020,03/14/2020,08/28/2020,Transform SR LLC - 06721,Transform SR LLC,Torrance,Los Angeles County,24.0,layoff temporary,2020
702,04/03/2020,04/05/2020,08/28/2020,Madame Tussads Hollywood LLC,Madame Tussauds,Los Angeles,Los Angeles County,62.0,layoff temporary,2020
703,07/02/2020,07/10/2020,08/28/2020,Blackstone Gaming operations at Hustler Casino,Blackstone Gaming,Gardena,Los Angeles County,93.0,layoff temporary,2020
704,07/02/2020,07/10/2020,08/28/2020,Blackstone Gaming LLC operations at Crystal Casino,Blackstone Gaming,Compton,Los Angeles County,86.0,layoff temporary,2020
705,06/26/2020,07/06/2020,08/28/2020,"Safran Electronics & Defense, Avionics USA, LLC","Safran Electronics & Defense, Avionics USA, LLC",Costa Mesa,Orange County,43.0,layoff temporary,2020
706,04/16/2020,03/14/2020,08/28/2020,Transform SR LLC - 06178,Transform SR LLC,Sacramento,Sacramento County,5.0,layoff temporary,2020
707,07/02/2020,07/10/2020,08/28/2020,Blackstone Gaming LLC operations at Ocean's Eleven Casino,Blackstone Gaming,Oceanside,San Diego County,30.0,layoff temporary,2020
708,04/03/2020,04/05/2020,08/28/2020,Madame Tussauds San Francisco LLC,Madame Tussauds,San Francisco,San Francisco County,34.0,layoff temporary,2020
709,04/16/2020,03/14/2020,08/28/2020,Transform SR LLC - 06791,Transform SR LLC,Stockton,San Joaquin County,10.0,layoff temporary,2020
710,04/21/2020,04/23/2020,08/27/2020,Hexcel,Hexcel Corporation,Dublin,Alameda County,25.0,layoff permanent,2020
711,08/25/2020,10/30/2020,08/27/2020,salesforcecom inc,salesforcecom inc,San Francisco,San Francisco County,165.0,layoff permanent,2020
712,08/26/2020,09/09/2020,08/27/2020,Pac-12 Enterprises d/b/a Pac-12 Networks,Pac-12 Enterprises d/b/a Pac-12 Networks,San Francisco,San Francisco County,95.0,layoff permanent,2020
713,10/12/2020,04/06/2020,08/27/2020,Center Theatre Group,Center Theatre Group,Los Angeles,Los Angeles County,311.0,layoff temporary,2020
714,08/25/2020,10/26/2020,08/27/2020,"Garden Grove, LLC dba Garden Grove Hospital medical Center","Garden Grove, LLC dba Garden Grove Hospital medical Center",Garden Grove,Orange County,64.0,layoff permanent,2020
715,03/20/2020,03/18/2020,08/27/2020,"D. Longo, LLC dba: Longo Toyota","D. Longo, LLC dba: Longo Toyota",El Monte,Los Angeles County,440.0,layoff temporary,2020
716,04/06/2020,03/17/2020,08/27/2020,"Waldorf Astoria Employer LLC, dba Waldorf Astoria Beverly Hills",Waldorf Astoria Employer,Beverly Hills,Los Angeles County,388.0,layoff temporary,2020
717,07/28/2020,07/20/2020,08/27/2020,Hilton San Diego / Del Mar,Hilton,Del Mar,San Diego County,60.0,layoff permanent,2020
718,04/10/2020,06/30/2020,08/27/2020,Golden Gate National Parks Conservancy,Golden Gate National Parks Conservancy,San Francisco,San Francisco County,215.0,layoff temporary,2020
719,04/27/2020,04/28/2020,08/26/2020,AIO Acquisition Inc.,AIO Acquisition Inc.,Ontario,San Bernardino County,11.0,layoff temporary,2020
720,03/23/2020,03/19/2020,08/26/2020,Holiday Inn San Francisco Golden Gateway,Holiday Inn,San Francisco,San Francisco County,181.0,layoff temporary,2020
721,07/17/2020,07/19/2020,08/26/2020,"Universal City Studios, LLC dba Universal Studios Hollywood (USH)","Universal City Studios, LLC",Universal City,Los Angeles County,108.0,layoff temporary,2020
722,03/27/2020,03/17/2020,08/26/2020,Novo Construction Inc.,Novo Construction Inc.,San Francisco,San Francisco County,83.0,layoff type unknown,2020
723,05/06/2020,04/01/2020,08/26/2020,Rancho Valencia Resort & Spa (RVR),Rancho Valencia Resort & Spa (RVR),Rancho Santa Fe,San Diego County,357.0,closure type unknown,2020
724,08/20/2020,08/20/2020,08/25/2020,MemorialCare Medical Foundation dba MCMF,MemorialCare Medical Foundation dba MCMF,Fountain Valley,Orange County,23.0,layoff permanent,2020
725,08/14/2020,11/14/2020,08/25/2020,Warner Bros. Entertainment Inc.,Warner Bros. Entertainment Inc.,Burbank,Los Angeles County,540.0,layoff permanent,2020
726,08/14/2020,11/14/2020,08/25/2020,Warner Bros. Entertainment Inc.,Warner Bros. Entertainment Inc.,Sun Valley,Los Angeles County,10.0,layoff permanent,2020
727,08/19/2020,10/22/2020,08/25/2020,"Sky Chefs, Inc.",Sky Chefs Inc.,Costa Mesa,Orange County,75.0,layoff permanent,2020
728,08/14/2020,09/14/2020,08/25/2020,California Lutheran University,California Lutheran University,Thousand Oaks,Ventura County,14.0,layoff temporary,2020
729,08/17/2020,09/01/2020,08/25/2020,California Lutheran University,California Lutheran University,Thousand Oaks,Ventura County,1.0,layoff permanent,2020
730,05/06/2020,03/14/2020,08/24/2020,"Rag & Bone Industries and Rag Traders Retail, LLC","Rag & Bone Industries, LLC",West Hollywood,Los Angeles County,10.0,layoff temporary,2020
731,04/08/2020,03/14/2020,08/24/2020,"Rag & Bone Industries, LLC","Rag & Bone Industries, LLC",Los Angeles,Los Angeles County,37.0,layoff temporary,2020
732,07/17/2020,09/25/2020,08/24/2020,Triangle Distributing Co,Triangle Distributing Co,Santa Fe Springs,Los Angeles County,133.0,closure permanent,2020
733,08/19/2020,11/16/2020,08/24/2020,"Delta Apparel, Inc.","Delta Apparel, Inc.",Santa Fe Springs,Los Angeles County,14.0,layoff temporary,2020
734,08/14/2020,10/11/2020,08/24/2020,"Hi-Way Safety, Inc.","Hi-Way Safety, Inc.",Napa,Napa County,8.0,closure permanent,2020
735,04/03/2020,03/30/2020,08/24/2020,Diamond Resorts Centralized,Diamond Resorts Centralized,Capistrano Beach,Orange County,73.0,layoff temporary,2020
736,08/14/2020,08/14/2020,08/24/2020,Aerospace Jet Products,Aerospace Jet Products,San Diego,San Diego County,38.0,layoff permanent,2020
737,08/13/2020,08/14/2020,08/24/2020,"Metro Shore Services, LLC","Metro Shore Services, LLC",San Francisco,San Francisco County,184.0,layoff permanent,2020
738,08/14/2020,08/14/2020,08/24/2020,Hyatt House Emeryville,Hyatt House,Emeryville,Alameda County,95.0,layoff temporary,2020
739,07/16/2020,09/14/2020,08/24/2020,Orora Visual LLC,Orora Visual LLC,Los Angeles,Los Angeles County,1.0,closure permanent,2020
740,04/06/2020,04/06/2020,08/24/2020,"Precision Founders, Inc - PCC Structurals","Precision Founders, Inc",San Leandro,Alameda County,117.0,layoff temporary,2020
741,03/24/2020,03/13/2020,08/21/2020,Merritt Hospitality LLC-The Westin Pasadena Hotel,Merritt Hospitality LLC,Pasadena,Los Angeles County,114.0,layoff temporary,2020
742,03/20/2020,03/20/2020,08/21/2020,GTA Restaurants LLC dba Via Alloro,GTA Restaurants LLC dba Via Alloro,Beverly Hills,Los Angeles County,142.0,layoff type unknown,2020
743,07/14/2020,07/11/2020,08/21/2020,Live Nation Entertainment Inc,Live Nation,Beverly Hills,Los Angeles County,2.0,layoff temporary,2020
744,06/30/2020,07/31/2020,08/21/2020,"MDH-Day Program, Inc.","MDH-Day Program, Inc.",Whittier,Los Angeles County,99.0,layoff permanent,2020
745,08/13/2020,08/03/2020,08/21/2020,IPIC Theaters LLC,IPIC Theaters LLC,Los Angeles,Los Angeles County,101.0,layoff permanent,2020
746,08/13/2020,08/03/2020,08/21/2020,IPIC Theaters LLC,IPIC Theaters LLC,Pasadena,Los Angeles County,79.0,layoff permanent,2020
747,08/16/2020,10/16/2020,08/21/2020,PepsiCo Sales Inc.,PepsiCo Sales Inc.,Beverly Hills,Los Angeles County,156.0,layoff permanent,2020
748,08/19/2020,08/17/2020,08/21/2020,Harvey Mudd College,Harvey Mudd College,Claremont,Los Angeles County,71.0,layoff temporary,2020
749,08/20/2020,08/18/2020,08/21/2020,Adventist Health Mendocino Coast,Adventist Health,Fort Bragg,Mendocino County,3.0,layoff permanent,2020
750,08/20/2020,08/20/2020,08/21/2020,Memorial Health Services,Memorial Health Services,Fountain Valley,Orange County,30.0,layoff permanent,2020
751,08/20/2020,08/20/2020,08/21/2020,Seaside Health Plan,Seaside Health Plan,Fountain Valley,Orange County,3.0,layoff permanent,2020
752,04/29/2020,04/29/2020,08/21/2020,RC Willey Home Furnishings - Rocklin,RC Willey Home Furnishings,Rocklin,Placer County,141.0,layoff temporary,2020
753,04/29/2020,04/29/2020,08/21/2020,RC Willey Home Furnishings - Delta Shores,RC Willey Home Furnishings,Sacramento,Sacramento County,57.0,layoff temporary,2020
754,08/13/2020,10/15/2020,08/21/2020,"Stellar Partners, Inc","Stellar Partners, Inc",San Diego,San Diego County,22.0,layoff permanent,2020
755,08/01/2020,08/01/2020,08/21/2020,"TCT Ventures Inc., dba Eurpoean Wax Center","TCT Ventures Inc., dba Eurpoean Wax Center",Redwood City,San Mateo County,19.0,closure temporary,2020
756,04/24/2020,03/19/2020,08/21/2020,"Double Tree Berkeley-Crescent Resorts & Hotels, LLC",Doubletree Hotels,Berkeley,Alameda County,126.0,layoff temporary,2020
757,08/21/2020,10/20/2020,08/21/2020,Pebble Beach Company,Pebble Beach Company,Pebble Beach,Monterey County,13.0,layoff permanent,2020
758,08/13/2020,10/31/2020,08/21/2020,"Arc Machines, Inc","Arc Machines, Inc",Panorama City,Los Angeles County,40.0,closure permanent,2020
759,03/30/2020,03/27/2020,08/21/2020,"California Closets Retail, Inc","California Closets Retail, Inc",Huntington Beach,Orange County,31.0,layoff temporary,2020
760,05/04/2020,04/03/2020,08/21/2020,"Systems Paving, Inc","Systems Paving, Inc",Santa Ana,Orange County,118.0,layoff temporary,2020
761,04/30/2020,04/30/2020,08/21/2020,Evolution Hospitality - Hard Rock Hotel San Diego,Evolution Hospitality,San Diego,San Diego County,421.0,layoff temporary,2020
762,08/12/2020,09/30/2020,08/20/2020,"MV Transportation, Inc","MV Transportation, Inc.",Pinole,Contra Costa County,2.0,layoff permanent,2020
763,06/04/2020,06/04/2020,08/20/2020,"Unical Aviation, Inc.","Unical Aviation, Inc.",City of Industry,Los Angeles County,10.0,layoff permanent,2020
764,04/20/2020,03/17/2020,08/20/2020,"Wood Ranch BBQ & Grill, Arcadia",Wood Ranch BBQ & Grill,Arcadia,Los Angeles County,68.0,closure temporary,2020
765,04/20/2020,03/17/2020,08/20/2020,"Wood Ranch BBQ & Grill, The Grove",Wood Ranch BBQ & Grill,Los Angeles,Los Angeles County,91.0,closure temporary,2020
