,Notice Date,Effective Date,Received Date,Company,City,County,Employees,Layoff/Closure,County Orig
848,07/10/2020,07/03/2020,09/20/2020,Wyndham Vacation Ownership - Indio Resort,Indio,Riverside County,1.0,Layoff Permanent,Riverside County
849,06/04/2020,06/11/2020,09/20/2020,Howmet Aerospace,Fontana,San Bernardino County,4.0,Layoff Permanent,San Bernardino County
850,06/04/2020,06/11/2020,09/20/2020,Howmet Aerospace,Rancho Cucamonga,San Bernardino County,36.0,Layoff Permanent,San Bernardino County
851,05/15/2020,06/01/2020,09/20/2020,Wyndham Vacation Ownership - Big Bear Lake Resort,Big Bear Lake,San Bernardino County,1.0,Layoff Temporary,San Bernardino County
852,05/15/2020,06/01/2020,09/20/2020,Wyndham Vacation Ownership - Big Bear Lake Resort,Big Bear Lake,San Bernardino County,13.0,Layoff Permanent,San Bernardino County
853,06/03/2020,06/05/2020,09/20/2020,Wyndham Vacation Ownership - Inn at the Park Resort,San Diego,San Diego County,1.0,Layoff Temporary,San Diego County
854,06/03/2020,06/05/2020,09/20/2020,Wyndham Vacation Ownership - Mission Valley Resort,San Diego,San Diego County,2.0,Layoff Permanent,San Diego County
855,06/03/2020,06/05/2020,09/20/2020,Wyndham Vacation Ownership - Mission Valley Resort,San Diego,San Diego County,7.0,Layoff Temporary,San Diego County
856,06/03/2020,06/05/2020,09/20/2020,Wyndham Vacation Ownership - Oceanside Harbor Resort,Oceanside,San Diego County,5.0,Layoff Permanent,San Diego County
857,06/03/2020,06/05/2020,09/20/2020,Wyndham Vacation Ownership - Oceanside Pier Resort,Oceanside,San Diego County,4.0,Layoff Temporary,San Diego County
858,06/03/2020,06/05/2020,09/20/2020,Wyndham Vacation Ownership - Oceanside Pier Resort,Oceanside,San Diego County,16.0,Layoff Permanent,San Diego County
859,06/03/2020,06/05/2020,09/20/2020,Wyndham Vacation Ownership  - Harbour Lights Resort,San Diego,San Diego County,2.0,Layoff Temporary,San Diego County
860,06/03/2020,06/05/2020,09/20/2020,Wyndham Vacation Ownership -  Harbour Lights Resort,San Diego,San Diego County,2.0,Layoff Permanent,San Diego County
861,06/05/2020,06/05/2020,09/20/2020,Wyndham Vacation Ownership - Oceanside Harbor Resort,Oceanside,San Diego County,1.0,Layoff Temporary,San Diego County
862,07/10/2020,07/03/2020,09/20/2020,Wyndham Vacation Ownership - SF Nob Hill Resort,San Francisco,San Francisco County,2.0,Layoff Permanent,San Francisco County
863,07/10/2020,07/03/2020,09/20/2020,Wyndham Vacation Ownership - Canterbury Resort,San Francisco,San Francisco County,6.0,Layoff Permanent,San Francisco County
864,06/03/2020,06/05/2020,09/20/2020,Wyndham Vacation Ownership - Canterbury,San Francisco,San Francisco County,3.0,Layoff Permanent,San Francisco County
865,06/03/2020,06/05/2020,09/20/2020,Wyndham Vacation Ownership - Canterbury Resort,San Francisco,San Francisco County,5.0,Layoff Temporary,San Francisco County
866,05/15/2020,06/01/2020,09/20/2020,Wyndham Vacation Ownership - Canterbury Resort,San Francisco,San Francisco County,1.0,Layoff Permanent,San Francisco County
867,09/21/2020,11/25/2020,09/21/2020,Neiman Marcus Group,Beverly Hills,Los Angeles County,119.0,Layoff Type Unknown ,Los Angeles County
868,05/15/2020,05/17/2020,09/21/2020,Citizen Watch America,Torrance,Los Angeles County,134.0,Layoff Permanent,Los Angeles County
869,04/28/2020,03/19/2020,09/21/2020,"Carey Limousine L.A., Inc.",Culver City,Los Angeles County,87.0,Layoff Permanent,Los Angeles County
870,03/20/2020,03/20/2020,09/21/2020,LDD Long Point Management LLC @ Terranea Resort,Rancho Palos Verdes,Los Angeles County,1136.0,Closure Temporary,Los Angeles County
871,03/30/2020,03/23/2020,09/21/2020,Beauty & Essex,Los Angeles,Los Angeles County,90.0,Layoff Temporary,Los Angeles County
872,05/26/2020,06/01/2020,09/21/2020,Monterey Winery and Vineyards,Soledad,Monterey County,4.0,Layoff Permanent,Monterey County
873,05/26/2020,06/01/2020,09/21/2020,Oakville/Cardinale Winery,Oakville,Napa County,2.0,Layoff Permanent,Napa County
874,05/27/2020,05/27/2020,09/21/2020,St. John Knits Inc.,Irvine,Orange County,91.0,Layoff Permanent,Orange County
875,06/01/2020,06/01/2020,09/21/2020,"Global Experience Specialist, Inc.",Cypress,Orange County,73.0,Layoff Type Unknown ,Orange County
876,06/26/2020,06/30/2020,09/21/2020,"True Religion, Inc.",Fontana,San Bernardino County,33.0,Layoff Permanent,San Bernardino County
877,09/21/2020,11/25/2020,09/21/2020,Neiman Marcus,San Francisco,San Francisco County,123.0,Layoff Type Unknown ,San Francisco County
878,09/18/2020,09/23/2020,09/21/2020,"Freeman Expositions, LLC",San Francisco,San Francisco County,22.0,Layoff Temporary,San Francisco County
879,04/28/2020,03/19/2020,09/21/2020,"Carey Limousine S.F., Inc",South San Francisco,San Mateo County,81.0,Layoff Permanent,San Mateo County
880,05/26/2020,06/01/2020,09/21/2020,"Jackson Family Winery, Inc.",Santa Maria,Santa Barbara County,2.0,Layoff Permanent,Santa Barbara County
881,05/26/2020,06/01/2020,09/21/2020,"Jackson Family Wines, Inc.",Santa Rosa,Sonoma County,22.0,Layoff Permanent,Sonoma County
882,05/04/2020,05/05/2020,09/21/2020,"VH San Fran, LLC dba Virgin Hotel San Fran",San Francisco,San Francisco County,7.0,Layoff Temporary,San Francisco County
883,05/22/2020,03/20/2020,09/21/2020,George P. Johnson,San Carlos,San Mateo County,30.0,Layoff Permanent,San Mateo County
884,05/22/2020,04/06/2020,09/21/2020,George P. Johnson,San Carlos,San Mateo County,24.0,Layoff Temporary,San Mateo County
885,09/21/2020,09/21/2020,09/22/2020,AT&T,El Segundo,Los Angeles County,12.0,Layoff Permanent,Los Angeles County
886,05/14/2020,05/15/2020,09/22/2020,Live Nation Entertainment Clubs and Theaters Division,Los Angeles,Los Angeles County,23.0,Layoff Temporary,Los Angeles County
887,05/14/2020,05/15/2020,09/22/2020,Live Nation Entertainment Inc. Clubs and Theaters Dvision,Beverly Hills,Los Angeles County,67.0,Layoff Temporary,Los Angeles County
888,04/28/2020,05/22/2020,09/22/2020,"Express Manufacturing, Inc.",Santa Ana,Orange County,273.0,Layoff Permanent,Orange County
889,05/14/2020,05/15/2020,09/22/2020,Live Nation Entertainment Inc. Observatory OC,Santa Ana,Orange County,5.0,Layoff Temporary,Orange County
890,05/14/2020,05/15/2020,09/22/2020,"Live Nation Entertainment, Inc. House of Blues Anaheim-Gardenwalk",Anaheim,Orange County,17.0,Layoff Temporary,Orange County
891,09/18/2020,09/23/2020,09/22/2020,"Freeman Company, LLC",Anaheim,Orange County,18.0,Layoff Temporary,Orange County
892,05/14/2020,05/15/2020,09/22/2020,Live Nation Entertainment Inc.,Riverside,Riverside County,5.0,Layoff Temporary,Riverside County
893,09/22/2020,10/04/2020,09/22/2020,"ABM, Inc.",San Diego,San Diego County,85.0,Closure Permanent,San Diego County
894,05/14/2020,05/15/2020,09/22/2020,"Live Nation Entertainment, Inc.",San Francisco,San Francisco County,9.0,Layoff Temporary,San Francisco County
895,09/18/2020,09/23/2020,09/22/2020,"The Freeman Company, LLC",San Francisco,San Francisco County,18.0,Layoff Temporary,San Francisco County
896,08/20/2020,10/30/2020,09/22/2020,"Highgate Hotels, L.P. dba Westin Long Beach",Long Beach,Los Angeles County,48.0,Layoff Permanent,Los Angeles County
897,05/22/2020,05/23/2020,09/22/2020,"WB Studio Enterprises Inc. dba Warner Bros. Studio Operations,",Burbank,Los Angeles County,63.0,Layoff Permanent,Los Angeles County
898,03/24/2020,03/21/2020,09/22/2020,Renaissance Hotel Operating Co. dba Renaissance Esmeralda Resort and Spa,Indian Wells,Riverside County,446.0,Layoff Temporary,Riverside County
899,05/22/2020,03/27/2020,09/22/2020,"Directed, LLC",Vista,San Diego County,85.0,Layoff Permanent,San Diego County
900,03/20/2020,03/17/2020,09/22/2020,"THE RITZ-CARLTON HOTEL CO LLC, DBA THE RITZ-CARLTON, HALF MOON BAY",Half Moon Bay,San Mateo County,493.0,Layoff Temporary,San Mateo County
901,04/08/2020,04/08/2020,09/23/2020,Trophy Automotive Dealer Group LLC DBA First Motor Group of Los Angeles LLC,Los Angeles,Los Angeles County,153.0,Closure Temporary,Los Angeles County
902,07/07/2020,07/07/2020,09/23/2020,Shults Steel Company,South Gate,Los Angeles County,21.0,Layoff Temporary,Los Angeles County
903,07/07/2020,07/07/2020,09/23/2020,Shultz Steel Company,South Gate,Los Angeles County,22.0,Layoff Permanent,Los Angeles County
904,07/10/2020,07/10/2020,09/23/2020,Shultz Steel Company,South Gate,Los Angeles County,13.0,Layoff Permanent,Los Angeles County
905,07/10/2020,07/10/2020,09/23/2020,Shultz Steel Company,South Gate,Los Angeles County,50.0,Layoff Temporary,Los Angeles County
906,06/01/2020,06/30/2020,09/23/2020,TC California Hospitality LLC - Town & Country Hotel,San Diego,San Diego County,266.0,Layoff Permanent,San Diego County
907,06/01/2020,06/01/2020,09/23/2020,"Benchmark Conference Resorts of California, LLC dba Chaminade Resort and Spa",Santa Cruz,Santa Cruz County,125.0,Layoff Permanent,Santa Cruz County
908,08/27/2020,08/07/2020,09/23/2020,Wyndham Vacation Ownership dba Indio Resort,Indio,Riverside County,14.0,Layoff Permanent,Riverside County
909,03/25/2020,03/18/2020,09/24/2020,Courtyard Management Corp dba Courtyard Oakland Emeryville,Emeryville,Alameda County,88.0,Layoff Temporary,Alameda County
910,05/04/2020,05/04/2020,09/24/2020,"Merritt Hospitality, LLC Warner Center Marriott Woodland Hills",Woodland Hills,Los Angeles County,149.0,Layoff Permanent,Los Angeles County
911,09/15/2020,11/02/2020,09/24/2020,Liquibox,Sacramento,Sacramento County,22.0,Closure Permanent,Sacramento County
912,03/22/2020,03/21/2020,09/24/2020,"Dolls Kill, Inc.",San Francisco,San Francisco County,36.0,Layoff Permanent,San Francisco County
913,03/22/2020,03/21/2020,09/24/2020,"Dolls Kill, Inc.",San Francisco,San Francisco County,5.0,Layoff Permanent,San Francisco County
914,06/05/2020,06/05/2020,09/24/2020,"Dolls Kill, Inc.",San Francisco,San Francisco County,11.0,Layoff Temporary,San Francisco County
915,06/05/2020,05/27/2020,09/24/2020,Active Acquisition Partners dba Active Sports Clubs,Oakland,Alameda County,85.0,Layoff Permanent,Alameda County
916,06/02/2020,06/02/2020,09/24/2020,SFMOMA,San Francisco,San Francisco County,41.0,Layoff Permanent,San Francisco County
917,03/21/2020,03/24/2020,09/24/2020,"Renaissance Hotel Operating Co., dba Renaissance Long Beach",Long Beach,Los Angeles County,178.0,Layoff Temporary,Los Angeles County
918,08/27/2020,08/07/2020,09/24/2020,Wyndham Vacation Ownership dba Vino Bella Napa Resort,Napa,Napa County,9.0,Layoff Permanent,Napa County
919,03/27/2020,03/20/2020,09/24/2020,Napa Valley Marriott Hotel & Spa,Napa,Napa County,152.0,Closure Temporary,Napa County
920,03/26/2020,03/16/2020,09/24/2020,"Great Lakes Services, LLC dba Great Wolf Lodge",Garden Grove,Orange County,752.0,Closure Temporary,Orange County
921,06/03/2020,04/17/2020,09/24/2020,"Stephens Institute, dba Academy of Art University",San Francisco,San Francisco County,19.0,Layoff Permanent,San Francisco County
922,03/24/2020,03/11/2020,09/24/2020,Academy of Art University,San Francisco,San Francisco County,159.0,Layoff Temporary,San Francisco County
923,05/31/2020,07/31/2020,09/24/2020,Rosewood Sand Hill,Menlo Park,San Mateo County,306.0,Layoff Permanent,San Mateo County
924,05/19/2020,05/22/2020,09/25/2020,Larry Flynts Hustler Casino,Gardena,Los Angeles County,257.0,Layoff Permanent,Los Angeles County
925,06/02/2020,06/04/2020,09/25/2020,Hi-Shear Corporation,Torrance,Los Angeles County,49.0,Layoff Permanent,Los Angeles County
926,06/02/2020,06/05/2020,09/25/2020,"Thales Avionics, Inc.",Irvine,Orange County,124.0,Layoff Permanent,Orange County
927,08/07/2020,08/07/2020,09/25/2020,Marriott Laguna Cliffs,Dana Point,Orange County,16.0,Layoff Permanent,Orange County
928,09/24/2020,12/27/2020,09/25/2020,"McClatchy Company, LLC",Sacramento,Sacramento County,199.0,Layoff Temporary,Sacramento County
929,06/02/2020,05/31/2020,09/25/2020,San Manuel Band of Mission Indians,Highland,San Bernardino County,87.0,Layoff Permanent,San Bernardino County
930,06/02/2020,05/31/2020,09/25/2020,San Manuel Casino,Highland,San Bernardino County,251.0,Layoff Permanent,San Bernardino County
931,05/19/2020,06/19/2020,09/25/2020,Four Seasons Residence Club Aviara,Carlsbad,San Diego County,10.0,Layoff Permanent,San Diego County
932,06/08/2020,06/15/2020,09/25/2020,Sunroad HS Auto Inc. Kearny Mesa Hyundai Subaru,San Diego,San Diego County,3.0,Layoff Permanent,San Diego County
933,06/08/2020,06/15/2020,09/25/2020,Sunroad KM CDJR LLC -  Kearny Mesa Chrysler Dodge Jeep Ram,San Diego,San Diego County,7.0,Layoff Permanent,San Diego County
934,06/02/2020,06/05/2020,09/25/2020,"Westlake Wellbeing Properties, LLC - Four Seasons Hotel Westlake Village",Thousand Oaks,Ventura County,185.0,Layoff Permanent,Ventura County
935,06/01/2020,03/30/2020,09/25/2020,Stonebrae Partners LLC,Hayward,Alameda County,40.0,Layoff Temporary,Alameda County
936,05/19/2020,05/19/2020,09/26/2020,"Eminent, Inc.-Resolve Group, Inc.",Los Angeles,Los Angeles County,20.0,Layoff Temporary,Los Angeles County
937,05/30/2020,06/01/2020,09/26/2020,Hillcrest Country Club,Los Angeles,Los Angeles County,58.0,Layoff Permanent,Los Angeles County
938,06/10/2020,05/27/2020,09/26/2020,"Guess, Inc.",Los Angeles,Los Angeles County,159.0,Layoff Permanent,Los Angeles County
939,06/09/2020,06/15/2020,09/26/2020,JC Resorts LLC Surf and Sand Resort,Laguna Beach,Orange County,40.0,Layoff Permanent,Orange County
940,06/08/2020,06/01/2020,09/26/2020,SPIN San Francisco LLC,San Francisco,San Francisco County,65.0,Closure Temporary,San Francisco County
941,05/20/2020,05/22/2020,09/26/2020,"M. Arthur Gensler Jr. & Associates, Inc. a California Corporation",San Francisco,San Francisco County,16.0,Layoff Permanent,San Francisco County
942,05/20/2020,05/25/2020,09/26/2020,"M. Arthur Gensler Jr. & Associates, Inc. a california Corporation",San Francisco,San Francisco County,18.0,Layoff Temporary,San Francisco County
943,06/09/2020,06/12/2020,09/26/2020,SFJAZZ,San Francisco,San Francisco County,94.0,Closure Temporary,San Francisco County
944,03/20/2020,03/13/2020,09/26/2020,TR Mission Management LLC,San Francisco,San Francisco County,159.0,Closure Permanent,San Francisco County
945,06/09/2020,04/13/2020,09/26/2020,Golden Valley Health Centers,Modesto,Stanislaus County,2.0,Layoff Temporary,Stanislaus County
946,06/09/2020,04/30/2020,09/26/2020,Golden Valley Health Center,Modesto,Stanislaus County,1.0,Closure Temporary,Stanislaus County
947,06/09/2020,05/04/2020,09/26/2020,Golden Valley Health Centers,Modesto,Stanislaus County,1.0,Layoff Temporary,Stanislaus County
948,06/09/2020,06/01/2020,09/26/2020,Golden Valley Health Centers,Ceres,Stanislaus County,1.0,Layoff Temporary,Stanislaus County
949,05/19/2020,05/04/2020,09/26/2020,"Eminent, Inc.",Cerritos,Los Angeles County,1.0,Layoff Permanent,Los Angeles County
950,04/23/2020,05/01/2020,09/26/2020,Tickets.com,Costa Mesa,Orange County,113.0,Layoff Temporary,Orange County
951,06/09/2020,03/18/2020,09/26/2020,"Ten Pin Fun Center, LLC",Turlock,Stanislaus County,140.0,Layoff Permanent,Stanislaus County
952,06/15/2020,08/14/2020,09/27/2020,Blackhawk Country Club,Danville,Contra Costa County,30.0,Layoff Permanent,Contra Costa County
953,06/17/2020,06/19/2020,09/27/2020,"M. Arthur Gensler Jr. & Associates, Inc.",Los Angeles,Los Angeles County,2.0,Layoff Permanent,Los Angeles County
954,06/12/2020,06/12/2020,09/27/2020,"Lucky Brand Dungarees, LLC",Los Angeles,Los Angeles County,91.0,Layoff Permanent,Los Angeles County
955,07/15/2020,09/13/2020,09/27/2020,"Thyssenkrupp Materials, LLC",Santa Fe Springs,Los Angeles County,76.0,Layoff Permanent,Los Angeles County
956,07/10/2020,08/17/2020,09/27/2020,"Lucky Brand Dungarees, LLC",Los Angeles,Los Angeles County,192.0,Layoff Permanent,Los Angeles County
957,07/27/2020,07/27/2020,09/27/2020,Cinepolis Luxure Cinemas,Pacific Palisades,Los Angeles County,2.0,Layoff Temporary,Los Angeles County
958,06/09/2020,06/15/2020,09/27/2020,JC Resorts - Surf & Sand Resort,Laguna Beach,Orange County,40.0,Layoff Permanent,Orange County
959,08/03/2020,08/10/2020,09/27/2020,JC Resorts LLC - Cathedral Canyon Golf Club,Cathedral City,Riverside County,1.0,Layoff Permanent,Riverside County
960,08/03/2020,08/10/2020,09/27/2020,JC Resorts - Los Serranos Golf Club,Chino Hills,San Bernardino County,29.0,Layoff Permanent,San Bernardino County
961,08/03/2020,08/10/2020,09/27/2020,JC Resorts LLC - The Crossings,Carlsbad,San Diego County,13.0,Layoff Permanent,San Diego County
962,08/03/2020,08/10/2020,09/27/2020,"JC Resorts, LLC",San Marcos,San Diego County,11.0,Layoff Permanent,San Diego County
963,06/08/2020,06/15/2020,09/27/2020,JC Resorts - Rancho Bernardo Inn,San Diego,San Diego County,334.0,Layoff Permanent,San Diego County
964,03/16/2020,03/16/2020,09/27/2020,"Hakkasan Holdings, LLC",San Francisco,San Francisco County,109.0,Closure Permanent,San Francisco County
965,05/28/2020,05/31/2020,09/27/2020,VHG Fourth Street SF  LLC,San Francisco,San Francisco County,75.0,Layoff Permanent,San Francisco County
966,07/27/2020,07/27/2020,09/27/2020,Cinepolis Luxury Cinemas,Westlake Village,Ventura County,2.0,Layoff Temporary,Ventura County
967,06/15/2020,06/15/2020,09/27/2020,All About Parking - Workday,Pleasanton,Alameda County,29.0,Layoff Permanent,Alameda County
968,06/13/2020,03/15/2020,09/27/2020,755 Tacos LLC DBA Poppy and Petite Taqueria,West Hollywood,Los Angeles County,123.0,Layoff Temporary,Los Angeles County
969,06/13/2020,03/15/2020,09/27/2020,"Beverly Sherbourne, LCC DBA Delilah",Los Angeles,Los Angeles County,55.0,Layoff Temporary,Los Angeles County
970,06/13/2020,03/15/2020,09/27/2020,"DBDJ, LLC DBA Bootsy Bellows",West Hollywood,Los Angeles County,92.0,Layoff Temporary,Los Angeles County
971,06/15/2020,03/16/2020,09/27/2020,The 1933 Group,Los Angeles,Los Angeles County,182.0,Layoff Type Unknown ,Los Angeles County
972,06/12/2020,06/04/2020,09/27/2020,Hybrid Promotions,Cypress,Orange County,97.0,Layoff Permanent,Orange County
973,06/12/2020,06/04/2020,09/27/2020,"Hybrid Promotions, LLC",Huntington Beach,Orange County,30.0,Layoff Permanent,Orange County
974,06/15/2020,06/15/2020,09/27/2020,All About Parking,San Mateo,San Mateo County,22.0,Layoff Permanent,San Mateo County
975,06/15/2020,06/15/2020,09/27/2020,All About Parking - Adobe Systems,San Jose,Santa Clara County,11.0,Layoff Permanent,Santa Clara County
976,09/25/2020,11/01/2020,09/28/2020,Ability First,Pasadena,Los Angeles County,89.0,Layoff Permanent,Los Angeles County
977,09/25/2020,11/09/2020,09/28/2020,"JetStream Ground Services, Inc",Los Angeles,Los Angeles County,103.0,Layoff Permanent,Los Angeles County
978,09/18/2020,04/10/2020,09/28/2020,"Cast & Crew Payroll, LLC",Burbank,Los Angeles County,68.0,Layoff Permanent,Los Angeles County
979,09/18/2020,04/10/2020,09/28/2020,"Cast & Crew Payroll, LLC",Los Angeles,Los Angeles County,32.0,Layoff Permanent,Los Angeles County
980,05/31/2020,05/31/2020,09/28/2020,Mondrian Los Angeles - Ivory on Sunset & Skybar,West Hollywood,Los Angeles County,89.0,Layoff Temporary,Los Angeles County
981,06/19/2020,06/25/2020,09/28/2020,Beverly Wilshire - Four Seasons Hotel,Beverly Hills,Los Angeles County,41.0,Layoff Permanent,Los Angeles County
982,06/18/2020,03/25/2020,09/28/2020,Coit Cleaning and Resortation,Monrovia,Los Angeles County,19.0,Layoff Temporary,Los Angeles County
983,03/27/2020,03/27/2020,09/28/2020,"James R. Glidewell, Dental Ceramics",Newport Beach,Orange County,583.0,Layoff Temporary,Orange County
984,03/27/2020,03/27/2020,09/28/2020,"James R. Glidewell, Dental Ceramics,",Newport Beach,Orange County,343.0,Layoff Permanent,Orange County
985,05/11/2020,04/13/2020,09/28/2020,"Crown World, Inc.",Newport Beach,Orange County,3.0,Layoff Temporary,Orange County
986,05/11/2020,04/13/2020,09/28/2020,"Prismatik Dentalcraft, Inc.",Newport Beach,Orange County,23.0,Layoff Temporary,Orange County
987,05/28/2020,06/30/2020,09/28/2020,"Hyatt House Anaheim Resort-Convention Center - HH Comer, LLC and Prospera Management",Anaheim,Orange County,88.0,Layoff Type Unknown ,Orange County
988,06/19/2020,05/09/2020,09/28/2020,"Prismatik Dentalcraft, Inc.",Newport Beach,Orange County,9.0,Layoff Permanent,Orange County
989,06/25/2020,06/22/2020,09/28/2020,Hyatt Regency Newport Beach,Newport Beach,Orange County,1.0,Layoff Permanent,Orange County
990,08/28/2020,11/01/2020,09/28/2020,"Scoobeez, Inc.,",Irvine,Orange County,55.0,Closure Permanent,Orange County
991,03/27/2020,03/27/2020,09/28/2020,"James R. Glidewell, Dental Cermics, Inc.",Riverside,Riverside County,16.0,Layoff Permanent,Riverside County
992,03/01/2020,03/27/2020,09/28/2020,"James R. Glidewell, Dental Ceramics, Inc.",Riverside,Riverside County,47.0,Layoff Temporary,Riverside County
993,06/19/2020,06/19/2020,09/28/2020,Hyatt Regency Indian Wells Resort & Spa,Indian Wells,Riverside County,230.0,Closure Permanent,Riverside County
994,09/03/2020,11/02/2020,09/28/2020,Liqui-Box Corporation,Sacramento,Sacramento County,22.0,Layoff Permanent,Sacramento County
995,09/21/2020,08/28/2020,09/28/2020,Hyatt Corporation dba Grand Hyatt San Diego,San Diego,San Diego County,292.0,Layoff Permanent,San Diego County
996,09/22/2020,10/04/2020,09/28/2020,ABM c/o Hertz,San Diego,San Diego County,1.0,Layoff Permanent,San Diego County
997,08/28/2020,08/28/2020,09/28/2020,Hyatt Regency Mission Bay Spa and Marina,San Diego,San Diego County,13.0,Layoff Permanent,San Diego County
998,06/08/2020,06/15/2020,09/28/2020,Sunroad CV Auto Inc. - Toyota Chula Vista,Chula Vista,San Diego County,2.0,Layoff Permanent,San Diego County
999,06/22/2020,06/19/2020,09/28/2020,Hyatt Regency Mission Bay Resort and Spa,San Diego,San Diego County,21.0,Closure Permanent,San Diego County
1000,04/13/2020,04/13/2020,09/28/2020,Jerome's Furniture,San Diego,San Diego County,160.0,Layoff Permanent,San Diego County
1001,06/18/2020,03/25/2020,09/28/2020,Coit Cleaning and Restoration,Burlingame,San Mateo County,20.0,Layoff Temporary,San Mateo County
1002,09/11/2020,09/11/2020,09/28/2020,Hyatt Regency San Francisco Airport,Burlingame,San Mateo County,26.0,Layoff Permanent,San Mateo County
1003,07/27/2020,06/30/2020,09/28/2020,Hyatt Place San Jose Downtown,San Jose,Santa Clara County,5.0,Layoff Permanent,Santa Clara County
1004,09/17/2020,09/25/2020,09/28/2020,Hyatt Corporation dba Hyatt Regency Santa Clara,Santa Clara,Santa Clara County,13.0,Layoff Permanent,Santa Clara County
1005,06/18/2020,06/26/2020,09/28/2020,1440 Multiversity,Scotts Valley,Santa Cruz County,102.0,Layoff Permanent,Santa Cruz County
1006,06/23/2020,06/22/2020,09/28/2020,Golden Valley Health Centers,Modesto,Stanislaus County,1.0,Layoff Permanent,Stanislaus County
1007,06/19/2020,06/19/2020,09/28/2020,Golden Valley Health Center,Ceres,Stanislaus County,1.0,Layoff Permanent,Stanislaus County
1008,07/08/2020,10/01/2020,09/28/2020,"United Airlines, Inc. - Los Angeles International Airport",Los Angeles,Los Angeles County,1750.0,Layoff Temporary,Los Angeles County
1009,09/10/2020,08/21/2020,09/28/2020,"NBCUniversal Media, LLC",Universal City,Los Angeles County,5.0,Layoff Permanent,Los Angeles County
1010,09/10/2020,10/09/2020,09/28/2020,"Telemundo Network Group LLC, NBCUniversal Media, LLC, and NBC Universal Production Services, LLC",Universal City,Los Angeles County,37.0,Layoff Permanent,Los Angeles County
1011,08/31/2020,10/30/2020,09/28/2020,Tension Envelope Corporation,Temecula,Riverside County,97.0,Closure Permanent,Riverside County
1012,06/23/2020,06/29/2020,09/28/2020,Vista Metals Corp.,Fontana,San Bernardino County,66.0,Layoff Permanent,San Bernardino County
1013,06/18/2020,06/19/2020,09/28/2020,Jewish Community Center of San Francisco,San Francisco,San Francisco County,153.0,Layoff Permanent,San Francisco County
1014,07/08/2020,10/01/2020,09/28/2020,"United Airlines, Inc. - San Francisco International Airport",San Francisco,San Francisco County,6912.0,Layoff Temporary,San Francisco County
1015,09/22/2020,09/18/2020,09/28/2020,Hyatt Corporation dba Grand Hyatt San Francisco,San Francisco,San Francisco County,17.0,Layoff Permanent,San Francisco County
1016,09/22/2020,09/18/2020,09/28/2020,Hyatt Corporation dba Hyatt Regency San Francisco,San Francisco,San Francisco County,18.0,Layoff Permanent,San Francisco County
1017,04/20/2020,04/20/2020,09/28/2020,Hyatt Regency Sonoma Wine Country,Santa Rosa,Sonoma County,83.0,Layoff Temporary,Sonoma County
1018,06/30/2020,05/31/2020,09/28/2020,Golden Valley Health Centers,Patterson,Stanislaus County,4.0,Layoff Permanent,Stanislaus County
1019,06/23/2020,07/01/2020,09/28/2020,Playworks,Oakland,Alameda County,14.0,Layoff Permanent,Alameda County
1020,06/23/2020,07/01/2020,09/28/2020,Playworks,Oakland,Alameda County,21.0,Layoff Temporary,Alameda County
1021,06/18/2020,06/22/2020,09/28/2020,Jewish Community Center of San Francisco,San Francisco,San Francisco County,7.0,Layoff Temporary,San Francisco County
1022,09/02/2020,10/08/2020,09/28/2020,"Marriott Ownership Resorts, Inc.",San Francisco,San Francisco County,25.0,Layoff Type Unknown ,San Francisco County
1023,08/27/2020,08/07/2020,09/28/2020,Wyndham Vacation Ownership dba Windsor Sales,Windsor,Sonoma County,5.0,Layoff Permanent,Sonoma County
1024,09/25/2020,08/19/2020,09/29/2020,"CSU, Chico",Chico,Butte County,446.0,Layoff Permanent,Butte County
1025,09/28/2020,09/27/2020,09/29/2020,"Wencor Group, LLC Fortner Engineering & Manufacturing, Inc.",Glendale,Los Angeles County,23.0,Layoff Temporary,Los Angeles County
1026,06/04/2020,06/05/2020,09/29/2020,Pacific Clinics Advanced Behavioral Healthcare,Los Angeles,Los Angeles County,11.0,Layoff Permanent,Los Angeles County
1027,06/04/2020,06/05/2020,09/29/2020,Pacific Clinics Advanced Behavioral Healthcare,Pasadena,Los Angeles County,20.0,Layoff Permanent,Los Angeles County
1028,06/04/2020,06/05/2020,09/29/2020,Pacific Clinics Advanced Behavioral Healthcare,Santa Fe Springs,Los Angeles County,35.0,Layoff Permanent,Los Angeles County
1029,05/01/2020,09/01/2020,09/29/2020,agilon health of California,Long Beach,Los Angeles County,12.0,Layoff Permanent,Los Angeles County
1030,06/29/2020,07/03/2020,09/29/2020,Pacific Clinics Advanced Behavioral Healthcare,Glendale,Los Angeles County,1.0,Layoff Permanent,Los Angeles County
1031,05/28/2020,06/30/2020,09/29/2020,NPL Anaheim Investments LLC and Prospera Management Inc - Homwood Suites by Hilton,Anaheim,Orange County,73.0,Layoff Temporary,Orange County
1032,09/18/2020,10/18/2020,09/29/2020,"Huntington Beach Inline, LLC",Huntington Beach,Orange County,21.0,Layoff Temporary,Orange County
1033,05/01/2020,09/01/2020,09/29/2020,"agilon health of California, Inc.",Corona,Riverside County,181.0,Closure Permanent,Riverside County
1034,09/23/2020,09/30/2020,09/29/2020,SAY San Diego,San Diego,San Diego County,60.0,Layoff Permanent,San Diego County
