,Notice Date,Effective Date,Received Date,Company,City,County,Employees,Layoff/Closure,Year
1793,03/17/2020,03/19/2020,06/05/2020,"Chico Community Publishing, Inc.",Sacramento,Sacramento County,45.0,layoff permanent,2020
1794,04/15/2020,03/19/2020,06/05/2020,RA Music LLC,Los Angeles,Los Angeles County,251.0,layoff temporary,2020
1795,05/05/2020,03/20/2020,06/05/2020,Sunset Tower Hotel,West Hollywood,Los Angeles County,8.0,layoff permanent,2020
1796,05/05/2020,03/20/2020,06/05/2020,Sunset Tower Hotel,West Hollywood,Los Angeles County,150.0,layoff temporary,2020
1797,05/12/2020,03/13/2020,06/05/2020,"Uptown Productions, Inc. - Burbank Studios",Burbank,Los Angeles County,10.0,layoff temporary,2020
1798,05/12/2020,03/13/2020,06/05/2020,"Uptown Productions, Inc. - Paramount Lot",Los Angeles,Los Angeles County,6.0,layoff temporary,2020
1799,05/08/2020,03/23/2020,06/05/2020,"BLT Communications, LLC",Los Angeles,Los Angeles County,65.0,layoff temporary,2020
1800,05/08/2020,03/27/2020,06/05/2020,Central Productions LLC,Burbank,Los Angeles County,132.0,layoff temporary,2020
1801,05/08/2020,03/27/2020,06/05/2020,Central Productions LLC,Culver City,Los Angeles County,85.0,layoff temporary,2020
1802,05/08/2020,03/27/2020,06/05/2020,Central Productions LLC,Los Angeles,Los Angeles County,121.0,layoff temporary,2020
1803,03/24/2020,03/26/2020,06/05/2020,Intercontinental Los Angeles Downtown,Los Angeles,Los Angeles County,840.0,layoff type unknown,2020
1804,05/11/2020,03/26/2020,06/05/2020,El Portal Dining Inc dba Parkside Pizza,El Portal,Mariposa County,21.0,layoff temporary,2020
1805,04/15/2020,03/19/2020,06/05/2020,"The Patina Group NewCo, LLC",Anaheim,Orange County,365.0,layoff temporary,2020
1806,04/15/2020,03/19/2020,06/05/2020,"The Patina Group NewCo, LLC",Costa Mesa,Orange County,96.0,layoff temporary,2020
1807,05/14/2020,07/17/2020,06/05/2020,"Cornerstone Building Brands, Inc. dba PlyGemPacific Windows",Corona,Riverside County,118.0,closure permanent,2020
1808,05/18/2020,07/17/2020,06/05/2020,Pacific Bells Inc. dba Taco Bell #34201,Redding,Shasta County,42.0,closure temporary,2020
1809,03/20/2020,03/24/2020,06/05/2020,"Precision Rehabilitation & OccupationalPhysical Therapy, Inc",Visalia,Tulare County,35.0,closure permanent,2020
1810,03/18/2020,03/18/2020,06/05/2020,Saekyu Oh DMD Dental Corporation dbaSmileland Dental,Tulare,Tulare County,32.0,closure temporary,2020
1811,05/19/2020,05/29/2020,06/04/2020,PEETS COFFEE AND TEA,Emeryville,Alameda County,51.0,layoff permanent,2020
1812,04/16/2020,03/14/2020,06/04/2020,Transform SR LLC - 01368,Concord,Contra Costa County,84.0,layoff temporary,2020
1813,04/16/2020,03/14/2020,06/04/2020,Transform SR LLC - 01098,Clovis,Fresno County,59.0,layoff temporary,2020
1814,04/29/2020,07/01/2020,06/04/2020,Olam West Coast Inc.,Lemoore,Kings County,567.0,closure permanent,2020
1815,04/16/2020,03/14/2020,06/04/2020,Transform SR LLC - 01309,Downey,Los Angeles County,98.0,layoff temporary,2020
1816,04/16/2020,03/14/2020,06/04/2020,Transform SR LLC - 01048,Pasadena,Los Angeles County,85.0,layoff temporary,2020
1817,04/09/2020,03/23/2020,06/04/2020,Western Los Angeles County Boy Scouts ofAmerica,Van Nuys,Los Angeles County,26.0,layoff temporary,2020
1818,04/09/2020,04/15/2020,06/04/2020,Western Los Angeles County Boy Scouts ofAmerica,Newhall,Los Angeles County,1.0,layoff temporary,2020
1819,04/07/2020,04/07/2020,06/04/2020,"Key Toy, LLC dba Keyes Toyota",Van Nuys,Los Angeles County,14.0,layoff permanent,2020
1820,04/07/2020,04/07/2020,06/04/2020,"Key Toy, LLC dba Keyes Toyota",Van Nuys,Los Angeles County,138.0,layoff temporary,2020
1821,04/07/2020,04/07/2020,06/04/2020,"Keyes European, LLC dba Keyes European",Van Nuys,Los Angeles County,22.0,layoff permanent,2020
1822,04/07/2020,04/07/2020,06/04/2020,"Keyes European, LLC dba Keyes European",Van Nuys,Los Angeles County,163.0,layoff temporary,2020
1823,04/07/2020,04/07/2020,06/04/2020,"Keylex, Inc. dba Lexus of Valencia",Valencia,Los Angeles County,6.0,layoff permanent,2020
1824,04/07/2020,04/07/2020,06/04/2020,"Keylex, Inc. dba Lexus of Valencia",Valencia,Los Angeles County,40.0,layoff temporary,2020
1825,04/07/2020,04/07/2020,06/04/2020,"Marimart, Inc. dba Woodland Hills Honda",Woodland Hills,Los Angeles County,7.0,layoff permanent,2020
1826,04/07/2020,04/07/2020,06/04/2020,"Marimart, Inc. dba Woodland Hills Honda",Woodland Hills,Los Angeles County,74.0,layoff temporary,2020
1827,05/12/2020,05/12/2020,06/04/2020,"Designed Metal Connection, Inc.",Gardena,Los Angeles County,64.0,layoff permanent,2020
1828,05/12/2020,05/12/2020,06/04/2020,"Designed Metal Connection, Inc.",Gardena,Los Angeles County,69.0,layoff temporary,2020
1829,05/14/2020,05/14/2020,06/04/2020,PIH Health Hospital - Downey,Downey,Los Angeles County,1.0,layoff temporary,2020
1830,05/11/2020,05/15/2020,06/04/2020,Caruso Management Company,Calabasas,Los Angeles County,3.0,layoff temporary,2020
1831,05/11/2020,05/15/2020,06/04/2020,Caruso Management Company,Glendale,Los Angeles County,41.0,layoff temporary,2020
1832,05/11/2020,05/15/2020,06/04/2020,Caruso Management Company,Los Angeles,Los Angeles County,82.0,layoff temporary,2020
1833,05/26/2020,05/15/2020,06/04/2020,Fender Musical Instruments Corp.,Los Angeles,Los Angeles County,43.0,layoff permanent,2020
1834,05/08/2020,04/09/2020,06/04/2020,Vionic HQ,San Rafael,Marin County,28.0,layoff temporary,2020
1835,04/16/2020,03/14/2020,06/04/2020,Transform SR LLC - 01688,Salinas,Monterey County,85.0,layoff temporary,2020
1836,04/16/2020,03/14/2020,06/04/2020,Transform SR LLC - 01378,Orange,Orange County,87.0,layoff temporary,2020
1837,05/15/2020,05/15/2020,06/04/2020,Eaton Corporation,Irvine,Orange County,14.0,layoff permanent,2020
1838,05/26/2020,05/15/2020,06/04/2020,Fender Musical Instruments Corporation,Corona,Riverside County,51.0,layoff permanent,2020
1839,04/10/2020,03/04/2020,06/04/2020,Vista Community Clinic,Vista,San Diego County,54.0,layoff temporary,2020
1840,04/15/2020,04/17/2020,06/04/2020,Ripple by the Bay LLC dba Magnolia BrewingCompany,San Francisco,San Francisco County,107.0,layoff temporary,2020
1841,05/11/2020,05/15/2020,06/04/2020,"Live Nation, Inc. Human Resources Division",San Francisco,San Francisco County,10.0,layoff temporary,2020
1842,05/20/2020,05/20/2020,06/04/2020,Samsara Networks Inc.,San Francisco,San Francisco County,157.0,layoff permanent,2020
1843,05/15/2020,05/29/2020,06/04/2020,"Den-Mat Holdings, LLC",Lompoc,Santa Barbara County,92.0,layoff permanent,2020
1844,05/15/2020,05/15/2020,06/04/2020,Seascape Beach Resort,Aptos,Santa Cruz County,121.0,layoff permanent,2020
1845,05/04/2020,08/31/2020,06/04/2020,Thibiant Naturals,Newbury Park,Ventura County,62.0,layoff permanent,2020
1846,05/11/2020,03/27/2020,06/04/2020,"BH DOZEN 1, LLC and CRANETOWN MEDIA,LLC",Los Angeles,Los Angeles County,85.0,layoff temporary,2020
1847,04/15/2020,03/19/2020,06/04/2020,"Inglewood Sportservice, Inc.",Inglewood,Los Angeles County,234.0,layoff temporary,2020
1848,04/15/2020,03/19/2020,06/04/2020,"Delaware North Companies Travel HospitalityServices, Inc",Ontario,San Bernardino County,63.0,layoff temporary,2020
1849,04/20/2020,04/08/2020,06/04/2020,"Sysco Ventura, Inc.",Oxnard,Ventura County,59.0,layoff temporary,2020
1850,05/11/2020,05/30/2020,06/04/2020,"Strizzi&rsquo;s Restaurants, Inc",Pleasanton,Alameda County,63.0,layoff temporary,2020
1851,04/06/2020,04/06/2020,06/04/2020,Lakeside Golf Club,Burbank,Los Angeles County,82.0,layoff permanent,2020
1852,04/15/2020,03/19/2020,06/04/2020,"Delaware North Companies Parks & Resorts atTenaya, Inc.",Fish Camp,Mariposa County,343.0,closure temporary,2020
1853,04/15/2020,03/19/2020,06/04/2020,"Anaheim Naples, LLC",Anaheim,Orange County,221.0,layoff temporary,2020
1854,05/04/2020,06/01/2020,06/04/2020,SpringHill Suites/Hello Betty Fish House,Oceanside,San Diego County,116.0,closure temporary,2020
1855,05/11/2020,03/20/2020,06/04/2020,Wayfare Tavern,San Francisco,San Francisco County,72.0,layoff temporary,2020
1856,05/05/2020,03/27/2020,06/04/2020,California Fish Grill,San Jose,Santa Clara County,22.0,layoff type unknown,2020
1857,04/13/2020,03/17/2020,06/03/2020,Trumpet Behavioral Health - Dublin,Dublin,Alameda County,61.0,layoff temporary,2020
1858,05/15/2020,05/15/2020,06/03/2020,GloriAnn Farms,Brawley,Imperial County,51.0,layoff temporary,2020
1859,05/11/2020,05/11/2020,06/03/2020,"Crest Logistics, LLC",Delano,Kern County,46.0,closure permanent,2020
1860,04/30/2020,05/18/2020,06/03/2020,R&C Motor Corporation DBA Claremont Toyota,Claremont,Los Angeles County,182.0,closure permanent,2020
1861,04/10/2020,03/17/2020,06/03/2020,Trumpet Behavioral Health - Long Beach,Lakewood,Los Angeles County,81.0,layoff temporary,2020
1862,04/10/2020,04/07/2020,06/03/2020,"Keyval, Inc dba Keyes Honda",Van Nuys,Los Angeles County,21.0,layoff permanent,2020
1863,04/10/2020,04/07/2020,06/03/2020,"Keyval, Inc dba Keyes Honda",Van Nuys,Los Angeles County,56.0,layoff temporary,2020
1864,04/07/2020,04/07/2020,06/03/2020,"Keyaud, LLC dba Keyes Audi",Van Nuys,Los Angeles County,9.0,layoff permanent,2020
1865,04/07/2020,04/07/2020,06/03/2020,"Keyaud, LLC dba Keyes Audi",Van Nuys,Los Angeles County,63.0,layoff temporary,2020
1866,04/07/2020,04/07/2020,06/03/2020,"KEYH, Inc. dba Keyes Hyundai",Van Nuys,Los Angeles County,7.0,layoff permanent,2020
1867,04/07/2020,04/07/2020,06/03/2020,"KEYH, Inc. dba Keyes Hyundai",Van Nuys,Los Angeles County,68.0,layoff temporary,2020
1868,04/07/2020,04/07/2020,06/03/2020,"Keylex, Inc. dba Keyes Lexus",Van Nuys,Los Angeles County,11.0,layoff permanent,2020
1869,04/07/2020,04/07/2020,06/03/2020,"Keylex, Inc. dba Keyes Lexus",Van Nuys,Los Angeles County,139.0,layoff temporary,2020
1870,04/07/2020,04/07/2020,06/03/2020,"KHMH, Inc. dba Mission Hills Hyundai",Mission Hills,Los Angeles County,2.0,layoff permanent,2020
1871,04/07/2020,04/07/2020,06/03/2020,"KHMH, Inc. dba Mission Hills Hyundai",Mission Hills,Los Angeles County,42.0,layoff temporary,2020
1872,04/07/2020,04/07/2020,06/03/2020,"5905 AHK, LLC dba Keyes Chevrolet",Van Nuys,Los Angeles County,13.0,layoff permanent,2020
1873,04/07/2020,04/07/2020,06/03/2020,"5905 AHK, LLC dba Keyes Chevrolet",Van Nuys,Los Angeles County,67.0,layoff temporary,2020
1874,04/07/2020,04/07/2020,06/03/2020,"Audval, Inc. dba Audi Valencia",Valencia,Los Angeles County,7.0,layoff permanent,2020
1875,04/07/2020,04/07/2020,06/03/2020,"Audval, Inc. dba Audi Valencia",Valencia,Los Angeles County,29.0,layoff temporary,2020
1876,04/07/2020,04/07/2020,06/03/2020,"WHN, Inc. dba Porsche Woodland Hills",Woodland Hills,Los Angeles County,46.0,layoff temporary,2020
1877,04/30/2020,05/19/2020,06/03/2020,Hogan SRK. Inc. DBA Capistrano Toyota,San Juan Capistrano,Orange County,82.0,closure permanent,2020
1878,05/01/2020,05/04/2020,06/03/2020,"Scripps Health DBA Scripps Mercy Hospital,San Diego",San Diego,San Diego County,1.0,layoff temporary,2020
1879,04/20/2020,04/20/2020,06/03/2020,"Hoehn Company, Inc dba Hoehn honda",Carlsbad,San Diego County,77.0,layoff temporary,2020
1880,04/20/2020,04/20/2020,06/03/2020,"Hoehn Motors, Inc DBA Audi Carlsbad",Carlsbad,San Diego County,53.0,layoff temporary,2020
1881,04/20/2020,04/20/2020,06/03/2020,"Hoehn Motors, Inc DBA Hoehn Mercedes-Benz",Carlsbad,San Diego County,112.0,layoff temporary,2020
1882,05/05/2020,04/27/2020,06/03/2020,The Neilsen Company,San Francisco,San Francisco County,38.0,layoff temporary,2020
1883,05/12/2020,07/12/2020,06/03/2020,"Machine Zone, Inc.",Palo Alto,Santa Clara County,115.0,layoff permanent,2020
1884,04/10/2020,03/17/2020,06/03/2020,Trumpet Behavioral Health,Capitola,Santa Cruz County,9.0,layoff temporary,2020
1885,03/31/2020,03/26/2020,06/03/2020,ArcLight Cinemas,Los Angeles,Los Angeles County,235.0,layoff temporary,2020
1886,03/31/2020,03/26/2020,06/03/2020,ArcLight Cinemas Pasadena,Pasadena,Los Angeles County,56.0,layoff temporary,2020
1887,03/31/2020,03/26/2020,06/03/2020,Pacific Theatres,Los Angeles,Los Angeles County,144.0,layoff temporary,2020
1888,03/31/2020,03/26/2020,06/03/2020,Pacific Theatres Glendale,Glendale,Los Angeles County,83.0,layoff temporary,2020
1889,05/15/2020,05/15/2020,06/03/2020,The New Children's Museum,San Diego,San Diego County,52.0,layoff type unknown,2020
1890,05/04/2020,05/04/2020,06/03/2020,Knauf Insulation Inc.,Shasta Lake,Shasta County,16.0,closure temporary,2020
1891,04/17/2020,04/20/2020,06/03/2020,PIH Health Good Samaritan Hospital,Los Angeles,Los Angeles County,51.0,layoff temporary,2020
1892,03/27/2020,03/27/2020,06/03/2020,Rod Fraser Enterprises DBA Rodrigo'sMexican Grill,Montclair,San Bernardino County,19.0,layoff temporary,2020
1893,04/13/2020,04/24/2020,06/03/2020,"Intersect ENT, Inc",Menlo Park,San Mateo County,117.0,layoff permanent,2020
1894,04/13/2020,03/17/2020,06/02/2020,Trumpet Behavioral Health - Oakland,Dublin,Alameda County,24.0,layoff temporary,2020
1895,03/30/2020,04/05/2020,06/02/2020,Grundfos Pumps Manufacturing,Fresno,Fresno County,211.0,closure temporary,2020
1896,04/24/2020,04/17/2020,06/02/2020,Dermatology Management LLC,Fresno,Fresno County,2.0,layoff temporary,2020
1897,04/13/2020,03/17/2020,06/02/2020,Trumpet Behavioral Health - Arcata,Arcata,Humboldt County,43.0,layoff temporary,2020
1898,03/20/2020,03/19/2020,06/02/2020,"Avalon BH HM, LLC - Avalon Hotel BeverlyHills",Beverly Hills,Los Angeles County,53.0,layoff temporary,2020
1899,04/24/2020,04/17/2020,06/02/2020,Coast Dermatology Medical Associates,Torrance,Los Angeles County,6.0,layoff temporary,2020
1900,04/10/2020,03/17/2020,06/02/2020,Trumpet Behavioral Health-Newport Beach,Santa Ana,Orange County,48.0,layoff temporary,2020
1901,04/30/2020,06/01/2020,06/02/2020,Yellow Cab of Greater Orange County,Garden Grove,Orange County,30.0,closure type unknown,2020
1902,03/25/2020,03/18/2020,06/02/2020,Ra Sushi Corona Corp.,Corona,Riverside County,37.0,layoff temporary,2020
1903,04/13/2020,03/17/2020,06/02/2020,Trumpet Behavioral Health - San Diego,San Diego,San Diego County,63.0,layoff temporary,2020
1904,05/13/2020,05/15/2020,06/02/2020,Live Nation Entertainment - SponsorshipDivision,San Francisco,San Francisco County,2.0,layoff temporary,2020
1905,04/13/2020,03/17/2020,06/02/2020,Trumpet Behavioral Health - Palo Alto,San Bruno,San Mateo County,14.0,layoff temporary,2020
1906,04/13/2020,03/17/2020,06/02/2020,Trumpet Behavioral Health - San Jose,San Jose,Santa Clara County,166.0,layoff temporary,2020
1907,04/15/2020,04/05/2020,06/02/2020,"Nordstrom, Inc. dba Nordstrom",Thousand Oaks,Ventura County,257.0,layoff temporary,2020
1908,04/23/2020,04/19/2020,06/02/2020,Best Buy,Thousand Oaks,Ventura County,147.0,layoff temporary,2020
1909,04/24/2020,04/17/2020,06/02/2020,"Dermatology Management, LLC",Camarillo,Ventura County,5.0,layoff temporary,2020
1910,04/15/2020,03/01/2020,06/02/2020,Gate Gourmet's San Diego InternationalAirport Kitchen,San Diego,San Diego County,97.0,layoff temporary,2020
1911,04/13/2020,03/17/2020,06/02/2020,Trumpet Behavioral Health-Antioch,Antioch,Contra Costa County,43.0,layoff temporary,2020
1912,04/07/2020,04/08/2020,06/02/2020,Genius Management LLC & Genius Fund,Culver City,Los Angeles County,134.0,layoff permanent,2020
1913,04/17/2020,04/20/2020,06/02/2020,PIH Health Good Samaritan Hospital,Los Angeles,Los Angeles County,33.0,closure permanent,2020
1914,04/20/2020,06/20/2020,06/02/2020,"Soouthwestern & Pacific Specialty Finance,Inc. - Axcess Financial",Hawaiian Gardens,Los Angeles County,1.0,closure permanent,2020
1915,04/17/2020,03/13/2020,06/02/2020,"Magic Mountain, LLC",Valencia,Los Angeles County,1454.0,layoff temporary,2020
1916,04/20/2020,04/20/2020,06/02/2020,Mellano & Company,Santa Ana,Orange County,1.0,closure temporary,2020
1917,04/01/2020,03/28/2020,06/02/2020,COURTYARD MANAGEMENTCORPORATION,Irvine,Orange County,64.0,layoff temporary,2020
1918,04/07/2020,04/08/2020,06/02/2020,Genius Fund - All Heli Ventures Operations,Adelanto,San Bernardino County,33.0,layoff permanent,2020
1919,04/03/2020,03/18/2020,06/02/2020,Outback Steakhouse,San Diego,San Diego County,61.0,layoff temporary,2020
1920,04/03/2020,03/18/2020,06/02/2020,Out West Restaurant Group dba OutbackSteakhouse,National City,San Diego County,61.0,layoff temporary,2020
1921,04/15/2020,03/23/2020,06/02/2020,Neighborhood Healthcare,Escondido,San Diego County,20.0,layoff permanent,2020
1922,04/15/2020,04/26/2020,06/02/2020,Petco Animal Supplies Stores Inc. - PetcoNational Support Center,San Diego,San Diego County,214.0,layoff temporary,2020
1923,03/15/2020,03/17/2020,06/02/2020,"Petco Animal Supplies Stores, Inc. - PetcoNational Support Center",San Diego,San Diego County,24.0,layoff permanent,2020
1924,04/14/2020,03/25/2020,06/02/2020,Dosanjh Family Automotive Retailing GroupInc. dba Stevens Creek Chevrolet and Cadillac,Santa Clara,Santa Clara County,56.0,layoff temporary,2020
1925,04/18/2020,03/13/2020,06/02/2020,Six Flags Discovery Kingdom,Vallejo,Solano County,911.0,layoff temporary,2020
1926,04/22/2020,03/25/2020,06/01/2020,"Deluxe Creative Services, Inc.",Los Angeles,Los Angeles County,157.0,layoff temporary,2020
1927,04/28/2020,04/24/2020,06/01/2020,"Flying Food Group, LLC",Los Angeles,Los Angeles County,58.0,layoff permanent,2020
1928,04/30/2020,04/27/2020,06/01/2020,PIH Health Hospital Whittier,Whittier,Los Angeles County,33.0,layoff temporary,2020
1929,04/24/2020,04/06/2020,06/01/2020,JLR Newport Beach,Newport Beach,Orange County,21.0,layoff permanent,2020
1930,04/24/2020,04/06/2020,06/01/2020,JLR Newport Beach,Newport Beach,Orange County,66.0,layoff temporary,2020
1931,03/24/2020,03/20/2020,06/01/2020,Oremor of Temecula LLC dba TemeculaValley Toyota/Scion,Temecula,Riverside County,186.0,layoff temporary,2020
1932,03/31/2020,03/31/2020,06/01/2020,Oremor of Temecula LLC dba TemeculaValley Toyota/Scion,Temecula,Riverside County,18.0,layoff permanent,2020
1933,04/14/2020,04/15/2020,06/01/2020,Salvation Army,Perris,Riverside County,53.0,layoff temporary,2020
1934,04/23/2020,04/23/2020,06/01/2020,"Imperial Imports, Inc.",San Bernardino,San Bernardino County,18.0,layoff permanent,2020
1935,04/23/2020,03/20/2020,06/01/2020,"AMC Ontario Mills 30 - American Multi-Cinema, Inc.",Ontario,San Bernardino County,146.0,layoff temporary,2020
1936,04/27/2020,04/27/2020,06/01/2020,BMW of El Cajon,El Cajon,San Diego County,8.0,layoff temporary,2020
1937,04/27/2020,04/27/2020,06/01/2020,Kearny Mesa Chevrolet,San Diego,San Diego County,13.0,layoff temporary,2020
1938,04/27/2020,04/27/2020,06/01/2020,Kearny Mesa Chrysler Dodge Jeep Ram,San Diego,San Diego County,17.0,layoff temporary,2020
1939,04/27/2020,04/27/2020,06/01/2020,Kearny Mesa Ford & Kia,San Diego,San Diego County,65.0,layoff temporary,2020
1940,04/27/2020,04/27/2020,06/01/2020,Pacific Honda,San Diego,San Diego County,53.0,layoff temporary,2020
1941,04/27/2020,04/27/2020,06/01/2020,San Diego Chrysler Dodge Jeep Ram,San Diego,San Diego County,17.0,layoff temporary,2020
1942,04/27/2020,04/27/2020,06/01/2020,Sunroad Auto Shared Services Inc,San Diego,San Diego County,2.0,layoff temporary,2020
1943,04/23/2020,03/20/2020,06/01/2020,"American Multi&shy;Cinema, Inc. DBA AMCPalm Promenade 24",San Diego,San Diego County,55.0,layoff temporary,2020
1944,04/15/2020,05/01/2020,06/01/2020,Opendoor Labs Inc.,San Francisco,San Francisco County,83.0,layoff permanent,2020
1945,04/23/2020,04/20/2020,06/01/2020,"American Multi-Cinema, Inc. DBA AMCMetreon 16",San Francisco,San Francisco County,55.0,layoff temporary,2020
1946,04/28/2020,05/01/2020,06/01/2020,"OpenTable, Inc.",San Francisco,San Francisco County,13.0,layoff temporary,2020
1947,04/27/2020,06/30/2020,06/01/2020,Mercy High School,San Francisco,San Francisco County,49.0,closure permanent,2020
1948,04/24/2020,04/17/2020,06/01/2020,Luminous Dermatology,Santa Maria,Santa Barbara County,8.0,layoff temporary,2020
1949,04/24/2020,04/17/2020,06/01/2020,"Dermatology Management, LLC",Westlake Village,Ventura County,16.0,layoff temporary,2020
1950,04/29/2020,05/01/2020,06/01/2020,"Ventura Foods, LLC dba Ventura FoodsOntario",Ontario,San Bernardino County,96.0,layoff temporary,2020
1951,04/16/2020,03/18/2020,06/01/2020,"Harvey & Madding Inc, dba Dublin Honda",Dublin,Alameda County,76.0,layoff temporary,2020
1952,04/20/2020,06/20/2020,06/01/2020,"Southwestern & Pacific Specialty Finance, Inc -Axcess Financial",Montebello,Los Angeles County,2.0,closure permanent,2020
1953,04/17/2020,04/04/2020,06/01/2020,Bed Bath Beyond,Larkspur,Marin County,52.0,layoff temporary,2020
1954,04/20/2020,06/20/2020,06/01/2020,Southwestern & Pacific Specialty Finance -Axcess Financial,Hemet,Riverside County,1.0,closure permanent,2020
1955,04/03/2020,03/18/2020,06/01/2020,Out West Restaurant Group Inc dba OutbackSteakhouse,Oceanside,San Diego County,41.0,layoff temporary,2020
1956,04/20/2020,06/20/2020,06/01/2020,"Southwestern & Pacific Speciality Finance, Inc.- Axcess Financial",Chula Vista,San Diego County,3.0,closure permanent,2020
1957,04/07/2020,04/07/2020,06/01/2020,"Mathew Enterprise, Inc. dba SerramonteVolkswagon",Daly City,San Mateo County,51.0,layoff temporary,2020
1958,04/07/2020,04/07/2020,06/01/2020,Stevens Creek Holdings dba Stevens CreekKia,San Jose,Santa Clara County,41.0,layoff temporary,2020
1959,04/02/2020,04/02/2020,06/01/2020,Freeman Motors Inc.,Santa Rosa,Sonoma County,107.0,layoff temporary,2020
1960,04/20/2020,06/20/2020,06/01/2020,"Southwestern & Pacific Specialty Finance, Inc.- Axcess Financial",Simi Valley,Ventura County,1.0,closure permanent,2020
1961,04/16/2020,04/16/2020,05/29/2020,Paula LeDuc Fine Catering & Events,Emeryville,Alameda County,63.0,layoff temporary,2020
1962,04/22/2020,03/17/2020,05/29/2020,DISTRIBUTION NOW,Taft,Kern County,3.0,layoff temporary,2020
1963,04/20/2020,03/22/2020,05/29/2020,Deluxe Creative Services Inc.,Burbank,Los Angeles County,209.0,layoff temporary,2020
1964,04/23/2020,06/22/2020,05/29/2020,Trumpet Behavioral Health - Whittier,Lakewood,Los Angeles County,23.0,closure type unknown,2020
1965,04/15/2020,03/18/2020,05/29/2020,Bon Appetit Management Co. at BiolaUniversity,La Mirada,Los Angeles County,66.0,layoff temporary,2020
1966,04/15/2020,04/16/2020,05/29/2020,EL CABALLERO COUNTRY CLUB,TARZANA,Los Angeles County,67.0,layoff temporary,2020
1967,04/16/2020,03/23/2020,05/29/2020,TRI MOUNTAIN,Baldwin Park,Los Angeles County,60.0,layoff temporary,2020
1968,04/16/2020,05/16/2020,05/29/2020,LOS ANGELES TIMES COMMUNICATIONS,Los Angeles,Los Angeles County,14.0,layoff type unknown,2020
1969,04/30/2020,06/01/2020,05/29/2020,Keolis Transit Service LLC,Garden Grove,Orange County,19.0,layoff type unknown,2020
1970,04/15/2020,06/08/2020,05/29/2020,Adventist Health/West dba Adventist HealthRoseville,Lincoln,Placer County,37.0,layoff permanent,2020
1971,05/01/2020,04/27/2020,05/29/2020,"Safran Electronics & Defense, Avionics USA,LLC",Corona,Riverside County,109.0,layoff temporary,2020
1972,03/23/2020,03/24/2020,05/29/2020,"UMA Enterprises, Inc.",Chino,San Bernardino County,60.0,layoff temporary,2020
1973,04/15/2020,04/17/2020,05/29/2020,Jenny Craig,Carlsbad,San Diego County,81.0,layoff temporary,2020
1974,04/17/2020,04/04/2020,05/29/2020,Bed Bath & Beyond,Thousand Oaks,Ventura County,43.0,layoff temporary,2020
1975,04/20/2020,03/23/2020,05/29/2020,ENTERPRISE HOLDINGS,Oakland,Alameda County,28.0,layoff temporary,2020
1976,04/22/2020,04/24/2020,05/29/2020,Flying Food Group LLC,Burlingame,San Mateo County,156.0,layoff permanent,2020
1977,04/14/2020,03/16/2020,05/29/2020,Canteen Vending,San Jose,Santa Clara County,65.0,layoff temporary,2020
1978,04/07/2020,04/07/2020,05/29/2020,FREMONT MAZDA,Newark,Alameda County,50.0,layoff temporary,2020
1979,04/07/2020,04/07/2020,05/29/2020,"Hayward Nissan Corp., dba Hayward Nissan",Hayward,Alameda County,38.0,layoff temporary,2020
1980,04/16/2020,04/17/2020,05/29/2020,"Honda Performance Development, Inc.",Valencia,Los Angeles County,45.0,layoff temporary,2020
1981,04/16/2020,04/17/2020,05/29/2020,"Honda R&D Americas, LLC",Los Angeles,Los Angeles County,5.0,layoff temporary,2020
1982,04/16/2020,04/17/2020,05/29/2020,"American Honda Motor, Co., Inc.",Chino,San Bernardino County,21.0,layoff temporary,2020
1983,04/07/2020,04/07/2020,05/29/2020,"Mathew Enterprise, Inc. dba SerramonteSubaru",Daly City,San Mateo County,85.0,layoff temporary,2020
1984,03/26/2020,03/26/2020,05/28/2020,One Toyota of Oakland,Oakland,Alameda County,85.0,layoff temporary,2020
1985,04/03/2020,03/18/2020,05/28/2020,Out West Restaurant Group,Pittsburg,Contra Costa County,44.0,layoff temporary,2020
1986,04/16/2020,04/16/2020,05/28/2020,DIABLO COUNTRY CLUB,Diablo,Contra Costa County,92.0,layoff temporary,2020
1987,03/30/2020,03/20/2020,05/28/2020,YMCA of Long Beach - Long Beach,Long Beach,Los Angeles County,165.0,layoff temporary,2020
1988,03/30/2020,03/20/2020,05/28/2020,YMCA of Long Beach dba Lakewood FamilyYMCA and Los Cerritos Family YMCA,Lakewood,Los Angeles County,248.0,layoff temporary,2020
1989,04/22/2020,04/03/2020,05/28/2020,Printograph Inc. dba GotPrint.com,Burbank,Los Angeles County,170.0,layoff temporary,2020
1990,04/17/2020,04/17/2020,05/28/2020,Live Nation Productions division,Beverly Hills,Los Angeles County,14.0,layoff temporary,2020
1991,04/27/2020,05/01/2020,05/28/2020,"Insomniac Holdings, LLC",Beverly Hills,Los Angeles County,91.0,layoff temporary,2020
1992,04/06/2020,04/03/2020,05/28/2020,Bargain Rent-A-Car dba Lexus of Cerritos,Cerritos,Los Angeles County,43.0,layoff temporary,2020
1993,04/01/2020,03/30/2020,05/28/2020,Capstone Turbine Corporation,Van Nuys,Los Angeles County,47.0,layoff temporary,2020
1994,04/21/2020,05/03/2020,05/28/2020,Adventist Health St. Helena,Saint Helena,Napa County,8.0,layoff temporary,2020
