,Notice Date,Effective Date,Received Date,Company,City,County,Employees,Layoff/Closure,County Orig,Year,Layoff/Closure clean
1571,06/12/2020,06/12/2020,06/25/2020,GKN Aerospace Chem-tronics Inc.,El Cajon,San Diego County,77.0,Layoff Permanent,San Diego County,2020,layoff permanent
1572,05/14/2020,05/15/2020,06/25/2020,"Carey Dispatch Services, Inc.",South San Francisco,San Mateo County,15.0,Layoff Permanent,San Mateo County,2020,layoff permanent
1573,06/22/2020,08/21/2020,06/25/2020,Intuit Inc.,Mountain View,Santa Clara County,189.0,Layoff Permanent,Santa Clara County,2020,layoff permanent
1574,06/18/2020,07/01/2020,06/25/2020,Bon App&eacute;tit,Sunnyvale,Santa Clara County,261.0,Layoff Permanent,Santa Clara County,2020,layoff permanent
1575,06/16/2020,08/21/2020,06/25/2020,Elyxir Distributing LLC,Watsonville,Santa Cruz County,113.0,Closure Permanent,Santa Cruz County,2020,closure permanent
1576,06/15/2020,08/18/2020,06/25/2020,"Renaissance Hotel Mgmt Co, LLC dba TheLodge at Sonoma",Sonoma,Sonoma County,157.0,Layoff Permanent,Sonoma County,2020,layoff permanent
1577,06/19/2020,08/22/2020,06/25/2020,"Raiders Football Club, LLC",Alameda,Alameda County,492.0,Closure Permanent,Alameda County,2020,closure permanent
1578,06/04/2020,03/20/2020,06/25/2020,FreshPoint Southern California Inc.,La Puente,Los Angeles County,152.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
1579,06/16/2020,05/08/2020,06/25/2020,Universal Content Productions LLC,Universal City,Los Angeles County,46.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
1580,06/16/2020,05/08/2020,06/25/2020,Universal Television LLC,Studio City,Los Angeles County,5.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
1581,06/16/2020,05/08/2020,06/25/2020,Universal Television LLC,Universal City,Los Angeles County,50.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
1582,06/16/2020,06/12/2020,06/25/2020,Pasadena Symphony Association,Pasadena,Los Angeles County,68.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
1583,06/16/2020,08/17/2020,06/25/2020,Orora Visual LLC.,Los Angeles,Los Angeles County,32.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
1584,06/11/2020,06/12/2020,06/25/2020,SAN DIEGO CONVENTION CENTERCORPORATION,San Diego,San Diego County,23.0,Layoff Permanent,San Diego County,2020,layoff permanent
1585,06/19/2020,06/21/2020,06/25/2020,HomeState Hospitalities LLC dba HomeState,Los Angeles,Los Angeles County,13.0,Closure Unknown at thistime,Los Angeles County,2020,closure type unknown
1586,04/13/2020,04/13/2020,06/25/2020,"Pacific Dental Services, LLC",Irvine,Orange County,94.0,Layoff Temporary,Orange County,2020,layoff temporary
1587,06/15/2020,08/21/2020,06/25/2020,"Decore-ative Specialties, Inc.",Elk Grove,Sacramento County,133.0,Closure Permanent,Sacramento County,2020,closure permanent
1588,05/27/2020,04/23/2020,06/25/2020,"Spectrum Assembly, Inc.",Carlsbad,San Diego County,82.0,Layoff Temporary,San Diego County,2020,layoff temporary
1589,06/15/2020,06/30/2020,06/25/2020,Sodexo dba Artisan Restaurant Collection atLinkedIn,San Francisco,San Francisco County,52.0,Layoff Permanent,San Francisco County,2020,layoff permanent
1590,06/16/2020,08/31/2020,06/25/2020,Central Valley Training Center - Another WayProgram,Stockton,San Joaquin County,18.0,Layoff Permanent,San Joaquin County,2020,layoff permanent
1591,06/15/2020,06/15/2020,06/25/2020,All About Parking,Palo Alto,Santa Clara County,23.0,Layoff Permanent,Santa Clara County,2020,layoff permanent
1592,06/15/2020,06/15/2020,06/25/2020,All About Parking,San Jose,Santa Clara County,11.0,Layoff Permanent,Santa Clara County,2020,layoff permanent
1593,04/03/2020,04/04/2020,06/25/2020,Club Demonstration Services,Oxnard,Ventura County,132.0,Layoff Unknown at thistime,Ventura County,2020,layoff type unknown
1594,04/03/2020,04/04/2020,06/25/2020,"Club Demonstration Services, Inc.",Woodland,Yolo County,26.0,Layoff Unknown at thistime,Yolo County,2020,layoff type unknown
1595,06/09/2020,06/07/2020,06/24/2020,Bay Club Fremont,Fremont,Alameda County,197.0,Layoff Permanent,Alameda County,2020,layoff permanent
1596,03/31/2020,03/31/2020,06/24/2020,"La Verne Fitness, LLC",La Verne,Los Angeles County,57.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
1597,03/31/2020,03/31/2020,06/24/2020,"Lakewood Fitness, LLC",Lakewood,Los Angeles County,89.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
1598,03/31/2020,03/31/2020,06/24/2020,Lancaster Fitness LLC,Lancaster,Los Angeles County,38.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
1599,03/31/2020,03/31/2020,06/24/2020,Long Beach Fitness LLC,Long Beach,Los Angeles County,87.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
1600,03/31/2020,03/31/2020,06/24/2020,San Dimas Fitness LLC,San Dimas,Los Angeles County,53.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
1601,03/31/2020,03/31/2020,06/24/2020,"Van Nuys Fitness, LLC",Van Nuys,Los Angeles County,40.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
1602,06/09/2020,06/07/2020,06/24/2020,Manhattan Country Club,Manhattan Beach,Los Angeles County,167.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
1603,06/09/2020,06/07/2020,06/24/2020,Bay Club El Segundo,El Segundo,Los Angeles County,213.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
1604,05/29/2020,05/30/2020,06/24/2020,"CSU Northridge, University Student Union",Northridge,Los Angeles County,137.0,Closure Temporary,Los Angeles County,2020,closure temporary
1605,03/31/2020,03/31/2020,06/24/2020,SAS Restaurant Ventures DBA Denny's,Barstow,San Bernardino County,1.0,Closure Permanent,San Bernardino County,2020,closure permanent
1606,06/05/2020,04/18/2020,06/24/2020,Borrego Community Health Foundation,El Cajon,San Diego County,28.0,Layoff Permanent,San Diego County,2020,layoff permanent
1607,06/09/2020,06/07/2020,06/24/2020,Fairbanks Ranch Country Club,Rancho Santa Fe,San Diego County,127.0,Layoff Permanent,San Diego County,2020,layoff permanent
1608,06/09/2020,06/07/2020,06/24/2020,Bay Club Carmel Valley,San Diego,San Diego County,239.0,Layoff Permanent,San Diego County,2020,layoff permanent
1609,06/09/2020,06/07/2020,06/24/2020,Bay Club Financial District,San Francisco,San Francisco County,28.0,Layoff Permanent,San Francisco County,2020,layoff permanent
1610,06/09/2020,06/07/2020,06/24/2020,The Bay Club Company,Burlingame,San Mateo County,7.0,Layoff Permanent,San Mateo County,2020,layoff permanent
1611,06/09/2020,06/07/2020,06/24/2020,Boulder Ridge Golf Club,San Jose,Santa Clara County,34.0,Layoff Permanent,Santa Clara County,2020,layoff permanent
1612,06/09/2020,06/07/2020,06/24/2020,Bay Club Courtside,Los Gatos,Santa Clara County,294.0,Layoff Permanent,Santa Clara County,2020,layoff permanent
1613,04/21/2020,03/18/2020,06/24/2020,North East Medical Services,San Jose,Santa Clara County,38.0,Layoff Temporary,Santa Clara County,2020,layoff temporary
1614,06/03/2020,03/29/2020,06/24/2020,"Godiva Chocolatier, Inc",Camarillo,Ventura County,11.0,Layoff Temporary,Ventura County,2020,layoff temporary
1615,06/11/2020,06/30/2020,06/24/2020,Sofitel Hotels and Resorts,Los Angeles,Los Angeles County,215.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
1616,04/08/2020,03/29/2020,06/24/2020,"F21 OpCo, LLC - Forever 21",Los Angeles,Los Angeles County,294.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
1617,03/31/2020,03/31/2020,06/24/2020,"Robert A. Smith, Inc. (BMW, and Volvo)",Calabasas,Los Angeles County,55.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
1618,06/09/2020,04/04/2020,06/24/2020,"iHeartMedia + Entertainment, Inc. andiHeartMedia Management Services, Inc.",San Francisco,San Francisco County,42.0,Layoff Temporary,San Francisco County,2020,layoff temporary
1619,06/12/2020,06/15/2020,06/23/2020,"Anthony, Inc.",Sylmar,Los Angeles County,474.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
1620,06/11/2020,06/12/2020,06/23/2020,Connected Apparel Company LLC,Commerce,Los Angeles County,32.0,Layoff Unknown at thistime,Los Angeles County,2020,layoff type unknown
1621,05/06/2020,04/16/2020,06/23/2020,Pico Cleaners,Los Angeles,Los Angeles County,53.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
1622,05/06/2020,04/16/2020,06/23/2020,Pico Valet,Culver City,Los Angeles County,91.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
1623,06/11/2020,03/18/2020,06/23/2020,Scalzo Hospitality dba Park View Inn and ColdStone Creamery,Anaheim,Orange County,37.0,Layoff Temporary,Orange County,2020,layoff temporary
1624,06/11/2020,03/18/2020,06/23/2020,Scalzo Hospitality dba Park Vue Inn & ColdStone Creamery,Anaheim,Orange County,37.0,Layoff Temporary,Orange County,2020,layoff temporary
1625,06/05/2020,04/11/2020,06/23/2020,Borrego Community Health Foundation,Escondido,San Diego County,23.0,Layoff Permanent,San Diego County,2020,layoff permanent
1626,06/09/2020,07/09/2020,06/23/2020,"Synapse Financial Technologies, Inc",San Francisco,San Francisco County,63.0,Layoff Permanent,San Francisco County,2020,layoff permanent
1627,06/23/2020,06/14/2020,06/23/2020,"Eaton - Joslyn Sunbank Co., LLC",Paso Robles,San Luis Obispo County,1.0,Layoff Temporary,San Luis Obispo County,2020,layoff temporary
1628,05/26/2020,06/01/2020,06/22/2020,Princess Cruise Lines Ltd,Santa Clarita,Los Angeles County,601.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
1629,06/08/2020,06/15/2020,06/22/2020,Sunroad Bcv Auto Inc,El Cajon,San Diego County,1.0,Layoff Permanent,San Diego County,2020,layoff permanent
1630,05/27/2020,05/15/2020,06/22/2020,nVent Thermal LLC,Redwood City,San Mateo County,50.0,Layoff Temporary,San Mateo County,2020,layoff temporary
1631,04/14/2020,03/27/2020,06/22/2020,Sysco Sacramento,Pleasant Grove,Sutter County,93.0,Layoff Temporary,Sutter County,2020,layoff temporary
1632,04/14/2020,03/27/2020,06/22/2020,Sysco Sacramento,Pleasant Grove,Sutter County,95.0,Layoff Temporary,Sutter County,2020,layoff temporary
1633,06/11/2020,06/12/2020,06/22/2020,Guhring Inc,Huntington Beach,Orange County,10.0,Closure Permanent,Orange County,2020,closure permanent
1634,06/05/2020,03/17/2020,06/22/2020,"Decker Electric Co., Inc.",Petaluma,Sonoma County,4.0,Layoff Temporary,Sonoma County,2020,layoff temporary
1635,04/29/2020,05/13/2020,06/19/2020,"Sunroad KM Chevrolet, LLC. - Kearny MesaChevrolet",San Diego,San Diego County,6.0,Layoff Permanent,San Diego County,2020,layoff permanent
1636,04/29/2020,05/13/2020,06/19/2020,Sunroad MV Auto Inc./San Diego ChryslerDodge Jeep Ram,San Diego,San Diego County,8.0,Layoff Permanent,San Diego County,2020,layoff permanent
1637,04/06/2020,04/07/2020,06/18/2020,"Four Seasons Hotels Corporate Services, Incdba Four Seasons Resort Bora Bora",Beverly Hills,Los Angeles County,3.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
1638,06/08/2020,06/30/2020,06/18/2020,AEG Global Partnerships LLC,Los Angeles,Los Angeles County,1.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
1639,06/08/2020,06/30/2020,06/18/2020,Anschutz Entertainment Group Inc,Los Angeles,Los Angeles County,13.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
1640,06/08/2020,06/30/2020,06/18/2020,Anschutz Entertainment Group Inc,Los Angeles,Los Angeles County,18.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
1641,05/08/2020,06/30/2020,06/18/2020,AEG Global Partnerships LLC,Los Angeles,Los Angeles County,9.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
1642,06/09/2020,07/01/2020,06/18/2020,Auctions.com,Irvine,Orange County,67.0,Layoff Permanent,Orange County,2020,layoff permanent
1643,06/10/2020,06/10/2020,06/18/2020,"Weartech International, Inc.",Anaheim,Orange County,56.0,Closure Permanent,Orange County,2020,closure permanent
1644,06/05/2020,07/31/2020,06/18/2020,"Visiting Nurse Association of the InlandCounties, DBA VNA California",Riverside,Riverside County,125.0,Closure Permanent,Riverside County,2020,closure permanent
1645,06/10/2020,06/10/2020,06/18/2020,P.F. Chang's China Bistro,Sacramento,Sacramento County,63.0,Closure Temporary,Sacramento County,2020,closure temporary
1646,06/05/2020,04/11/2020,06/18/2020,Borrego Community Health Foundation,Borrego Springs,San Diego County,6.0,Layoff Permanent,San Diego County,2020,layoff permanent
1647,06/05/2020,04/11/2020,06/18/2020,Borrego Community Health Foundation,La Mesa,San Diego County,1.0,Layoff Permanent,San Diego County,2020,layoff permanent
1648,06/05/2020,04/11/2020,06/18/2020,Borrego Community Health Foundation,San Diego,San Diego County,17.0,Layoff Permanent,San Diego County,2020,layoff permanent
1649,06/08/2020,06/15/2020,06/18/2020,Maderas Partners/Maderas Golf Club,Poway,San Diego County,2.0,Layoff Permanent,San Diego County,2020,layoff permanent
1650,06/08/2020,06/15/2020,06/18/2020,PH Automotive Holding Corp Pacific Honda,San Diego,San Diego County,1.0,Layoff Permanent,San Diego County,2020,layoff permanent
1651,06/08/2020,06/15/2020,06/18/2020,Sunroad Auto LLC Ford and Kia,San Diego,San Diego County,2.0,Layoff Permanent,San Diego County,2020,layoff permanent
1652,06/08/2020,06/15/2020,06/18/2020,Sunroad Cv Auto Inc Toyota,Chula Vista,San Diego County,2.0,Layoff Permanent,San Diego County,2020,layoff permanent
1653,06/08/2020,06/15/2020,06/18/2020,Sunroad Hs Auto Svc/KM Hyundia Subaru,San Diego,San Diego County,3.0,Layoff Permanent,San Diego County,2020,layoff permanent
1654,06/09/2020,08/09/2020,06/18/2020,"24 Hour Fitness, USA, Inc.",Carlsbad,San Diego County,37.0,Layoff Permanent,San Diego County,2020,layoff permanent
1655,03/20/2020,03/18/2020,06/18/2020,"TLC Cocina LLC, dba The Little Chihuahua",San Francisco,San Francisco County,2.0,Layoff Permanent,San Francisco County,2020,layoff permanent
1656,06/05/2020,06/26/2020,06/18/2020,Den-Mat Holdings LLC,Lompoc,Santa Barbara County,6.0,Layoff Permanent,Santa Barbara County,2020,layoff permanent
1657,06/09/2020,06/15/2020,06/18/2020,National University,San Jose,Santa Clara County,6.0,Layoff Permanent,Santa Clara County,2020,layoff permanent
1658,05/29/2020,06/11/2020,06/18/2020,San Francisco Symphony,San Francisco,San Francisco County,31.0,Layoff Permanent,San Francisco County,2020,layoff permanent
1659,05/29/2020,06/11/2020,06/18/2020,San Francisco Symphony,San Francisco,San Francisco County,63.0,Layoff Temporary,San Francisco County,2020,layoff temporary
1660,03/28/2020,03/18/2020,06/18/2020,Springhill Suites & Hello Betty,Oceanside,San Diego County,120.0,Layoff Temporary,San Diego County,2020,layoff temporary
1661,05/28/2020,07/31/2020,06/18/2020,"AKQA, Inc.",San Francisco,San Francisco County,64.0,Layoff Permanent,San Francisco County,2020,layoff permanent
1662,06/05/2020,03/17/2020,06/18/2020,"Decker Electric Co, Inc.",San Francisco,San Francisco County,10.0,Layoff Temporary,San Francisco County,2020,layoff temporary
1663,03/24/2020,03/26/2020,06/17/2020,Frida Restaurant Americana LLC,Glendale,Los Angeles County,94.0,Closure Unknown at thistime,Los Angeles County,2020,closure type unknown
1664,03/31/2020,03/31/2020,06/17/2020,Diamond Bar Health & Fitness LLC,Diamond Bar,Los Angeles County,72.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
1665,03/31/2020,03/31/2020,06/17/2020,Cerritos Fitness & Health LLC,Cerritos,Los Angeles County,30.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
1666,06/08/2020,06/11/2020,06/17/2020,"Din Tai Fung Restaurant, Inc.,",Arcadia,Los Angeles County,62.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
1667,05/18/2020,05/18/2020,06/17/2020,"Thales Avionics, Inc.",Irvine,Orange County,681.0,Layoff Temporary,Orange County,2020,layoff temporary
1668,06/05/2020,06/05/2020,06/17/2020,Alatus Aerosystems,Brea,Orange County,13.0,Layoff Temporary,Orange County,2020,layoff temporary
1669,03/31/2020,03/31/2020,06/17/2020,"Murrieta Fitness & Health, LLC",Murrieta,Riverside County,1.0,Layoff Temporary,Riverside County,2020,layoff temporary
1670,03/31/2020,03/31/2020,06/17/2020,"SAS Restaurant Ventures, Inc. DBA Denny's",Big Bear Lake,San Bernardino County,1.0,Layoff Temporary,San Bernardino County,2020,layoff temporary
1671,03/31/2020,03/31/2020,06/17/2020,Rancho Cucamonga Fitness LLC,Rancho Cucamonga,San Bernardino County,1.0,Layoff Temporary,San Bernardino County,2020,layoff temporary
1672,06/04/2020,06/05/2020,06/17/2020,Pacific Clinics Advanced Behavioral Healthcare,Ontario,San Bernardino County,1.0,Layoff Permanent,San Bernardino County,2020,layoff permanent
1673,03/20/2020,03/20/2020,06/17/2020,"Highgate Hotels, L.P. DBA Westin Long Beach",Long Beach,Los Angeles County,151.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
1674,05/04/2020,05/15/2020,06/17/2020,"United Talent Agency, LLC",Beverly Hills,Los Angeles County,171.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
1675,05/29/2020,07/31/2020,06/17/2020,Boeing,Huntington Beach,Orange County,86.0,Layoff Permanent,Orange County,2020,layoff permanent
1676,04/08/2020,04/08/2020,06/17/2020,LB Construction Inc,Roseville,Placer County,1.0,Layoff Temporary,Placer County,2020,layoff temporary
1677,06/08/2020,06/30/2020,06/16/2020,"Anschutz Southern Califorina Sports ComplexLLC, dba Dignity Health Sports Park",Carson,Los Angeles County,2.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
1678,06/08/2020,06/30/2020,06/16/2020,AXS Group LLC,Los Angeles,Los Angeles County,22.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
1679,06/08/2020,06/30/2020,06/16/2020,"L.A. Arena Company, LLC,",Los Angeles,Los Angeles County,31.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
1680,06/08/2020,06/30/2020,06/16/2020,"L.A. Live Properties, LLC",Los Angeles,Los Angeles County,2.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
1681,06/08/2020,06/30/2020,06/16/2020,"L.A. Live Theater, LLC",Los Angeles,Los Angeles County,6.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
1682,06/08/2020,06/15/2020,06/16/2020,"Live Nation Entertainment, Inc. -- PurchasingDepartment",Los Angeles,Los Angeles County,1.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
1683,05/08/2020,05/15/2020,06/16/2020,"Live Nation Entertainment, Inc. CorporateDivision",Beverly Hills,Los Angeles County,18.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
1684,05/08/2020,05/15/2020,06/16/2020,"Live Nation Entertainment, Inc. CorporateDivision",Los Angeles,Los Angeles County,30.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
1685,06/05/2020,06/05/2020,06/16/2020,Alatus Aerosystems,Brea,Orange County,13.0,Layoff Temporary,Orange County,2020,layoff temporary
1686,06/16/2020,06/30/2020,06/16/2020,Test Employer,Sacramento,Sacramento County,147.0,Layoff Temporary,Sacramento County,2020,layoff temporary
1687,06/01/2020,06/29/2020,06/16/2020,"John Boyd Enterprises, Inc.",Sacramento,Sacramento County,25.0,Layoff Permanent,Sacramento County,2020,layoff permanent
1688,06/08/2020,06/30/2020,06/16/2020,AEG Presents,San Francisco,San Francisco County,5.0,Layoff Permanent,San Francisco County,2020,layoff permanent
1689,06/01/2020,06/05/2020,06/16/2020,Stitch Fix,San Francisco,San Francisco County,1420.0,Layoff Permanent,San Francisco County,2020,layoff permanent
1690,06/08/2020,06/30/2020,06/16/2020,AEG Presents LLC,Saratoga,Santa Clara County,6.0,Layoff Temporary,Santa Clara County,2020,layoff temporary
1691,04/20/2020,03/23/2020,06/16/2020,Enterprise Holdings at Oakland Airport,Oakland,Alameda County,16.0,Layoff Temporary,Alameda County,2020,layoff temporary
1692,04/20/2020,04/01/2020,06/16/2020,Enterprise Holdings at Oakland Airport ServiceCenter,Oakland,Alameda County,5.0,Layoff Temporary,Alameda County,2020,layoff temporary
1693,04/04/2020,03/16/2020,06/16/2020,Highgate Hotels L.P. dba Hotel Figueroa,Los Angeles,Los Angeles County,62.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
1694,06/03/2020,05/09/2020,06/16/2020,"NBCUniversal Media, LLC",Universal City,Los Angeles County,53.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
1695,04/20/2020,03/23/2020,06/16/2020,Enterprise Holdings at San Francisco Airport,San Francisco,San Francisco County,47.0,Layoff Temporary,San Francisco County,2020,layoff temporary
1696,04/20/2020,03/23/2020,06/16/2020,Enterprise Holdings at Downtown SanFrancisco,San Francisco,San Francisco County,1.0,Layoff Temporary,San Francisco County,2020,layoff temporary
1697,04/20/2020,04/01/2020,06/16/2020,Enterprise Holdings at San Francisco AirportService Center,Burlingame,San Mateo County,9.0,Layoff Temporary,San Mateo County,2020,layoff temporary
1698,04/20/2020,03/23/2020,06/16/2020,Enterprise Holdings at San Jose Airport,San Jose,Santa Clara County,22.0,Layoff Temporary,Santa Clara County,2020,layoff temporary
1699,03/31/2020,03/31/2020,06/16/2020,Enya K Corporation dba Sushi Enya,Los Angeles,Los Angeles County,45.0,Closure Temporary,Los Angeles County,2020,closure temporary
1700,03/31/2020,03/31/2020,06/16/2020,Enya K Corporation dba Sushi Enya,Pasadena,Los Angeles County,14.0,Closure Temporary,Los Angeles County,2020,closure temporary
1701,06/16/2020,06/16/2020,06/16/2020,Terrietta,Sacramento,Sacramento County,1.0,Closure Temporary,Sacramento County,2020,closure temporary
1702,03/26/2020,03/26/2020,06/16/2020,CYT HQ,El Cajon,San Diego County,49.0,Layoff Temporary,San Diego County,2020,layoff temporary
1703,04/09/2020,04/09/2020,06/16/2020,"CV Automotive Group, Inc.",Chula Vista,San Diego County,28.0,Layoff Temporary,San Diego County,2020,layoff temporary
1704,04/09/2020,03/27/2020,06/16/2020,"CV Automotive Group, Inc. dba Ford of ChulaVista",Chula Vista,San Diego County,11.0,Layoff Permanent,San Diego County,2020,layoff permanent
1705,03/20/2020,03/13/2020,06/16/2020,Sodexo dba Artisan Restaurant Collection atLinkedIn,San Francisco,San Francisco County,86.0,Layoff Temporary,San Francisco County,2020,layoff temporary
1706,06/05/2020,03/17/2020,06/16/2020,Decker Electric,San Francisco,San Francisco County,5.0,Layoff Temporary,San Francisco County,2020,layoff temporary
1707,06/05/2020,03/17/2020,06/16/2020,"Decker Electric Co, Inc.",San Francisco,San Francisco County,1.0,Layoff Temporary,San Francisco County,2020,layoff temporary
1708,04/02/2020,03/20/2020,06/16/2020,Central Coast YMCA,Watsonville,Santa Cruz County,41.0,Closure Temporary,Santa Cruz County,2020,closure temporary
1709,06/08/2020,06/30/2020,06/15/2020,AEG Anschutz Entertainment Group Inc. DBAAEG Sports,Carson,Los Angeles County,1.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
1710,06/08/2020,06/30/2020,06/15/2020,AEG AXS Holdco LLC,Los Angeles,Los Angeles County,1.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
1711,06/08/2020,06/30/2020,06/15/2020,AEG Global Partnerships LLC,Carson,Los Angeles County,3.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
1712,06/08/2020,06/30/2020,06/15/2020,AEG LA Youth Soccer Academy LLC,Carson,Los Angeles County,3.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
1713,06/08/2020,06/30/2020,06/15/2020,Anschutz L.A. Soccer II LLC,Carson,Los Angeles County,1.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
1714,06/08/2020,06/30/2020,06/15/2020,"Anschutz L.A. Soccer, Inc.",Carson,Los Angeles County,17.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
1715,06/08/2020,06/30/2020,06/15/2020,"L.A. Arena Company, LLC , DBA STAPLESCenter",Los Angeles,Los Angeles County,18.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
1716,06/08/2020,06/30/2020,06/15/2020,"L.A. Live Cinemas, LLC DBA Regal Cinemas",Los Angeles,Los Angeles County,2.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
1717,06/08/2020,06/30/2020,06/15/2020,"L.A. Live Properties, LLC",Los Angeles,Los Angeles County,4.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
1718,06/08/2020,06/30/2020,06/15/2020,"L.A. Live Theater, LLC, DBA Microsoft Theater",Los Angeles,Los Angeles County,4.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
1719,06/01/2020,07/01/2020,06/15/2020,Endell street Inc.,Los Angeles,Los Angeles County,158.0,Closure Permanent,Los Angeles County,2020,closure permanent
1720,06/08/2020,06/28/2020,06/15/2020,Segerstrom Center for the Arts,Costa Mesa,Orange County,16.0,Layoff Permanent,Orange County,2020,layoff permanent
1721,05/29/2020,07/14/2020,06/15/2020,Sheraton Operating Corporation - The WestinMission Hills Resort Villas,Rancho Mirage,Riverside County,132.0,Layoff Permanent,Riverside County,2020,layoff permanent
1722,05/12/2020,03/26/2020,06/15/2020,Egomotion Corp.,San Francisco,San Francisco County,95.0,Closure Permanent,San Francisco County,2020,closure permanent
1723,06/08/2020,06/28/2020,06/15/2020,Segerstrom Center for the Arts,Costa Mesa,Orange County,505.0,Layoff Temporary,Orange County,2020,layoff temporary
1724,06/05/2020,06/01/2020,06/12/2020,Loyola Marymount University,Los Angeles,Los Angeles County,230.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
1725,06/05/2020,06/06/2020,06/12/2020,"Kimpton Hotel & Restaurant Group, LLC",San Francisco,San Francisco County,76.0,Layoff Temporary,San Francisco County,2020,layoff temporary
1726,04/06/2020,04/13/2020,06/12/2020,Reputation.com,Redwood City,San Mateo County,74.0,Layoff Temporary,San Mateo County,2020,layoff temporary
1727,05/12/2020,03/23/2020,06/12/2020,Enterprise Rent-A-Car,Camarillo,Ventura County,33.0,Layoff Temporary,Ventura County,2020,layoff temporary
1728,04/20/2020,06/20/2020,06/12/2020,"Southwestern & Pacific Specialty Finance, Inc.",Marysville,Yuba County,1.0,Layoff Permanent,Yuba County,2020,layoff permanent
1729,05/08/2020,05/11/2020,06/11/2020,Blackhawk Country Club,Danville,Contra Costa County,2.0,Layoff Permanent,Contra Costa County,2020,layoff permanent
1730,05/27/2020,06/12/2020,06/11/2020,Educational Commission for Foreign MedicalGraduates,El Segundo,Los Angeles County,96.0,Closure Permanent,Los Angeles County,2020,closure permanent
1731,05/20/2020,05/20/2020,06/11/2020,RUSNAK AUDI - WESTLAKE,Thousand Oaks,Ventura County,15.0,Layoff Permanent,Ventura County,2020,layoff permanent
1732,06/04/2020,06/12/2020,06/11/2020,"GKN Aerospace Transparency Systems, Inc.",Garden Grove,Orange County,40.0,Layoff Permanent,Orange County,2020,layoff permanent
1733,06/04/2020,03/16/2020,06/11/2020,Omnitrans,San Bernardino,San Bernardino County,169.0,Layoff Permanent,San Bernardino County,2020,layoff permanent
1734,05/22/2020,05/21/2020,06/11/2020,Golden Valley Health Centers,Ceres,Stanislaus County,1.0,Layoff Permanent,Stanislaus County,2020,layoff permanent
1735,05/22/2020,05/21/2020,06/11/2020,Golden Valley Health Centers,Ceres,Stanislaus County,2.0,Layoff Permanent,Stanislaus County,2020,layoff permanent
1736,05/22/2020,05/21/2020,06/11/2020,Golden Valley Health Centers,Modesto,Stanislaus County,3.0,Layoff Permanent,Stanislaus County,2020,layoff permanent
