,rowid,﻿X,Y,OBJECTID,PARTICIPANT_CODE,FORMAL_PARTICIPANT_NAME,HA_PHN_NUM,HA_FAX_NUM,HA_EMAIL_ADDR_TEXT,EXEC_DIR_PHONE,EXEC_DIR_FAX,EXEC_DIR_EMAIL,PHAS_DESIGNATION,HA_LOW_RENT_SIZE_CATEGORY,SECTION8_UNITS_CNT,HA_SECTION_8_SIZE_CATEGORY,HA_COMBINED_SIZE_CATEGORY,HA_FYE,HA_PROGRAM_TYPE,TOTAL_UNITS,TOTAL_DWELLING_UNITS,ACC_UNITS,PH_OCCUPIED,SECTION8_OCCUPIED,TOTAL_OCCUPIED,PCT_OCCUPIED,REGULAR_VACANT,PHA_TOTAL_UNITS,NUMBER_REPORTED,PCT_REPORTED,OPFUND_AMNT,OPFUND_AMNT_PREV_YR,CAPFUND_AMNT,CAPFUND_AMNT_PREV_YR,VCHR_AMNT,VCHR_AMNT_PREV_YR,ROSS_AMNT,FSS_AMNT,SPENDING_PER_MONTH,SPENDING_PER_MONTH_PREV_YR,CHLDRN_MBR_CNT,ELDLY_PRCNT,PCT_DISABLED_LT62_ALL,PCT_LT80_MEDIAN,MEDIAN_INC_AMNT,STATE2KX,CNTY_NM2KX,CNTY2KX,TRACT2KX,BG2KX,BLOCK2KX,DPVACT,DPVNOST,CURCNTY_NM,CURCNTY,CURCOSUB,CURCOSUB_NM,PLACE2KX,PLACE_NM2KX,PLACE_CC2KX,PLACE_INC2KX,MSA,MSA_NM,CBSA,CBSA_NM,NECTA,NECTA_NM,METRO,MICRO,FCD_FIPS91,HLC,DPV,DPVRC,STD_ADDR,URB_OUT,STD_CITY,STD_ST,STD_ZIP5,STD_ZIP9,ZIP_CLASS,ZCTA2KX,DPBC,DPBC_CKSUM,STD_ZIP11,ADDR_TYPE,APT_NO,APT_TYPE,C1PGRC,C1PPRB,C1PDRC,C1PSRC,C1PARC,C1PZRC,MSGUSPS,LAT,LON,RC2KX,STM2KX,LVL2KX,UR,MSG2KX,COUNTY_LEVEL,PLACE_LEVEL,TRACT_LEVEL,BLKGRP_LEVEL,UGLG_KEY,LAST_UPDT_DTTM,ANNL_EXPNS_AMNT,ANNL_EXPNS_AMNT_PREV_YR,Unnamed: 109,GEO_ID,NAME,Estimate Total,Margin of Error,50 Percent or More,Margin of Error for 50 percent or more,Rent Burden Percent,COUNTY FIPS
20,2034,-122.291141,38.298254,2034,CA073,HOUSING AUTHORITY OF THE CITY OF NAPA,7072579543,7072579239.0,lferrell@cityofnapa.org,,,,,,1413,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",6/30,Section 8,0,0,0,0,1087,1087,76.93,0,1413,1124,100.0,0,0,0,0,12095627,10813825,0,0,1049,1000,561,25.16,19.98,99.2,14892,6,Napa,55.0,200202.0,1.0,1010.0,,,Napa,55.0,92070.0,Napa,50258.0,Napa city,C1,,8720.0,"Vallejo-Fairfield-Napa, CA PMSA",34900.0,"Napa, CA Metropolitan Statistical Area",99999.0,,1.0,0.0,0605,2406.0,Y,,1115 Seminary St,,Napa,CA,94559.0,2512.0,,94559.0,15.0,2.0,94559251215.0,S,,,,2.0,,,,,80% Overall probable correctness,38.298254,-122.291141,S,,R,U,** Street-Level Rooftop **,06055,650258.0,6055200202.0,60552002021.0,650258.0,2020/08/24 16,57,41+00,12973898,0500000US06055,"Napa County, California",17776,645,4246,363,23.886138613861384,06055
21,2035,-121.884203,38.028573,2035,CA060,CITY OF PITTSBURG HSG AUTH,9252524845,9254272715.0,bsmargiasso@ci.pittsburg.ca.us,9252524034.0,9252524851.0,gevans@ci.pittsburg.ca.us,,,1133,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",6/30,Section 8,0,0,0,0,871,871,76.88,0,1133,979,100.0,0,0,0,0,16623082,16919504,0,0,1922,1762,809,12.65,14.77,99.59,16152,6,Contra Costa,13.0,310000.0,2.0,2007.0,,,Contra Costa,13.0,90080.0,Antioch-Pittsburg,57456.0,Pittsburg city (part),C1,,5775.0,"Oakland, CA PMSA",41860.0,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",99999.0,,1.0,0.0,0611,2790.0,Y,,916 Cumberland St,,Pittsburg,CA,94565.0,2514.0,,94565.0,16.0,2.0,94565251416.0,S,,,,0.0,,,,,100% Overall probable correctness,38.028573,-121.884203,S,,R,U,** Street-Level Rooftop **,06013,657456.0,6013310000.0,60133100002.0,657456.0,2020/08/24 16,57,41+00,19371129,0500000US06013,"Contra Costa County, California",134749,2097,34047,1389,25.266977862544433,06013
22,2082,-119.79416499999999,36.737318,2082,CA006,Housing Authority City of Fresno,5594438400,5594438922.0,pprince@fresnohousing.org,5594458400.0,5594438981.0,pprince@fresnohousing.org,High Performer,MEDIUM HIGH (300-999),7306,"EXTRA LARGE (5,000+)","EXTRA LARGE (5,000+)",12/31,Combined,724,721,506,497,7051,7548,96.66,5,7809,7653,100.0,2121882,2121882,1920005,1920005,46806007,47770496,0,0,646,1098,9985,7.51,10.96,99.23,11531,6,Fresno,19.0,100.0,1.0,1024.0,,,Fresno,19.0,91080.0,Fresno,27000.0,Fresno city (part),C1,,2840.0,"Fresno, CA MSA",23420.0,"Fresno, CA Metropolitan Statistical Area",99999.0,,1.0,0.0,0616,1410.0,Y,,1331 Fulton St,,Fresno,CA,93721.0,1630.0,,93721.0,31.0,4.0,93721163031.0,S,,,,0.0,,,,,100% Overall probable correctness,36.737318,-119.79416499999999,S,,R,U,** Street-Level Rooftop **,06019,627000.0,6019000100.0,60190001001.0,627000.0,2020/08/24 16,57,41+00,103534894,0500000US06019,"Fresno County, California",143680,1727,42103,1380,29.303312917594653,06019
23,2103,-119.79416499999999,36.737318,2103,CA028,Housing Authority of Fresno County,5594438400,5594458922.0,pprince@fresnohousing.org,5594438400.0,5594458981.0,pprince@fresnohousing.org,High Performer,MEDIUM HIGH (300-999),5652,"EXTRA LARGE (5,000+)","EXTRA LARGE (5,000+)",12/31,Combined,592,589,585,559,5535,6094,97.76,23,6234,6167,100.0,2320748,2320748,1559845,1559845,32885080,35333889,0,0,635,620,8410,7.91,9.46,99.22,11564,6,Fresno,19.0,100.0,1.0,1024.0,,,Fresno,19.0,91080.0,Fresno,27000.0,Fresno city (part),C1,,2840.0,"Fresno, CA MSA",23420.0,"Fresno, CA Metropolitan Statistical Area",99999.0,,1.0,0.0,0616,1410.0,Y,,1331 Fulton St,,Fresno,CA,93721.0,1630.0,,93721.0,31.0,4.0,93721163031.0,S,,,,0.0,,,,,100% Overall probable correctness,36.737318,-119.79416499999999,S,,R,U,** Street-Level Rooftop **,06019,627000.0,6019000100.0,60190001001.0,627000.0,2020/08/24 16,57,41+00,47466807,0500000US06019,"Fresno County, California",143680,1727,42103,1380,29.303312917594653,06019
24,2104,-121.661927,36.683769,2104,CA033,Housing Authority of the County of Monterey,8317755000,8314240443.0,kmann@hamonterey.org,8317755022.0,8314240443.0,jgomez@hamonterey.org,Substandard Financial,VERY SMALL (0-49),4556,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",6/30,Combined,0,0,0,0,3322,3322,72.91,0,4556,3366,100.0,497604,497604,770502,770502,38729096,31122402,0,0,1123,1046,2388,22.96,16.48,99.23,14736,6,Monterey,53.0,1801.0,2.0,2014.0,,,Monterey,53.0,92730.0,Salinas,64224.0,Salinas city,C1,,7120.0,"Salinas, CA MSA",41500.0,"Salinas, CA Metropolitan Statistical Area",99999.0,,1.0,0.0,0620,3162.0,Y,,123 Rico St,,Salinas,CA,93907.0,2157.0,,93907.0,23.0,2.0,93907215723.0,S,,,,0.0,,,,,100% Overall probable correctness,36.683769,-121.661927,S,,R,U,** Street-Level Rooftop **,06053,664224.0,6053001801.0,60530018012.0,664224.0,2020/08/24 16,57,41+00,41316162,0500000US06053,"Monterey County, California",61690,1002,14834,824,24.046036634786837,06053
25,2105,-122.26720300000001,37.521357,2105,CA014,Housing Authority of the County of San Mateo,6508023300,6508023373.0,kcole@smchousing.org,6508025024.0,6508023373.0,rhodges@smchousing.org,Standard Performer,VERY SMALL (0-49),4900,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",6/30,Combined,0,0,0,0,4509,4509,92.02,0,4900,4493,99.64,10469,10469,379456,379456,105482913,104357950,0,0,1712,1575,2644,25.78,9.59,99.8,18380,6,San Mateo,81.0,609100.0,1.0,1011.0,,,San Mateo,81.0,92870.0,San Mateo,99999.0,Remainder of San Mateo CCD,99,,7360.0,"San Francisco, CA PMSA",41860.0,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",99999.0,,1.0,0.0,0614,,S,,264 Harbor Blvd,,Belmont,CA,94002.0,4017.0,,94002.0,64.0,3.0,94002401764.0,S,,,,1.0,,,A,,90% Overall probable correctness,37.521357,-122.26720300000001,S,,R,U,** Street-Level Rooftop **,06081,699999.0,6081609100.0,60816091001.0,6081.0,2020/08/24 16,57,41+00,83335031,0500000US06081,"San Mateo County, California",105105,1268,25314,1124,24.084486941629798,06081
26,2106,-122.427773,37.650372999999995,2106,CA015,City of South San Francisco Housing Authority,6505837631,6505835932.0,sosfha@sbcglobal.net,6505837631.0,6505835932.0,sosfha@sbcglobal.net,High Performer,SMALL (50-99),0,VERY SMALL (0-49),SMALL (50-99),3/31,Low-Rent,80,80,80,78,0,78,97.5,2,80,77,98.72,8670,8670,211111,211111,0,0,0,0,235,229,42,25.51,5.1,96.1,36218,6,San Mateo,81.0,602300.0,1.0,1085.0,,,San Mateo,81.0,93170.0,South San Francisco,73262.0,South San Francisco city,C1,,7360.0,"San Francisco, CA PMSA",41860.0,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",99999.0,,1.0,0.0,0614,3564.0,Y,,350 C St,,South San Francisco,CA,94080.0,4429.0,,94080.0,50.0,5.0,94080442950.0,S,,,,0.0,,,,,100% Overall probable correctness,37.650372999999995,-122.427773,S,,R,U,** Street-Level Rooftop **,06081,673262.0,6081602300.0,60816023001.0,673262.0,2020/08/24 16,57,41+00,219772,0500000US06081,"San Mateo County, California",105105,1268,25314,1124,24.084486941629798,06081
27,2107,-122.40008200000001,37.726815,2107,CA001,Housing Authority of the City & County of SF,4157153276,4157153201.0,ledijut@sfha.org,4157153276.0,,ledijut@sfha.org,Standard Performer,"LARGE (1,000-4,999)",14059,"EXTRA LARGE (5,000+)","EXTRA LARGE (5,000+)",9/30,Combined,2062,2043,1774,1443,12863,14306,91.18,43,15690,14237,99.52,16202345,16202345,8828685,8828685,282951106,287349704,0,0,2084,1907,5095,31.82,14.76,99.48,11968,6,San Francisco,75.0,23300.0,1.0,1003.0,,,San Francisco,75.0,92790.0,San Francisco,67000.0,San Francisco city,C1,,7360.0,"San Francisco, CA PMSA",41860.0,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",99999.0,,1.0,0.0,0612,3228.0,Y,,1815 Egbert Ave,,San Francisco,CA,94124.0,2519.0,,94124.0,15.0,7.0,94124251915.0,S,,,,0.0,,,,,100% Overall probable correctness,37.726815,-122.40008200000001,S,,R,U,** Street-Level Rooftop **,06075,667000.0,6075023300.0,60750233001.0,667000.0,2020/08/24 16,57,41+00,325760386,0500000US06075,"San Francisco County, California",224398,1874,40916,1443,18.233674096917085,06075
28,2108,-122.275622,37.779955,2108,CA062,CITY OF ALAMEDA HOUSING AUTHORITY,5107474300,5105227848.0,hainfo@alamedahsg.org,5107474325.0,5105227848.0,hainfo@alamedahsg.org,Standard Performer,,1885,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",6/30,Section 8,0,0,0,0,1464,1464,77.67,0,1885,1430,97.67,0,0,0,0,30371131,29596422,0,0,1857,1737,818,24.14,13.86,99.23,15946,6,Alameda,1.0,427300.0,5.0,5010.0,,,Alameda,1.0,90020.0,Alameda,562.0,Alameda city,C1,,5775.0,"Oakland, CA PMSA",41860.0,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",99999.0,,1.0,0.0,0613,12.0,Y,,701 Atlantic Ave,,Alameda,CA,94501.0,2161.0,,94501.0,1.0,0.0,94501216101.0,S,,,,0.0,,,,,100% Overall probable correctness,37.779955,-122.275622,S,,R,U,** Street-Level Rooftop **,06001,600562.0,6001427300.0,60014273005.0,600562.0,2020/08/24 16,57,41+00,30675964,0500000US06001,"Alameda County, California",267736,2179,62990,1462,23.526907102518898,06001
29,2125,-120.6913,35.6528,2125,CA050,Housing Authority of the City of Paso Robles,8052384015,8052384036.0,dcooke@pasoroblesha.org,8052384015.0,,dcooke@pasoroblesha.org,High Performer,VERY SMALL (0-49),0,VERY SMALL (0-49),VERY SMALL (0-49),6/30,Low-Rent,0,0,0,0,0,0,0.0,0,0,0,-4.0,417102,417102,175366,175366,0,0,0,0,-4,-4,-4,-4.0,-4.0,-4.0,-4,6,San Luis Obispo,79.0,10102.0,2.0,,,,San Luis Obispo,79.0,92410.0,Paso Robles,22300.0,El Paso de Robles (Paso Robles) city (pa,C1,,9999.0,,42020.0,"San Luis Obispo-Paso Robles, CA Metropolitan Statistical Area",99999.0,,1.0,0.0,0624,1158.0,Y,,901 30th St,,Paso Robles,CA,93446.0,1314.0,,93446.0,1.0,4.0,93446131401.0,S,,,,0.0,,,,,100% Overall probable correctness,35.6528,-120.6913,9,H,B,R,**  Centroid Lat/Long   **,06079,622300.0,6079010102.0,60790101022.0,622300.0,2020/08/24 16,57,41+00,-4,0500000US06079,"San Luis Obispo County, California",41331,1122,10865,619,26.287774309840074,06079
30,2126,-120.062454,36.961658,2126,CA069,Housing Authority of the City of Madera,5596745695,5596745701.0,linda@maderaha.org,5596745695.0,,sally@maderaha.org,Standard Performer,MEDIUM LOW (100-299),795,MEDIUM HIGH (300-999),"LARGE (1,000-4,999)",6/30,Combined,244,244,244,243,762,1005,96.73,1,1039,1016,100.0,732286,732286,721902,721902,5581673,5538328,0,0,572,568,1682,7.72,6.76,98.62,14160,6,Madera,39.0,800.0,2.0,2025.0,,,Madera,39.0,91830.0,Madera,45022.0,Madera city,C1,,2840.0,"Fresno, CA MSA",31460.0,"Madera, CA Metropolitan Statistical Area",99999.0,,1.0,0.0,0616,2166.0,Y,,205 N G St,,Madera,CA,93637.0,3512.0,,93637.0,5.0,6.0,93637351205.0,S,,,,2.0,,,,,80% Overall probable correctness,36.961658,-120.062454,S,,R,U,** Street-Level Rooftop **,06039,645022.0,6039000800.0,60390008002.0,645022.0,2020/08/24 16,57,41+00,6753369,0500000US06039,"Madera County, California",16132,812,3761,485,23.313910240515746,06039
31,2130,-118.28153,34.06035,2130,CA004,Housing Authority of the City of Los Angeles,2132522500,2132348946.0,douglas.guthrie@hacla.org,2132521810.0,,douglas.guthrie@hacla.org,High Performer,"EXTRA LARGE (5,000+)",51141,"EXTRA LARGE (5,000+)","EXTRA LARGE (5,000+)",12/31,Combined,7116,7107,6864,6696,43868,50566,87.58,67,57739,48686,96.28,21331896,21331896,21144635,21144635,480302554,540505606,0,0,1043,993,29356,21.97,13.72,99.03,12042,6,Los Angeles,37.0,208720.0,2.0,2002.0,,,Los Angeles,37.0,91750.0,Los Angeles,44000.0,Los Angeles city (part),C1,,4480.0,"Los Angeles-Long Beach, CA PMSA",31080.0,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",99999.0,,1.0,0.0,0634,2118.0,D,,2600 Wilshire Blvd,,Los Angeles,CA,90057.0,3400.0,,90057.0,99.0,4.0,90057340099.0,H,1SUD,,,0.0,,,N,,100% Overall probable correctness,34.06035,-118.28153,S,,R,U,** Street-Level Rooftop **,06037,644000.0,6037208720.0,60372087202.0,644000.0,2020/08/24 16,57,41+00,613541770,0500000US06037,"Los Angeles County, California",1791480,6379,528626,4288,29.50778127581664,06037
32,2160,-118.20563,33.955837,2160,CA119,Housing Authority of the City of South Gate,3235639585,3235670725.0,vgarcia@sogate.org,3235639585.0,3235635358.0,vgarcia@sogate.org,,,654,MEDIUM HIGH (300-999),MEDIUM HIGH (300-999),6/30,Section 8,0,0,0,0,397,397,60.71,0,654,409,100.0,0,0,0,0,4331125,4059975,0,0,980,960,108,43.47,9.94,99.27,11808,6,Los Angeles,37.0,535702.0,3.0,3007.0,,,Los Angeles,37.0,93155.0,South Gate-East Los Angeles,73080.0,South Gate city,C1,,4480.0,"Los Angeles-Long Beach, CA PMSA",31080.0,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",99999.0,,1.0,0.0,0644,3528.0,Y,,8650 California Ave,,South Gate,CA,90280.0,3004.0,,90280.0,50.0,9.0,90280300450.0,S,,,,0.0,,,,,100% Overall probable correctness,33.955837,-118.20563,S,,R,U,** Street-Level Rooftop **,06037,673080.0,6037535702.0,60375357023.0,673080.0,2020/08/24 16,57,41+00,4690095,0500000US06037,"Los Angeles County, California",1791480,6379,528626,4288,29.50778127581664,06037
33,2161,-118.355052,33.961903,2161,CA082,Housing Authority of the City of Inglewood,3104125221,3104125188.0,cflournoy@cityofinglewood.org,3104128701.0,,dlesparza@cityofinglewood.org,,,1052,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",9/30,Section 8,0,0,0,0,843,843,80.14,0,1052,1186,100.0,0,0,0,0,11235520,9641018,0,0,1690,1573,452,24.96,18.37,99.83,11640,6,Los Angeles,37.0,601211.0,1.0,1013.0,,,Los Angeles,37.0,91400.0,Inglewood,36546.0,Inglewood city (part),C1,,4480.0,"Los Angeles-Long Beach, CA PMSA",31080.0,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",99999.0,,1.0,0.0,0643,1740.0,S,,1 W Manchester Blvd,,Inglewood,CA,90301.0,1764.0,,90301.0,1.0,8.0,90301176401.0,S,,,,2.0,N,,A,,80% Overall probable correctness,33.961903,-118.355052,S,,R,U,** Street-Level Rooftop **,06037,636546.0,6037601211.0,60376012111.0,636546.0,2020/08/24 16,57,41+00,16707793,0500000US06037,"Los Angeles County, California",1791480,6379,528626,4288,29.50778127581664,06037
34,2162,-118.489457,34.007965999999996,2162,CA111,Housing Authority of the City of Santa Monica,3104588743,3102647757.0,barbara.collins@smgov.net,3104582647.0,,James.kemper@smgov.net,,,1508,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",6/30,Section 8,0,0,0,0,1234,1234,81.83,0,1508,1260,100.0,0,0,0,0,19081099,13726155,0,0,1303,1277,183,52.93,14.04,99.84,11922,6,Los Angeles,37.0,702002.0,1.0,1003.0,,,Los Angeles,37.0,92920.0,Santa Monica,70000.0,Santa Monica city,C1,,4480.0,"Los Angeles-Long Beach, CA PMSA",31080.0,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",99999.0,,1.0,0.0,0633,3384.0,Y,,1901 Main St Fl 1,,Santa Monica,CA,90405.0,1081.0,,90405.0,1.0,1.0,90405108101.0,H,1,Fl,,0.0,,,,,100% Overall probable correctness,34.007965999999996,-118.489457,S,,R,U,** Street-Level Rooftop **,06037,670000.0,6037702002.0,60377020021.0,670000.0,2020/08/24 16,57,41+00,15537638,0500000US06037,"Los Angeles County, California",1791480,6379,528626,4288,29.50778127581664,06037
35,2163,-118.34036699999999,33.836548,2163,CA121,Housing Authority of the City of Torrance,3106185840,3106182429.0,drichardson@torrnet.com,3106185880.0,,drichardson@TorranceCA.Gov,,,690,MEDIUM HIGH (300-999),MEDIUM HIGH (300-999),6/30,Section 8,0,0,0,0,530,530,76.81,0,690,512,96.6,0,0,0,0,6162415,6019589,0,0,1050,965,159,40.7,10.07,99.41,14832,6,Los Angeles,37.0,650401.0,1.0,1017.0,,,Los Angeles,37.0,93380.0,Torrance,80000.0,Torrance city,C1,,4480.0,"Los Angeles-Long Beach, CA PMSA",31080.0,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",99999.0,,1.0,0.0,0633,3744.0,Y,,3031 Torrance Blvd,,Torrance,CA,90503.0,5015.0,,90503.0,31.0,8.0,90503501531.0,S,,,,0.0,,,,,100% Overall probable correctness,33.836548,-118.34036699999999,S,,R,U,** Street-Level Rooftop **,06037,680000.0,6037650401.0,60376504011.0,680000.0,2020/08/24 16,57,41+00,6239989,0500000US06037,"Los Angeles County, California",1791480,6379,528626,4288,29.50778127581664,06037
36,2207,-122.38104399999999,40.574262,2207,CA106,HOUSING AUTHORITY OF THE CITY OF REDDING,5302254048,5302254126.0,RHAExecutiveDirector@cityofredding.org,5302254028.0,5302254126.0,RHAEXECUTIVEDIRECTOR@CITYOFREDDING.ORG,,,1633,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",6/30,Section 8,0,0,0,0,1547,1547,94.74,0,1633,1577,100.0,0,0,0,0,7656610,7398063,0,0,501,485,1181,18.0,21.04,99.24,12288,6,Shasta,89.0,10400.0,1.0,1001.0,,,Shasta,89.0,92568.0,Redding CCD,59920.0,Redding city,C1,,6690.0,"Redding, CA MSA",39820.0,"Redding, CA Metropolitan Statistical Area",99999.0,,1.0,0.0,0601,2958.0,Y,,777 Cypress Ave,,Redding,CA,96001.0,2718.0,,96001.0,77.0,2.0,96001271877.0,S,,,,0.0,,,,,100% Overall probable correctness,40.574262,-122.38104399999999,S,,R,U,** Street-Level Rooftop **,06089,659920.0,6089010400.0,60890104001.0,659920.0,2020/08/24 16,57,41+00,8642654,0500000US06089,"Shasta County, California",25752,798,7509,550,29.158900279589933,06089
37,2241,-117.340672,33.164398,2241,CA077,Carlsbad Housing & Neighborhood Services,7604342810,7607202037.0,bobbi.nunn@carlsbadca.gov,7604342811.0,7607202037.0,bobbi.nunn@carlsbadca.gov,,,731,MEDIUM HIGH (300-999),MEDIUM HIGH (300-999),6/30,Section 8,0,0,0,0,501,501,68.54,0,731,469,93.62,0,0,0,0,7335949,6698481,0,0,1149,1099,130,34.37,16.78,99.79,13608,6,San Diego,73.0,17801.0,1.0,1009.0,,,San Diego,73.0,92240.0,Oceanside-Escondido,11194.0,Carlsbad city (part),C1,,7320.0,"San Diego, CA MSA",41740.0,"San Diego-Chula Vista-Carlsbad, CA Metropolitan Statistical Area",99999.0,,1.0,0.0,0649,564.0,Y,,1200 Carlsbad Village Dr,,Carlsbad,CA,92008.0,1949.0,,92008.0,0.0,8.0,92008194900.0,S,,,,0.0,,,,,100% Overall probable correctness,33.164398,-117.340672,S,,R,U,** Street-Level Rooftop **,06073,611194.0,6073017801.0,60730178011.0,611194.0,2020/08/24 16,57,41+00,6633674,0500000US06073,"San Diego County, California",525090,3504,144189,2566,27.45986402331029,06073
38,2242,-117.292345,33.04553,2242,CA155,Housing Authority of the City of Encinitas,7606332723,7604527775.0,knoel@encinitasca.gov,7606332753.0,,housing@encinitasca.gov,,,136,MEDIUM LOW (100-299),MEDIUM LOW (100-299),6/30,Section 8,0,0,0,0,96,96,70.59,0,136,106,100.0,0,0,0,0,1150456,1054059,0,0,1185,1125,14,50.32,13.55,100.0,15420,6,San Diego,73.0,17501.0,1.0,1009.0,,,San Diego,73.0,92780.0,San Diego,22678.0,Encinitas city (part),C1,,7320.0,"San Diego, CA MSA",41740.0,"San Diego-Chula Vista-Carlsbad, CA Metropolitan Statistical Area",99999.0,,1.0,0.0,0649,1212.0,Y,,505 S Vulcan Ave,,Encinitas,CA,92024.0,3633.0,,92024.0,5.0,3.0,92024363305.0,S,,,,0.0,,,,,100% Overall probable correctness,33.04553,-117.292345,S,,R,U,** Street-Level Rooftop **,06073,622678.0,6073017501.0,60730175011.0,622678.0,2020/08/24 16,57,41+00,1282858,0500000US06073,"San Diego County, California",525090,3504,144189,2566,27.45986402331029,06073
39,2243,-117.378294,33.198192999999996,2243,CA132,City of Oceanside Community Development Comm,7604353360,7607548918.0,ahanifin@oceansideca.org,7604353363.0,7604356363.0,ahanifin@oceansideca.org,,,1563,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",6/30,Section 8,0,0,0,0,1426,1426,91.24,0,1563,1551,100.0,0,0,0,0,20140778,17946313,0,0,1424,1314,1251,20.66,11.92,99.42,15544,6,San Diego,73.0,18400.0,2.0,2026.0,,,San Diego,73.0,92240.0,Oceanside-Escondido,53322.0,Oceanside city,C1,,7320.0,"San Diego, CA MSA",41740.0,"San Diego-Chula Vista-Carlsbad, CA Metropolitan Statistical Area",99999.0,,1.0,0.0,0649,2532.0,Y,,321 N Nevada St,,Oceanside,CA,92054.0,2811.0,,92054.0,21.0,5.0,92054281121.0,S,,,,0.0,,,,,100% Overall probable correctness,33.198192999999996,-117.378294,S,,R,U,** Street-Level Rooftop **,06073,653322.0,6073018400.0,60730184002.0,653322.0,2020/08/24 16,57,41+00,21454367,0500000US06073,"San Diego County, California",525090,3504,144189,2566,27.45986402331029,06073
40,2244,-117.15438,32.715918,2244,CA063,San Diego Housing Commission,6192319400,6195787375.0,sdhcinfo@sdhc.org,6195787531.0,,HUD-Info@sdhc.org,High Performer,MEDIUM LOW (100-299),15704,"EXTRA LARGE (5,000+)","EXTRA LARGE (5,000+)",6/30,Combined,189,189,189,182,15214,15396,97.04,5,15866,15704,100.0,388597,388597,350866,350866,196443028,178838942,0,0,755,656,10891,22.17,12.97,99.71,13632,6,San Diego,73.0,5200.0,2.0,2011.0,,,San Diego,73.0,92780.0,San Diego,66000.0,San Diego city (part),C1,,7320.0,"San Diego, CA MSA",41740.0,"San Diego-Chula Vista-Carlsbad, CA Metropolitan Statistical Area",99999.0,,1.0,0.0,0652,3210.0,Y,,1122 Broadway Ste 300,,San Diego,CA,92101.0,5629.0,,92101.0,75.0,3.0,92101562975.0,H,300,Ste,,0.0,,,,,100% Overall probable correctness,32.715918,-117.15438,S,,R,U,** Street-Level Rooftop **,06073,666000.0,6073005200.0,60730052002.0,666000.0,2020/08/24 16,57,41+00,118024477,0500000US06073,"San Diego County, California",525090,3504,144189,2566,27.45986402331029,06073
41,2245,-117.122142,32.815129,2245,CA108,Housing Authority of the County of San Diego,8586944801,8584679713.0,hcds.hhsa@sdcounty.ca.gov,8586948750.0,8586944871.0,David.Estrella@sdcounty.ca.gov,High Performer,MEDIUM LOW (100-299),12208,"EXTRA LARGE (5,000+)","EXTRA LARGE (5,000+)",6/30,Combined,121,121,121,112,10253,10365,84.72,5,12235,10077,97.22,220076,220076,263399,263399,140101056,124331057,0,0,1251,1139,6564,22.15,14.56,99.59,13740,6,San Diego,73.0,8511.0,1.0,1136.0,,,San Diego,73.0,92780.0,San Diego,66000.0,San Diego city (part),C1,,7320.0,"San Diego, CA MSA",41740.0,"San Diego-Chula Vista-Carlsbad, CA Metropolitan Statistical Area",99999.0,,1.0,0.0,0652,3210.0,Y,,3989 Ruffin Rd,,San Diego,CA,92123.0,1815.0,,92123.0,89.0,1.0,92123181589.0,S,,,,0.0,,,,,100% Overall probable correctness,32.815129,-117.122142,S,,R,U,** Street-Level Rooftop **,06073,666000.0,6073008511.0,60730085111.0,666000.0,2020/08/24 16,57,41+00,138441453,0500000US06073,"San Diego County, California",525090,3504,144189,2566,27.45986402331029,06073
