rowid,﻿X,Y,OBJECTID,PARTICIPANT_CODE,FORMAL_PARTICIPANT_NAME,HA_PHN_NUM,HA_FAX_NUM,HA_EMAIL_ADDR_TEXT,EXEC_DIR_PHONE,EXEC_DIR_FAX,EXEC_DIR_EMAIL,PHAS_DESIGNATION,HA_LOW_RENT_SIZE_CATEGORY,SECTION8_UNITS_CNT,HA_SECTION_8_SIZE_CATEGORY,HA_COMBINED_SIZE_CATEGORY,HA_FYE,HA_PROGRAM_TYPE,TOTAL_UNITS,TOTAL_DWELLING_UNITS,ACC_UNITS,PH_OCCUPIED,SECTION8_OCCUPIED,TOTAL_OCCUPIED,PCT_OCCUPIED,REGULAR_VACANT,PHA_TOTAL_UNITS,NUMBER_REPORTED,PCT_REPORTED,OPFUND_AMNT,OPFUND_AMNT_PREV_YR,CAPFUND_AMNT,CAPFUND_AMNT_PREV_YR,VCHR_AMNT,VCHR_AMNT_PREV_YR,ROSS_AMNT,FSS_AMNT,SPENDING_PER_MONTH,SPENDING_PER_MONTH_PREV_YR,CHLDRN_MBR_CNT,ELDLY_PRCNT,PCT_DISABLED_LT62_ALL,PCT_LT80_MEDIAN,MEDIAN_INC_AMNT,STATE2KX,CNTY_NM2KX,CNTY2KX,TRACT2KX,BG2KX,BLOCK2KX,DPVACT,DPVNOST,CURCNTY_NM,CURCNTY,CURCOSUB,CURCOSUB_NM,PLACE2KX,PLACE_NM2KX,PLACE_CC2KX,PLACE_INC2KX,MSA,MSA_NM,CBSA,CBSA_NM,NECTA,NECTA_NM,METRO,MICRO,FCD_FIPS91,HLC,DPV,DPVRC,STD_ADDR,URB_OUT,STD_CITY,STD_ST,STD_ZIP5,STD_ZIP9,ZIP_CLASS,ZCTA2KX,DPBC,DPBC_CKSUM,STD_ZIP11,ADDR_TYPE,APT_NO,APT_TYPE,C1PGRC,C1PPRB,C1PDRC,C1PSRC,C1PARC,C1PZRC,MSGUSPS,LAT,LON,RC2KX,STM2KX,LVL2KX,UR,MSG2KX,COUNTY_LEVEL,PLACE_LEVEL,TRACT_LEVEL,BLKGRP_LEVEL,UGLG_KEY,LAST_UPDT_DTTM,ANNL_EXPNS_AMNT,ANNL_EXPNS_AMNT_PREV_YR,
701,-76.301989,40.035775,701,PA036,The Housing Auth of the City of Lancaster,7173972835,7172830417,bwilson@lcha.ws,7173972835,,bwilson@lchapa.com,High Performer,MEDIUM HIGH (300-999),1017,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",9/30,Combined,566,564,564,549,864,1413,89.37,15,1581,1417,100,1726059,1726059,1365151,1365151,6242798,6178440,0,0,594,577,1384,13.71,17.85,99.58,10502,42,Lancaster,071,000900,3,3002,,,Lancaster,71,41216,Lancaster,41216,Lancaster city,C5,,4000,"Lancaster, PA MSA",29540,"Lancaster, PA Metropolitan Statistical Area",99999,,1,0,4211,3573,Y,,325 Church St,,Lancaster,PA,17602,4201,,17602,25,0,17602420125,S,,,,0,,,,,100% Overall probable correctness,40.035775,-76.301989,S,,R,U,** Street-Level Rooftop **,42071,4241216,42071000900,420710009003,4241216,2020/08/24 16,57,41+00,9680076
702,-76.305512,40.038195,702,PA090,Lancaster County Housing Authority,7173940793,7173947635,msternberg@lchra.com,7173940793,7173947635,msternberg@lchra.com,,,970,MEDIUM HIGH (300-999),MEDIUM HIGH (300-999),12/31,Section 8,0,0,0,0,813,813,93.67,0,868,829,100,0,0,0,0,4845796,5667596,0,0,732,674,919,9.04,19.6,99.76,12073,42,Lancaster,071,000100,2,2009,,,Lancaster,71,41216,Lancaster,41216,Lancaster city,C5,,4000,"Lancaster, PA MSA",29540,"Lancaster, PA Metropolitan Statistical Area",99999,,1,0,4211,3573,S,,28 Penn Sq,,Lancaster,PA,17603,4297,,17603,99,3,17603429799,H,,,,1,,,A,,90% Overall probable correctness,40.038195,-76.305512,S,,R,U,** Street-Level Rooftop **,42071,4241216,42071000100,420710001002,4241216,2020/08/24 16,57,41+00,7145111
703,-76.963767,41.256558,703,PA021,Housing Authority of the County of Lycoming,5703233755,5703235230,merilyn@lycominghousing.org,5703233755,5703235230,merilyn@lycominghousing.org,High Performer,MEDIUM HIGH (300-999),675,MEDIUM HIGH (300-999),"LARGE (1,000-4,999)",12/31,Combined,467,467,467,460,507,967,84.68,7,1142,970,100,1379728,1379728,850684,850684,2460364,2964661,0,0,467,463,817,16.46,19.16,99.69,10808,42,Lycoming,081,011100,3,3011,,,Lycoming,81,45224,Loyalsock,39280,Kenmar CDP,U1,,9140,"Williamsport, PA MSA",48700,"Williamsport, PA Metropolitan Statistical Area",99999,,1,0,4212,,Y,,1941 Lincoln Dr,,Williamsport,PA,17701,2824,,17701,41,3,17701282441,S,,,,0,,,,,100% Overall probable correctness,41.256558,-76.963767,S,,R,U,** Street-Level Rooftop **,42081,4239280,42081011100,420810111003,4208145224,2020/08/24 16,57,41+00,5200370
704,-77.461401,41.127326,704,PA040,The Housing Authority of Clinton County,5707482954,5707485358,ccha@clintoncountyhousing.com,5707489367,5707485358,jeff@clintoncountyhousing.com,High Performer,MEDIUM HIGH (300-999),0,VERY SMALL (0-49),MEDIUM HIGH (300-999),12/31,Combined,457,457,457,408,0,408,89.28,21,457,407,99.75,1282566,1282566,991545,991545,0,0,0,0,464,453,288,13.68,21.27,97.79,10157,42,Clinton,035,030700,2,2033,,,Clinton,35,44128,Lock Haven,44128,Lock Haven city,C5,,9999,,30820,"Lock Haven, PA Micropolitan Statistical Area",99999,,0,1,4212,3864,Y,,369 Linden Cir,,Lock Haven,PA,17745,3211,,17745,69,4,17745321169,S,,,,0,,,,,100% Overall probable correctness,41.127326,-77.461401,S,,R,U,** Street-Level Rooftop **,42035,4244128,42035030700,420350307002,4244128,2020/08/24 16,57,41+00,2288224
705,-76.787713,40.85999,705,PA053,Sunbury Housing Authority,5702868563,5702864721,shousing@ptd.net,5702868563,5702864721,shousing@ptd.net,High Performer,MEDIUM HIGH (300-999),240,MEDIUM LOW (100-299),MEDIUM HIGH (300-999),6/30,Combined,351,307,307,287,176,463,84.64,13,547,466,100,723329,723329,638098,638098,970523,950411,0,0,406,413,236,26.27,21.32,98.28,12335,42,Northumberland,097,082200,4,4002,,,Northumberland,97,75304,Sunbury,75304,Sunbury city,C5,,9999,,44980,"Sunbury, PA Micropolitan Statistical Area",99999,,0,1,4212,6843,D,,705 Market St,,Sunbury,PA,17801,2368,,17801,99,6,17801236899,H,1SUD,,,0,,,N,,100% Overall probable correctness,40.85999,-76.787713,S,,R,U,** Street-Level Rooftop **,42097,4275304,42097082200,420970822004,4275304,2020/08/24 16,57,41+00,2250654
706,-76.403098,41.028363,706,PA083,Columbia County Housing Authority,5707849373,5703878806,lgordner@columbiacountyhousing.com,5707849373,,lgordner@columbiacountyhousing.com,High Performer,SMALL (50-99),413,MEDIUM HIGH (300-999),MEDIUM HIGH (300-999),12/31,Combined,70,70,70,67,395,462,95.66,3,483,444,96.1,191891,191891,137827,137827,1527580,1811694,0,0,360,395,238,29.93,19.74,99.32,13129,42,Columbia,037,050900,1,1061,,,Columbia,37,68392,Scott,99999,Remainder of Scott township,99,,7560,"Scranton--Wilkes-Barre--Hazleton, PA MSA",14100,"Bloomsburg-Berwick, PA Metropolitan Statistical Area",99999,,1,0,4209,,Y,,700 Sawmill Rd,,Bloomsburg,PA,17815,7726,,17815,0,6,17815772600,S,,,,1,,,A,,90% Overall probable correctness,41.028363,-76.403098,S,,R,U,** Street-Level Rooftop **,42037,4299999,42037050900,420370509001,4203768392,2020/08/24 16,57,41+00,2087174
707,-79.856002,38.946268,707,WV045,Housing Authority of Randolph County,3046366495,3046366596,rcha@rchawv.org,3046366495,3046366596,rcha@rchawv.org,Standard Performer,,703,MEDIUM HIGH (300-999),MEDIUM HIGH (300-999),12/31,Section 8,0,0,0,0,700,700,100,0,691,722,100,0,0,0,0,2455812,3111395,0,0,423,404,419,16.76,22.37,97.92,9493,54,Randolph,083,966200,2,2065,,,Randolph,83,91824,Leadsville,24580,Elkins city (part),C1,,9999,,21180,"Elkins, WV Micropolitan Statistical Area",99999,,0,1,5402,0432,Y,,1404 N Randolph Ave,,Elkins,WV,26241,9667,,26241,4,3,26241966704,S,,,,0,,,,,100% Overall probable correctness,38.946268,-79.856002,S,,R,U,** Street-Level Rooftop **,54083,5424580,54083966200,540839662002,5424580,2020/08/24 16,57,41+00,3179751
708,-80.338109,39.284537,708,WV027,Clarksburg/Harrison Housing Authority,3046233323,3046231536,laragona@citynet.net,3046233323,3046231536,laragona@citynet.net,Standard Performer,MEDIUM HIGH (300-999),626,MEDIUM HIGH (300-999),MEDIUM HIGH (300-999),6/30,Combined,323,323,323,298,655,953,100,25,949,935,98.11,524110,524110,657756,657756,3273523,3159836,0,0,440,396,543,16.32,20.07,99.47,9636,54,Harrison,033,030300,1,1012,,,Harrison,33,92368,North Urban,15628,Clarksburg city (part),C1,,9999,,17220,"Clarksburg, WV Micropolitan Statistical Area",99999,,0,1,5401,0294,Y,,433 Baltimore Ave,,Clarksburg,WV,26301,2053,,26301,33,2,26301205333,S,,,,0,,,,,100% Overall probable correctness,39.284537,-80.338109,S,,R,U,** Street-Level Rooftop **,54033,5415628,54033030300,540330303001,5415628,2020/08/24 16,57,41+00,4315472
709,-80.016125,39.340358,709,WV012,Housing Authority of the City of Grafton,3042651183,3042653843,fmayle@graftonha.org,3042651045,3042653843,fmayle@graftonha.org,Standard Performer,MEDIUM LOW (100-299),0,VERY SMALL (0-49),MEDIUM LOW (100-299),3/31,Low-Rent,205,204,205,203,0,203,99.51,1,204,203,100,475180,475180,424061,424061,0,0,0,0,369,390,107,22.25,14.16,99.51,9876,54,Taylor,091,964600,2,2029,,,Taylor,91,93175,Tygart,32716,Grafton city (part),C1,,9999,,17220,"Clarksburg, WV Micropolitan Statistical Area",99999,,0,1,5401,0558,D,,131 E Main St,,Grafton,WV,26354,1365,,26354,99,7,26354136599,H,1SUD,,,0,,,N,,100% Overall probable correctness,39.340358,-80.016125,S,,R,U,** Street-Level Rooftop **,54091,5432716,54091964600,540919646002,5432716,2020/08/24 16,57,41+00,899241
710,-80.024822,32.911189,710,SC057,HOUSING AUTHORITY OF N CHARLESTON,8437471793,8437443466,gscott@nchashousingauthority.com,8437471793,,fscott@nchashousingauthority.com,Standard Performer,VERY SMALL (0-49),2315,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",6/30,Combined,0,0,0,0,2121,2121,91.62,0,2315,2111,99.53,20849,20849,19817,19817,15245359,14112031,0,0,696,639,3095,7.01,9.05,99.76,11508,45,Charleston,019,003105,2,2009,,,Charleston,19,92424,North Charleston CCD,50875,North Charleston city (part),C1,,1440,"Charleston-North Charleston, SC MSA",16700,"Charleston-North Charleston, SC Metropolitan Statistical Area",99999,,1,0,4506,1140,Y,,6327 Rivers Ave,,North Charleston,SC,29406,4850,,29406,27,3,29406485027,S,,,,0,,,,,100% Overall probable correctness,32.911189,-80.024822,S,,R,U,** Street-Level Rooftop **,45019,4550875,45019003105,450190031052,4550875,2020/08/24 16,57,41+00,14759084
711,-79.292224,33.383542,711,SC028,HOUSING AUTHORITY OF GEORGETOWN,8435469621,8435277536,chrisw45@gtownhousing.org,8435469621,8435277536,chrisw45@gtownhousing.org,High Performer,MEDIUM LOW (100-299),163,MEDIUM LOW (100-299),MEDIUM HIGH (300-999),12/31,Combined,295,293,295,281,108,389,85.3,12,456,404,100,908715,908715,703399,703399,676273,766311,0,0,499,503,478,9.61,9.5,98.76,10357,45,Georgetown,043,920600,4,4014,,,Georgetown,43,91248,Georgetown,28870,Georgetown city,C1,,9999,,23860,"Georgetown, SC Micropolitan Statistical Area",99999,,0,1,4507,0594,Y,,1 Lincoln St,,Georgetown,SC,29440,2671,,29440,1,4,29440267101,S,,,,0,,,,,100% Overall probable correctness,33.383542,-79.292224,9,H,4,U,**  Centroid Lat/Long   **,45043,4528870,45043920600,450439206004,4528870,2020/08/24 16,57,41+00,2384401
712,-79.760748,34.192081,712,SC027,HOUSING AUTHORITY OF FLORENCE,8436694163,8436792626,celmore@hafsc.org,8436694163,8436792626,celmore@hafsc.org,High Performer,MEDIUM HIGH (300-999),798,MEDIUM HIGH (300-999),"LARGE (1,000-4,999)",9/30,Combined,809,804,809,796,699,1495,93.32,1,1602,1484,99.26,2704659,2704659,2067466,2067466,3651544,3593898,0,0,509,505,1746,8.27,11.14,97.51,9972,45,Florence,041,000700,2,2011,,,Florence,41,91131,Florence,25810,Florence city (part),C1,,2655,"Florence, SC MSA",22500,"Florence, SC Metropolitan Statistical Area",99999,,1,0,4507,0534,Y,,400 E Pine St,,Florence,SC,29506,3146,,29506,0,4,29506314600,S,,,,0,,,,,100% Overall probable correctness,34.192081,-79.760748,S,,R,U,** Street-Level Rooftop **,45041,4525810,45041000700,450410007002,4525810,2020/08/24 16,57,41+00,8838597
713,-83.83551,35.199049,713,NC051,Andrews Housing Authority,8283215257,8283212419,aha28901@cabletvonline.net,8283215257,8283212419,aha28901@cabletvonline.net,High Performer,SMALL (50-99),0,VERY SMALL (0-49),SMALL (50-99),9/30,Low-Rent,50,50,50,48,0,48,96,2,50,48,100,93286,93286,116935,116935,0,0,0,0,365,358,39,20,7.27,89.58,18368,37,Cherokee,039,930100,3,3049,,,Cherokee,39,93852,Valleytown,01380,Andrews town,C1,,9999,,99999,,99999,,0,0,3711,0048,Y,,291 Whitaker Ln,,Andrews,NC,28901,8106,,28901,91,5,28901810691,S,,,,0,,,,,100% Overall probable correctness,35.199049,-83.83551,S,,R,R,** Street-Level Rooftop **,37039,3701380,37039930100,370399301003,3701380,2020/08/24 16,57,41+00,210221
714,-84.035789,35.078818,714,NC030,Housing Programs of the Town of Murphy,8288376662,8288372015,murphyha@frontier.com,8288376662,8288372015,murphyha@frontier.com,Standard Performer,SMALL (50-99),0,VERY SMALL (0-49),SMALL (50-99),6/30,Low-Rent,84,84,84,84,0,84,100,0,84,84,100,220908,220908,188741,188741,0,0,0,0,406,411,85,10.99,9.95,100,10589,37,Cherokee,039,930500,1,1048,,,Cherokee,39,92192,Murphy,45660,Murphy town,C1,,9999,,99999,,99999,,0,0,3711,2010,Y,,80 Beal Cir,,Murphy,NC,28906,3376,,28906,80,8,28906337680,S,,,,0,,,,,100% Overall probable correctness,35.078818,-84.035789,S,,R,R,** Street-Level Rooftop **,37039,3745660,37039930500,370399305001,3745660,2020/08/24 16,57,41+00,409649
715,-81.634419,34.300156,715,SC035,HOUSING AUTHORITY OF NEWBERRY,8032761049,8032761056,jan_piersol@yahoo.com,8032761049,8032761056,jan_piersol@yahoo.com,Standard Performer,MEDIUM HIGH (300-999),235,MEDIUM LOW (100-299),MEDIUM HIGH (300-999),12/31,Combined,315,315,315,307,185,492,89.46,4,550,483,98.17,1199203,1199203,877729,877729,1222189,1317093,0,0,580,574,464,12.16,11.98,96.48,10632,45,Newberry,071,950502,2,2012,,,Newberry,71,92366,Newberry,49570,Newberry city,C1,,9999,,35140,"Newberry, SC Micropolitan Statistical Area",99999,,0,1,4505,1098,Y,,3589 Grant Ave,,Newberry,SC,29108,1460,,29108,89,2,29108146089,S,,,,0,,,,,100% Overall probable correctness,34.300156,-81.634419,S,,R,U,** Street-Level Rooftop **,45071,4549570,45071950502,450719505022,4549570,2020/08/24 16,57,41+00,3367501
716,-80.340819,33.918904,716,SC023,HOUSING AUTHORITY OF SUMTER,8037754357,8037782315,,8037747311,8037782315,donna.lamer@sumterha.org,Standard Performer,MEDIUM HIGH (300-999),935,MEDIUM HIGH (300-999),"LARGE (1,000-4,999)",12/31,Combined,327,327,327,321,909,1230,97.46,5,1262,1225,99.6,1536055,1536055,807903,807903,3749159,4292624,0,0,484,476,1165,12.08,16.79,99.35,9637,45,Sumter,085,001300,2,2038,,,Sumter,85,93289,Sumter,70405,Sumter city (part),C1,,8140,"Sumter, SC MSA",44940,"Sumter, SC Metropolitan Statistical Area",99999,,1,0,4506,1620,Y,,15 Caldwell St,,Sumter,SC,29150,5234,,29150,15,3,29150523415,S,,,,2,,,,,80% Overall probable correctness,33.918904,-80.340819,S,,R,U,** Street-Level Rooftop **,45085,4570405,45085001300,450850013002,4570405,2020/08/24 16,57,41+00,7113404
717,-81.023788,34.015791,717,SC061,Housing Authority of the City of Cayce,8032543886,8033766114,imathews@chasc.org,,,,High Performer,VERY SMALL (0-49),0,VERY SMALL (0-49),VERY SMALL (0-49),6/30,Low-Rent,41,41,41,41,0,41,100,0,41,41,100,150200,150200,98574,98574,0,0,0,0,506,506,57,9.35,7.48,95.12,10088,45,Richland,079,003100,1,1000,,,Richland,79,90702,Columbia,16000,Columbia city (part),C1,,1760,"Columbia, SC MSA",17900,"Columbia, SC Metropolitan Statistical Area",99999,,1,0,4506,0372,Y,,1917 Harden St,,Columbia,SC,29204,1015,,29204,17,8,29204101517,S,,,,0,,,,,100% Overall probable correctness,34.015791,-81.023788,S,,R,U,** Street-Level Rooftop **,45079,4516000,45079003100,450790031001,4516000,2020/08/24 16,57,41+00,248774
718,-81.023788,34.015791,718,SC002,HOUSING AUTHORITY OF THE CITY OF COLUMBIA,8032543886,8033766114,imathews@columbiahousingsc.org,8032543886,8033766114,imathews@columbiahousingsc.org,Standard Performer,"LARGE (1,000-4,999)",4108,"LARGE (1,000-4,999)","EXTRA LARGE (5,000+)",6/30,Combined,1885,1880,1885,1542,3825,5367,90.1,68,5957,5294,98.64,9050202,9050202,4629495,4629495,27156933,25762712,0,0,672,667,6133,8.28,8.81,98.94,10121,45,Richland,079,003100,1,1000,,,Richland,79,90702,Columbia,16000,Columbia city (part),C1,,1760,"Columbia, SC MSA",17900,"Columbia, SC Metropolitan Statistical Area",99999,,1,0,4506,0372,Y,,1917 Harden St,,Columbia,SC,29204,1015,,29204,17,8,29204101517,S,,,,0,,,,,100% Overall probable correctness,34.015791,-81.023788,S,,R,U,** Street-Level Rooftop **,45079,4516000,45079003100,450790031001,4516000,2020/08/24 16,57,41+00,42280072
719,-83.049038,31.339008,719,GA158,Housing Authority of the County of Atkinson,2296869321,2296869322,nashvillehousing@windstream.net,2296869321,2296869322,Nashvillehousing@windstream.net,High Performer,VERY SMALL (0-49),0,VERY SMALL (0-49),VERY SMALL (0-49),6/30,Low-Rent,23,23,23,23,0,23,100,0,23,23,100,78183,78183,41481,41481,0,0,0,0,434,434,15,11.9,14.29,100,9324,13,Atkinson,003,960100,1,1081,,,Atkinson,3,93378,Willacoochee,82972,Willacoochee city,C1,,9999,,20060,"Douglas, GA Micropolitan Statistical Area",99999,,0,1,1308,3528,N,,196 Vickers St S,,Willacoochee,GA,31650,2304,,31650,96,1,31650230496,S,,,,1,F,,,,90% Overall probable correctness,31.339008,-83.049038,S,,R,R,** Street-Level Rooftop **,13003,1382972,13003960100,130039601001,1382972,2020/08/24 16,57,41+00,119664
720,-84.160197,31.578625,720,GA129,Housing Authority of the County of Lee,9124344500,9124344502,,2294344500,2294344502,wmyles@albanyha.com,Standard Performer,VERY SMALL (0-49),0,VERY SMALL (0-49),VERY SMALL (0-49),3/31,Low-Rent,0,0,0,0,0,0,0,0,0,0,-4,0,0,121307,121307,0,0,0,0,-4,-4,-4,-4,-4,-4,-4,13,Dougherty,095,011400,2,2027,,,Dougherty,95,93312,West Dougherty,01052,Albany city (part),C1,,0120,"Albany, GA MSA",10500,"Albany, GA Metropolitan Statistical Area",99999,,1,0,1302,0054,Y,,521 Pine Ave,,Albany,GA,31701,2401,,31701,21,8,31701240121,S,,,,0,,,,,100% Overall probable correctness,31.578625,-84.160197,S,,R,U,** Street-Level Rooftop **,13095,1301052,13095011400,130950114002,1301052,2020/08/24 16,57,41+00,-4
721,-84.160197,31.578625,721,GA023,Housing Authority of the City of Albany,2294344500,2294344502,wmyles@albanyha.com,2294344500,2294344502,wmyles@albanyha.com,Standard Performer,MEDIUM HIGH (300-999),86,SMALL (50-99),MEDIUM HIGH (300-999),9/30,Combined,626,626,626,494,53,547,76.83,132,712,576,100,2051321,2051321,1284557,1284557,457389,347112,0,0,589,604,545,14.7,13.05,99.13,9656,13,Dougherty,095,011400,2,2027,,,Dougherty,95,93312,West Dougherty,01052,Albany city (part),C1,,0120,"Albany, GA MSA",10500,"Albany, GA Metropolitan Statistical Area",99999,,1,0,1302,0054,Y,,521 Pine Ave,,Albany,GA,31701,2401,,31701,21,8,31701240121,S,,,,2,,,,,80% Overall probable correctness,31.578625,-84.160197,S,,R,U,** Street-Level Rooftop **,13095,1301052,13095011400,130950114002,1301052,2020/08/24 16,57,41+00,4125103
722,-84.224134,32.08752,722,GA062,Housing Authority of the City of Americus,2299243386,2299244941,ceohaa@gmail.com,2299249235,2299244941,ceohaa@gmail.com,Standard Performer,MEDIUM HIGH (300-999),716,MEDIUM HIGH (300-999),"LARGE (1,000-4,999)",9/30,Combined,480,479,480,468,675,1143,95.65,11,1195,1137,99.47,1929442,1929442,1323241,1323241,3594367,3520281,0,0,536,532,1452,6.27,7.18,99.21,9492,13,Sumter,261,950200,2,2054,,,Sumter,261,90090,Americus,02116,Americus city,C1,,9999,,11140,"Americus, GA Micropolitan Statistical Area",99999,,0,1,1302,0120,Y,,825 Mayo St,,Americus,GA,31709,2627,,31709,25,6,31709262725,S,,,,2,D,,,,80% Overall probable correctness,32.08752,-84.224134,S,,R,U,** Street-Level Rooftop **,13261,1302116,13261950200,132619502002,1302116,2020/08/24 16,57,41+00,7151385
723,-83.649493,31.701276,723,GA087,Housing Authority of the City of Ashburn,2295674668,2295670060,rogerjonesaha@gmail.com,2295674668,2295670060,rogerjonesaha@gmail.com,Standard Performer,MEDIUM LOW (100-299),0,VERY SMALL (0-49),MEDIUM LOW (100-299),12/31,Low-Rent,168,168,168,163,0,163,97.02,5,168,163,100,457043,457043,354623,354623,0,0,0,0,415,425,130,24.21,10.69,99.39,10518,13,Turner,287,970200,5,5044,,,Turner,287,90134,Ashburn-Sycamore,03236,Ashburn city,C1,,9999,,99999,,99999,,0,0,1308,0162,Y,,200 Perry Dr Ste 412,,Ashburn,GA,31714,5900,,31714,12,7,31714590012,H,412,Ste,,0,,,,,100% Overall probable correctness,31.701276,-83.649493,S,,R,U,** Street-Level Rooftop **,13287,1303236,13287970200,132879702005,1303236,2020/08/24 16,57,41+00,811666
724,-84.207299,31.218246,724,GA096,Housing Authority of the City of Camilla,9123368543,9123368805,,2293368543,2293368805,pjt@camillahousingauthority.net,Standard Performer,MEDIUM HIGH (300-999),0,VERY SMALL (0-49),MEDIUM HIGH (300-999),3/31,Low-Rent,435,435,435,419,0,419,96.32,16,435,417,99.52,1538433,1538433,990060,990060,0,0,0,0,503,507,456,8.85,10.99,97.36,10505,13,Mitchell,205,090400,3,3039,,,Mitchell,205,90522,Camilla,12624,Camilla city,C1,,9999,,99999,,99999,,0,0,1302,0516,Y,,51 Hilliard St,,Camilla,GA,31730,2370,,31730,51,8,31730237051,S,,,,0,,,,,100% Overall probable correctness,31.218246,-84.207299,S,,R,U,** Street-Level Rooftop **,13205,1312624,13205090400,132050904003,1312624,2020/08/24 16,57,41+00,2528493
725,-76.618215,40.967743,725,PA032,The Housing Authority of Montour County,5702753640,5702753615,mocoha@ptd.net,5702753640,5702753615,mocoha@ptd.net,High Performer,MEDIUM LOW (100-299),156,MEDIUM LOW (100-299),MEDIUM LOW (100-299),6/30,Combined,115,115,115,113,99,212,78.23,2,271,210,99.06,230974,230974,270157,270157,551053,513363,0,0,399,404,97,23.66,20,100,12742,42,Montour,093,050300,5,5006,,,Montour,93,18136,Danville,18136,Danville borough,C5,,9999,,14100,"Bloomsburg-Berwick, PA Metropolitan Statistical Area",99999,,1,0,4209,1560,Y,,102 Beaver Pl,,Danville,PA,17821,1038,,17821,2,7,17821103802,S,,,,0,,,,,100% Overall probable correctness,40.967743,-76.618215,S,,R,U,** Street-Level Rooftop **,42093,4218136,42093050300,420930503005,4218136,2020/08/24 16,57,41+00,1021865
726,-76.904299,40.960494,726,PA082,Housing Authority of the County of Union,5705221300,5705221329,B.quigley@unioncountyhousingauthority.org,5705221300,,b.quigley@unioncountyhousingauthority.org,,,529,MEDIUM HIGH (300-999),MEDIUM HIGH (300-999),9/30,Section 8,0,0,0,0,484,484,91.5,0,529,484,100,0,0,0,0,2432871,2329818,0,0,502,462,390,14.3,15.95,99.59,12570,42,Union,119,090600,3,3011,,,Union,119,20888,East Buffalo,43704,Linntown CDP,U1,,9999,,30260,"Lewisburg, PA Micropolitan Statistical Area",99999,,0,1,4212,3834,Y,,1610 Industrial Blvd Ste 400,,Lewisburg,PA,17837,1292,,17837,0,0,17837129200,H,400,Ste,,0,,,,,100% Overall probable correctness,40.960494,-76.904299,S,,R,U,** Street-Level Rooftop **,42119,4243704,42119090600,421190906003,4211920888,2020/08/24 16,57,41+00,2607364
727,-77.05635,40.788975,727,PA092,Snyder County Housing Authority,5708373979,5708370575,denise_g_miller@verizon.net,5708373979,5708370575,denise_g_miller@verizon.net,Standard Performer,VERY SMALL (0-49),292,MEDIUM LOW (100-299),MEDIUM HIGH (300-999),6/30,Combined,40,40,40,33,145,178,53.61,7,332,180,100,144615,144615,95760,95760,954272,1002461,0,0,372,361,85,25.34,20.89,98.33,13002,42,Snyder,109,070300,5,5036,,,Snyder,109,48960,Middleburg,48960,Middleburg borough,C5,,9999,,42780,"Selinsgrove, PA Micropolitan Statistical Area",99999,,0,1,4212,4332,Y,,106 Drake Ct,,Middleburg,PA,17842,1048,,17842,6,9,17842104806,S,,,,0,,,,,100% Overall probable correctness,40.788975,-77.05635,S,,R,R,** Street-Level Rooftop **,42109,4248960,42109070300,421090703005,4248960,2020/08/24 16,57,41+00,805166
728,-76.856147,41.015762,728,PA060,Housing Auth of the County of Northumberland,5707428797,5707424701,ed_christiano@hotmail.com,5707428797,,ed_christiano@hotmail.com,High Performer,MEDIUM LOW (100-299),464,MEDIUM HIGH (300-999),MEDIUM HIGH (300-999),3/31,Combined,200,200,200,196,397,593,89.31,4,664,597,100,393776,393776,485475,485475,1668821,1699794,0,0,380,380,338,25.14,16.98,99.16,11845,42,Northumberland,097,080300,6,6007,,,Northumberland,97,50016,Milton,50016,Milton borough,C5,,9999,,44980,"Sunbury, PA Micropolitan Statistical Area",99999,,0,1,4212,4473,D,,50 Mahoning St,,Milton,PA,17847,1021,,17847,99,1,17847102199,H,1SUD,,,0,,,N,,100% Overall probable correctness,41.015762,-76.856147,S,,R,U,** Street-Level Rooftop **,42097,4250016,42097080300,420970803006,4250016,2020/08/24 16,57,41+00,2716109
729,-76.557177,40.791302,729,PA055,Shamokin Housing Authority,5706440431,5706449193,sha2@ptd.net,5706440431,5706449193,sha2@ptd.net,Standard Performer,MEDIUM LOW (100-299),221,MEDIUM LOW (100-299),MEDIUM HIGH (300-999),9/30,Combined,202,202,202,194,129,323,76.36,8,423,324,100,562665,562665,412536,412536,623756,852772,0,0,423,455,214,19.66,14.07,99.69,10566,42,Northumberland,097,081500,4,4013,,,Northumberland,97,69600,Shamokin,69600,Shamokin city,C5,,9999,,44980,"Sunbury, PA Micropolitan Statistical Area",99999,,0,1,4209,6246,Y,,1 E Independence St,,Shamokin,PA,17872,6803,,17872,1,7,17872680301,S,,,,0,,,,,100% Overall probable correctness,40.791302,-76.557177,S,,R,U,** Street-Level Rooftop **,42097,4269600,42097081500,420970815004,4269600,2020/08/24 16,57,41+00,1724760
