,notice_title,URL,Date of Notice, Event Number,Rapid Response Specialist,Reason Stated for Filing,Company,County,WDB Name, Region,Contact,Phone,Business Type,Number Affected,Total Employees,Layoff Date,Closing Date,Reason for Dislocation,FEIN NUM,Union,Classification,Amended
1860,Renaissance New York Chelsea - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7359, 3/20/2020, 2019-0649, Stuart Goldberg, Temporary Plant Closing,"      Renaissance New York Chelsea 112 West 25th Street New York, NY 10001", New York , NEW YORK CITY , New York City," Julie Cho, General Counsel", (973) 865-7019, Hotel,34,34, 3/20/2020, 3/21/2020, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Closing,
1861,Soho 54 Hotel - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7360, 3/20/2020, 2019-0648, Stuart Goldberg, Temporary Plant Closing,"      Soho 54 Hotel 54 Watts Street New York, NY 10013", New York , NEW YORK CITY , New York City," Julie Cho, General Counsel", (973) 865-7019, Hotel,37,37, 3/19/2020, 3/24/2020, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Closing,
1862,Four Points by Sheraton New York Downtown Financial District - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7361, 3/20/2020, 2019-0642, Stuart Goldberg, Temporary Plant Closing,"      Four Points by Sheraton New York Downtown Financial District 6 Platt Street New York, NY 10038", New York , NEW YORK CITY , New York City," Julie Cho, General Counsel", (973) 865-7019, Hotel,43,43, 3/24/2020, 3/24/2020, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Closing,
1863,Four Points by Sheraton Manhattan Chelsea - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7362, 3/20/2020, 2019-0641, Stuart Goldberg, Temporary Plant Closing,"      Four Points by Sheraton Manhattan Chelsea 158-60 West 25th Street New York, NY 10001", New York , NEW YORK CITY , New York City," Julie Cho, General Counsel", (973) 865-7019, Hotel,39,39, 3/24/2020, 3/24/2020, Unforeseeable business circumstances prompted by COVID-19, -----," New York Hotel & Motel Trades Council, AFL-CIO", Temporary Plant Closing,
1864,Prince Sullivan LLC dba The Dutch - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7363, 3/26/2020, 2019-0654, Stuart Goldberg, Temporary Plant Closing,"      Prince Sullivan LLC dba The Dutch 131 Sullivan St. New York, NY 10012", New York , NEW YORK CITY , New York City," Jonathan Moldenhauer, Director of Human Resources", (646) 442-7856, Restaurant,120,120, 3/15/2020, 3/15/2020, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Closing,
1865,WV Hospitality LLC Leuca/Westlight/William Vale Hotel - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7364, 3/26/2020, 2019-0656, Stuart Goldberg, Temporary Plant Closing,"      WV Hospitality LLC Leuca/Westlight/William Vale Hotel 111 N. 12th Street Brooklyn, NY 11249", Kings , NEW YORK CITY , New York City," Jonathan Moldenhauer, Director of Human Resources", (646) 442-7856, Restaurant,195,195, 3/15/2020, 3/15/2020, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Closing,
1866,Lafayette Street Partners II LLC dba Lafayette - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7365, 3/26/2020, 2019-0657, Stuart Goldberg, Temporary Plant Closing,"      Lafayette Street Partners II LLC dba Lafayette 380 Lafayette St. New York, NY 10003", New York , NEW YORK CITY , New York City," Jonathan Moldenhauer, Director of Human Resources", (646) 442-7856, Restaurant,149,149, 3/15/2020, 3/15/2020, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Closing,
1867,"Carmine's Broadway Feast, Inc. - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=7273, 3/17/2020, 2019-0538, Stuart Goldberg, Temporary Plant Layoff,"      Carmine's Broadway Feast, Inc. 2450 Broadway New York, NY 10024", New York , NEW YORK CITY , New York City," Jeffrey Bank, CEO", (212) 675-7722, Restaurant,159, -----, 3/16/2020, -----, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Layoff,
1868,Crowne Plaza HY36 Midtown Manhattan - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7274, 3/19/2020, 2019-0544, Stuart Goldberg, Temporary Plant Layoff,"      Crowne Plaza HY36 Midtown Manhattan 320 W. 36th Street New York, NY 10018", New York , NEW YORK CITY , New York City, Estela Cajas, (646) 928-3803, Hotel,55, -----, 3/25/2020, -----, Unforeseeable business circumstances prompted by COVID-19, -----," New York Hotel & Motel Trades Council, AFL-CIO", Temporary Plant Layoff,
1869,"Russo's Payroll Group, Inc. (Russos on the Bay, Vetro Restaurant, and Russos Fresh Gourmet) - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=7275, 3/16/2020, 2019-0546, Stuart Goldberg, Temporary Plant Closing,"      Russo's Payroll Group, Inc. (Russo’s on the Bay, Vetro Restaurant, and Russo’s Fresh Gourmet)162-45 Cross Bay Blvd. Howard Beach, NY", Queens , NEW YORK CITY , New York City," Michael Russo, Operations Manager", (718) 848-9634, Restaurant,429, -----, 3/16/2020, -----, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Closing,
1870,"Schatzi Corp, Wallse Restaurant - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=7276, 3/20/2020, 2019-0542, Stuart Goldberg, Temporary Plant Closing,"      Schatzi Corp, Wallse Restaurant 344 West 11 St. New York, NY 10014", New York , NEW YORK CITY , New York City," Kurk Gutenbrunner, President", (917) 415-5574, Restaurant,32,32, 3/16/2020, 3/16/2020, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Closing,
1871,Rocco's Tacos and Tequila Bar - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7277, 3/19/2020, 2019-0543, Stuart Goldberg, Temporary Plant Closing,"      Rocco's Tacos and Tequila Bar 339 Adams St Suite 2700 Brooklyn, NY 11201", Kings , NEW YORK CITY , New York City," Lini Bobrick, HR Director", (561) 659-1490, Restaurant,88,88, 3/19/2020, 3/19/2020, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Closing,
1872,The Plaza - Sahara Plaza LLC - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7278, 3/19/2020, 2019-0517, Stuart Goldberg, Temporary Plant Layoff,"      The Plaza - Sahara Plaza LLC 768 Fifth Ave New York, NY 10019", New York , NEW YORK CITY , New York City," Karen Wenger, Director, Talent & Culture", (212) 546-5214, Hotel,251, -----, 3/22/2020, -----, Unforeseeable business circumstances prompted by COVID-19, -----," Local 6, Local 153, Local 3, and Local 94", Temporary Plant Layoff,
1873,XFF Kitchen LLC - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7279, 3/18/2020, 2019-0516, Stuart Goldberg, Temporary Plant Layoff,"      XFF Kitchen LLC 55-01 37th Ave. Queens, NY 11377", Queens , NEW YORK CITY , New York City," Jason Wang, CEO", (646) 209-8242, Restaurant,54, -----, 3/18/2020, -----, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Layoff,
1874,147 West 46th Operating Inc. (TGIF Restaurant) - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7280, 3/18/2020, 2019-0519, Stuart Goldberg, Temporary Plant Closing,"      147 West 46th Operating Inc. (TGIF Restaurant) 147 West 46th St New York, NY", New York , NEW YORK CITY , New York City," Brett Trimarchi, District Manager", (917) 836-1250, Restaurant,53,53, 3/16/2020, 3/16/2020, Unforeseeable business circumstances prompted by COVID-19, 46-1142366, The employees are not represented by a union, Temporary Plant Closing,
1875,211 West 34 Operating LLC (TGIF Restaurant) - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7281, 3/18/2020, 2019-0520, Stuart Goldberg, Temporary Plant Closing,"      211 West 34 Operating LLC (TGIF Restaurant) 211 West 34th Sr New York, NY", New York , NEW YORK CITY , New York City," Brett Trimarchi, District Manager", (917) 836-1250, Restaurant,43,43, 3/16/2020, 3/16/2020, Unforeseeable business circumstances prompted by COVID-19, 61-1698367, The employees are not represented by a union, Temporary Plant Closing,
1876,No. 604 5th Ave. Inc.  (TGIF Restaurant) - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7282, 3/18/2020, 2019-0522, Stuart Goldberg, Temporary Plant Closing,"      No. 604 5th Ave. Inc. (TGIF Restaurant) 604 Fifth Ave New York, NY", New York , NEW YORK CITY , New York City," Brett Trimarchi, District Manager", (917) 836-1250, Restaurant,60,60, 3/16/2020, 3/16/2020, Unforeseeable business circumstances prompted by COVID-19, 13-1964056, The employees are not represented by a union, Temporary Plant Closing,
1877,47 Realtop Corp. (TGIF Restaurant) - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7283, 3/18/2020, 2019-0523, Stuart Goldberg, Temporary Plant Closing,"      47 Realtop Corp. (TGIF Restaurant) 47 Broadway New York, NY", New York , NEW YORK CITY , New York City," Brett Trimarchi, District Manager", (917) 836-1250, Restaurant,29,29, 3/16/2020, 3/16/2020, Unforeseeable business circumstances prompted by COVID-19, 13-2636170, The employees are not represented by a union, Temporary Plant Closing,
1878,Taft Friday 50 St. LLC (TGIF Restaurant) - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7284, 3/18/2020, 2019-0524, Stuart Goldberg, Temporary Plant Closing,"      Taft Friday 50 St. LLC (TGIF Restaurant) 761 7th Avenue New York, NY", New York , NEW YORK CITY , New York City," Brett Trimarchi, District Manager", (917) 836-1250, Restaurant,53,53, 3/16/2020, 3/16/2020, Unforeseeable business circumstances prompted by COVID-19, 13-3909866, The employees are not represented by a union, Temporary Plant Closing,
1879,The Mermaid Holding Company LLC and The Mermaid Inn (3 locations) - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7285, 3/15/2020, 2019-0423, Stuart Goldberg, Temporary Plant Closing,"      The Mermaid Holding Company:LLC and The Mermaid Inn (3 locations) 570 Amsterdam Ave New York, NY 10024", New York , NEW YORK CITY , New York City," Susie Chester, Controller", (212) 799-2666, Hotel,6, 185 (Total affected workers across all locations), 3/15/2020, 3/15/2020, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Closing,
1880,"Kg715 Inc., Upholstery Store - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=7286, 3/20/2020, 2019-0556, Stuart Goldberg, Temporary Plant Closing,"      Kg715 Inc., Upholstery Store 713-715 Washington St. New York, NY 10014", New York , NEW YORK CITY , New York City," Kurt Gutenbrunner, President", (917) 415-5574, Retail,7,7, 3/16/2020, 3/16/2020, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Closing,
1881,The Sofitel New York - Normandy LLC - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7287, 3/17/2020, 2019-0554, Stuart Goldberg, Temporary Plant Layoff,"      The Sofitel New York - Normandy LLC 45 West 44th Street New York, NY 10036", New York , NEW YORK CITY , New York City," Bill McCarthy, Director, Talent & Culture", (212) 782-3028, Hotel,85, -----, 3/22/2020, -----, Unforeseeable business circumstances prompted by COVID-19, -----," Local 6, Local 153, Local 3, and Local 94", Temporary Plant Layoff,
1882,CUT by Wolfgang Puck - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7288, 3/18/2020, 2019-0553, Stuart Goldberg, Temporary Plant Layoff,"      CUT by Wolfgang Puck Four Seasons Hotel, 99 Church St. New York, NY 10007", New York , NEW YORK CITY , New York City," Michael Lubitz, CFO", (702) 463-2020, Restaurant,74, -----, 3/29/2020, -----, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Layoff,
1883,Le Bernardin - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7289, 3/20/2020, 2019-0552, Stuart Goldberg, Temporary Plant Closing,"      Le Bernardin 787 7th Ave. New York, NY 10019", New York , NEW YORK CITY , New York City," Katie Broad, Director of Operations", (860) 803-0560, Restaurant, -----, -----, 3/19/2020, 3/19/2020, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Closing,
1884,EVEN Hotel Times Square South - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7290, 3/19/2020, 2019-0549, Stuart Goldberg, Temporary Plant Layoff,"      EVEN Hotel Times Square South 321 W. 35th Street New York, NY 10001", New York , NEW YORK CITY , New York City, Estela Cajas, (646) 928-3803, Hotel,35, -----, 3/24/2020, -----, Unforeseeable business circumstances prompted by COVID-19, -----," New York Hotel & Motel Trades Council, AFL-CIO", Temporary Plant Layoff,
1885,"Lobster Place, Inc. - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=7291, 3/18/2020, 2019-0528, Stuart Goldberg, Temporary Plant Closing,"      Lobster Place, Inc. 3 NYC locations New York/Bronx, NY", New York/Bronx , NEW YORK CITY , New York City," Karen Newman, Director of Human Resources", (646) 346-1925, Restaurant,246,246, 3/20/2020, 3/20/2020, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Closing,
1886,Indikitch (5 NYC locations) - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7292, 3/19/2020, 2019-0527, Stuart Goldberg, Temporary Plant Layoff,"      Indikitch (5 NYC locations) 25 W. 23rd Street New York, NY 10010", New York , NEW YORK CITY , New York City," James Okeefe, Director of HR", (908) 810-7500, Restaurant, -----, -----," March 18, 2020", -----, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Layoff,
1887,246 Spring Street NY LLC dba The Dominick - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7293, 3/19/2020, 2019-0526, Stuart Goldberg, Temporary Plant Layoff,"      246 Spring Street NY LLC dba The Dominick 246 Spring Street New York, NY 10013", New York , NEW YORK CITY , New York City, Paola Guerrero, (212) 842-5537, Hotel,48,48, 3/19/2020, -----, Unforeseeable business circumstances prompted by COVID-19, -----," New York Hotel & Motel Trades Council, AFL-CIO", Temporary Plant Layoff,
1888,38 MacDougal LLC dba Shuka - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7294, 3/16/2020, 2019-0525, Stuart Goldberg, Temporary Plant Closing,"      38 MacDougal LLC dba Shuka 38 MacDougal St. New York, NY 10012", New York , NEW YORK CITY , New York City," Anna Marie McCullagh, Director of Operations", (917) 670-7904, Restaurant,93,93, 3/16/2020, 3/16/2020, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Closing,
1889,MEXCHESTER LLC dba BLOCKHEADS BURRITOS - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7295, 3/17/2020, 2019-0581, Stuart Goldberg, Temporary Plant Closing,"      MEXCHESTER LLC dba BLOCKHEADS BURRITOS 60 Third Ave New York, NY 10003", New York , NEW YORK CITY , New York City," Ken Sofer, Member", (917) 709-4462, Restaurant,27, -----, 3/17/2020, -----, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Closing,
1890,The Roger Hotel - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7296, 3/24/2020, 2019-0571, Stuart Goldberg, Temporary Plant Closing,"      The Roger Hotel 131 Madison Ave New York, NY 10016", New York , NEW YORK CITY , New York City," James K. Baumann, General Councel and Senior VP", (310) 268-8344, Hotel,50,50, 3/29/2020, 3/29/2020, Unforeseeable business circumstances prompted by COVID-19, -----," New York Hotel & Motel Trades Council, AFL-CIO", Temporary Plant Closing,
1891,"Standard East Village Employer, LLC - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=7297, 3/21/2020, 2019-0559, Stuart Goldberg, Temporary Plant Closing,"      Standard East Village Employer, LLC 25 Cooper Square New York, NY 10003", New York , NEW YORK CITY , New York City," Mark Tisdale, Human Resources Manager", (646) 845-8735, Hotel,71,71, 3/22/2020, 3/22/2020, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Closing,
1892,"Marlton Hotel Operating, LLC - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=7298, 3/19/2020, 2019-0560, Stuart Goldberg, Temporary Plant Layoff,"      Marlton Hotel Operating, LLC 5 West 8th St. New York, NY 10011", New York , NEW YORK CITY , New York City," Eric Rosenfeld, General Manager", (212) 321-0100, Hotel,97, -----, 3/18/2020, -----, Unforeseeable business circumstances prompted by COVID-19, -----," New York Hotel & Motel Trades Council, AFL-CIO", Temporary Plant Layoff,
1893,Luxe Life Hotel - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7299, 3/20/2020, 2019-0562, Stuart Goldberg, Temporary Plant Layoff,"      Luxe Life Hotel 19th West 31st Street New York, NY 10001", New York , NEW YORK CITY , New York City," Ferran Sanfelimon, General Manager", (917) 495-6766, Hotel,15, -----, 3/22/2020, -----, Unforeseeable business circumstances prompted by COVID-19, -----," New York Hotel & Motel Trades Council, AFL-CIO", Temporary Plant Layoff,
1894,Pump 80 Pine LLC dba DIG - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7300, 3/24/2020, 2019-0598, Stuart Goldberg, Temporary Plant Layoff,"      Pump 80 Pine LLC dba DIG 80 Pine Street New York, NY 10005", New York , NEW YORK CITY , New York City," Melinda Sharretts, Human Resources Director", (212) 545-7867, Restaurant,31, -----, 3/18/2020, -----, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Layoff,
1895,Pump 52nd Street LLC dba DIG - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7301, 3/24/2020, 2019-0599, Stuart Goldberg, Temporary Plant Layoff,"      Pump 52nd Street LLC dba DIG 150 East 52nd Street New York, NY 10022", New York , NEW YORK CITY , New York City," Melinda Sharretts, Human Resources Director", (212) 545-7867, Restaurant,26, -----, 3/18/2020, -----, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Layoff,
1896,55th Street Restaurant Operating LLC dba DIG - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7302, 3/24/2020, 2019-0601, Stuart Goldberg, Temporary Plant Closing,"      55th Street Restaurant Operating LLC dba DIG 40 West 55th Street New York, NY 10019", New York , NEW YORK CITY , New York City," Melinda Sharretts, Human Resources Director", (212) 545-7867, Restaurant,22,22, 3/18/2020, 3/18/2020, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Closing,
1897,Cachet Boutique NYC - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7303, 3/22/2020, 2019-0569, Stuart Goldberg, Temporary Plant Closing,"      Cachet Boutique NYC 510 W. 42nd Street New York, NY 10036", New York , NEW YORK CITY , New York City, Human Resources Department, (212) 632-9007, Hotel,40,40, 3/22/2020, 3/22/2020, Unforeseeable business circumstances prompted by COVID-19, -----," New York Hotel & Motel Trades Council, AFL-CIO", Temporary Plant Closing,
1898,Pump 275 Madison Ave Restaurant Operating LLC aka DIG - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7304, 3/24/2020, 2019-0600, Stuart Goldberg, Temporary Plant Closing,"      Pump 275 Madison Ave Restaurant Operating LLC aka DIG 275 Madison Ave. New York, NY 10016", New York , NEW YORK CITY , New York City," Melinda Sharretts, Human Resources Director", (212) 545-7867, Restaurant,23,23, 3/23/2020, 3/23/2020, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Closing,
1899,Dig Inn 1319 First Avenue LLC dba DIG  - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7305, 3/24/2020, 2019-0602, Stuart Goldberg, Temporary Plant Closing/Layoff,"      Dig Inn 1319 First Avenue LLC dba DIG 12 NYC sites New York, NY", New York , NEW YORK CITY , New York City," Melinda Sharretts, Human Resources Director", (212) 454-7867, Restaurant,273, -----, 3/18/2020, 3/18/2020, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Closing/Layoff,
1900,"The Carlyle, LLC dba The Carlyle, A Rosewood Hotel - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=7306, 3/20/2020, 2019-0537, Stuart Goldberg, Temporary Plant Layoff,"      The Carlyle, LLC dba The Carlyle, A Rosewood Hotel 35 East 76th Street New York, NY 10021", New York , NEW YORK CITY , New York City," Anthony McHale, Managing Director", (212) 570-7100, Hotel,250, -----, 3/23/2020, -----, Unforeseeable business circumstances prompted by COVID-19, -----," New York Hotel & Motel Trades Council, AFL-CIO", Temporary Plant Layoff,
1901,"OTG JFK T5 Venture, LLC - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=7307, 3/22/2020, 2019-0550, Stuart Goldberg, Temporary Plant Layoff,"      OTG JFK T5 Venture, LLC JFK International Airport T5 Jamaica, NY 11430", Queens , NEW YORK CITY , New York City, Starr Ernest, (267) 273-5521, Restaurant,362, -----, 3/16/2020, -----, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Layoff,
1902,CASA 91 LLC dba BLOCKHEADS BURRITOS - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7308, 3/17/2020, 2019-0577, Stuart Goldberg, Temporary Plant Closing,"      CASA 91 LLC dba BLOCKHEADS BURRITOS 175 West 90th Street New York, NY 10024", New York , NEW YORK CITY , New York City," Ken Sofer, Member", (917) 709-4462, Restaurant,18,18, 3/17/2020, 3/17/2020, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Closing,
1903,Warp Weft World Inc. - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7309, 3/23/2020, 2019-0573, Stuart Goldberg, Temporary Plant Layoff,"      Warp Weft World Inc. 121 Varick St. New York, NY 10013", New York , NEW YORK CITY , New York City, Rati Bhandari, (646) 514-9738, Retail,8, -----, 3/23/2020, -----, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Layoff,
1904,BENNY'S BURRITOS Inc. - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7310, 3/17/2020, 2019-0574, Stuart Goldberg, Temporary Plant Closing,"      BENNY'S BURRITOS Inc. 113 Greenwich Ave. New York, NY 10014", New York , NEW YORK CITY , New York City," Ken Sofer, President", (917) 709-4462, Restaurant,26,26, 3/17/2020, 3/17/2020, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Closing,
1905,"Red Rooster Harlem, LLC - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=7311, 3/20/2020, 2019-0583, Stuart Goldberg, Temporary Plant Closing,"      Red Rooster Harlem, LLC 310 Lenox Ave. New York, NY 10027", New York , NEW YORK CITY , New York City," Nancy Vasquez, Human Resources Director", (646) 290-9393, Restaurant,138,138, 3/16/2020, 3/16/2020, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Closing,
1906,White Walker LLC dba Frenchette - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7312, 3/16/2020, 2019-0585, Stuart Goldberg, Temporary Plant Closing,"      White Walker LLC dba Frenchette 241 W. Broadway New York, NY 10013", New York , NEW YORK CITY , New York City," John Connolly, Director of Operations", (718) 916-0454, Restaurant,111, -----, 3/16/2020, -----, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Closing,
1907,MEXAMENT LLC dba MEXAMENT - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7313, 3/17/2020, 2019-0580, Stuart Goldberg, Temporary Plant Closing,"      MEXAMENT LLC dba MEXAMENT 104 East 121st St. New York, NY 10035", New York , NEW YORK CITY , New York City," Ken Sofer, Member", (917) 709-4462, Restaurant,13,13, 3/17/2020, 3/17/2020, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Closing,
1908,954 SECOND CORP dba BLOCKHEADS BURRITOS - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7314, 3/17/2020, 2019-0578, Stuart Goldberg, Temporary Plant Closing,"      954 SECOND CORP dba BLOCKHEADS BURRITOS 954 Second Ave. New York, NY 10022", New York , NEW YORK CITY , New York City," Ken Sofer, Member", (917) 709-4462, Restaurant,30,30, 3/17/2020, 3/17/2020, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Closing,
1909,MIL LLC dba MOTHER BURGER - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7315, 3/17/2020, 2019-0582, Stuart Goldberg, Temporary Plant Closing,"      MIL LLC dba MOTHER BURGER 329 West 49th Street New York, NY 10019", New York , NEW YORK CITY , New York City," Ken Sofer, Member", (917) 709-4462, Restaurant,16,16, 3/17/2020, 3/17/2020, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Closing,
1910,BURGER & BARREL (B&B WINEPUB) - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7180, 3/15/2020, 2019-0410, Stuart Goldberg, Temporary Plant Layoff,"BURGER & BARREL (B&B WINEPUB) 25 W. Houston St. New York, NY 10012", New York , NEW YORK CITY , New York City," Joe McDonald, CFO", (212) 334-4900, Restaurant,50, -----, 3/15/2020, -----, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Layoff,
1911,SESSANTA LLC- BISTROT LEO and BUTTERFLY - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7181, 3/15/2020, 2019-0409, Stuart Goldberg, Temporary Plant Layoff,"      SESSANTA LLC- BISTROT LEO and BUTTERFLY 60 Thompson St. New York, NY 10012", New York , NEW YORK CITY , New York City," Joe McDonald, CFO", (212) 334-4900, Restaurant,76, -----, 3/15/2020, -----, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Layoff,
1912,142 Mercer Street LLC - LURE FISHBAR - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7182, 3/15/2020, 2019-0411, Stuart Goldberg, Temporary Plant Layoff,"      142 Mercer Street LLC - LURE FISHBAR 142 Mercer Street New York, NY 10012", New York , NEW YORK CITY , New York City," Joe McDonald, CFO", (212) 334-4900, Restaurant,136, -----, 3/15/2020, -----, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Layoffs,
1913,"Sunny Sky Products, LLC - Western Region",https://labor.ny.gov/app/warn/details.asp?id=7183, 3/16/2020, 2019-0472, Michele Taylor, Plant Closing,"      Sunny Sky Products, LLC 138 Manitoba Street Buffalo, NY 14206", Erie , ERIE , Western," Kelcey Splawn, Human Resources Manager",8323204313, Manufacturing,21,21, 5/1/2020, 5/1/2020, Economic, -----, The employees are not represented by a union, Plant Closing,
1914,"Hotel 35, LLC aka Black Craft Burgers & Beer - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=7184, 3/16/2020, 2019-0415, Stuart Goldberg, Temporary Plant Layoff,"      Hotel 35, LLC aka Black Craft Burgers & Beer 45 West 35th Street New York, NY 10001", New York , NEW YORK CITY , New York City," Alex Estevez, Human Resources Director", (646) 813-1877, Restaurant,88, -----, 3/16/2020, -----, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Layoff,
1915,"Black Tap Midtown, LLC aka Black Tap Craft Burgers & Beer - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=7185, 3/16/2020, 2019-0416, Stuart Goldberg, Temporary Plant Layoff,"      Black Tap Midtown, LLC aka Black Tap Craft Burgers & Beer 136 West 55th Street New York, NY 10019", New York , NEW YORK CITY , New York City," Alex Estevez, Human Resources Director", (646) 813-1877, Restaurant,86, -----, 3/16/2020, -----, Unforeseeable business circumstances prompted by COVID-19,, The employees are not represented by a union, Temporary Plant Layoff,
