Notice Date,Effective Date,Received Date,Company,City,County,Employees,Layoff/Closure,company standardization first pass,Corporate Affiliation,DBA Name,County Orig,Year,Layoff/Closure clean,Population,City 2
09/17/2020,11/15/2020,09/30/2020,"Paradigm Talent Agency,",Beverly Hills,Los Angeles County,79.0,Layoff Permanent,PARADIGM TALENT AGENCY,PARADIGM TALENT AGENCY,PARADIGM TALENT AGENCY,Los Angeles County,2020,layoff permanent,10039107.0,beverly hills
09/29/2020,11/30/2020,09/30/2020,"InterContinental Hotels Group Resources, LLC serving at Staybridge Suites Torrance",Torrance,Los Angeles County,23.0,Layoff Permanent,INTERCONTINENTAL HOTELS GROUP RESOURCES LLC SERVING AT STAYBRIDGE SUITES TORRANCE,INTERCONTINENTAL HOTELS GROUP RESOURCES LLC,INTERCONTINENTAL HOTELS GROUP RESOURCES LLC SERVING AT STAYBRIDGE SUITES TORRANCE,Los Angeles County,2020,layoff permanent,10039107.0,torrance
06/24/2020,07/03/2020,09/30/2020,Honeywell,Torrance,Los Angeles County,67.0,Layoff Permanent,HONEYWELL,HONEYWELL,HONEYWELL,Los Angeles County,2020,layoff permanent,10039107.0,torrance
06/23/2020,07/01/2020,09/30/2020,Entercom,Los Angeles,Los Angeles County,5.0,Layoff Permanent,ENTERCOM,ENTERCOM,ENTERCOM,Los Angeles County,2020,layoff permanent,10039107.0,los angeles
09/30/2020,11/30/2020,09/30/2020,"InterContinental Hotels Group Resources, LLC DBA Candlewood Suites",Santa Ana,Orange County,16.0,Layoff Permanent,INTERCONTINENTAL HOTELS GROUP RESOURCES LLC DBA CANDLEWOOD SUITES,INTERCONTINENTAL HOTELS GROUP RESOURCES LLC,CANDLEWOOD SUITES,Orange County,2020,layoff permanent,3175692.0,santa ana
09/29/2020,11/30/2020,09/30/2020,"InterContinental Hotels Group Resources, LLC serving at Staybridge Suites San Diego-Rancho B",San Diego,San Diego County,23.0,Layoff Permanent,INTERCONTINENTAL HOTELS GROUP RESOURCES LLC SERVING AT STAYBRIDGE SUITES SAN DIEGORANCHO B,INTERCONTINENTAL HOTELS GROUP RESOURCES LLC,INTERCONTINENTAL HOTELS GROUP RESOURCES LLC SERVING AT STAYBRIDGE SUITES SAN DIEGORANCHO B,San Diego County,2020,layoff permanent,3338330.0,san diego
08/25/2020,08/27/2020,09/30/2020,Doubletree Hotels San Francisco-Airport,Burlingame,San Mateo County,17.0,Layoff Permanent,DOUBLETREE HOTELS SAN FRANCISCOAIRPORT,HILTON,DOUBLETREE HOTELS SAN FRANCISCOAIRPORT,San Mateo County,2020,layoff permanent,766573.0,burlingame
09/29/2020,11/12/2020,09/30/2020,CALIFORNIA LUTHERAN UNIVERSITY,Thousand Oaks,Ventura County,17.0,Layoff Permanent,CALIFORNIA LUTHERAN UNIVERSITY,CALIFORNIA LUTHERAN UNIVERSITY,CALIFORNIA LUTHERAN UNIVERSITY,Ventura County,2020,layoff permanent,846006.0,thousand oaks
09/21/2020,09/21/2020,09/30/2020,California Lutheran University,Thousand Oaks,Ventura County,1.0,Closure Temporary,CALIFORNIA LUTHERAN UNIVERSITY,CALIFORNIA LUTHERAN UNIVERSITY,CALIFORNIA LUTHERAN UNIVERSITY,Ventura County,2020,closure temporary,846006.0,thousand oaks
03/17/2020,03/18/2020,10/01/2020,Transportation Charter Services,Orange,Orange County,95.0,Layoff Permanent,TRANSPORTATION CHARTER SERVICES,TRANSPORTATION CHARTER SERVICES,TRANSPORTATION CHARTER SERVICES,Orange County,2020,layoff permanent,3175692.0,orange
06/19/2020,06/19/2020,10/01/2020,Hyatt Corporation dba Hyatt Regency Orange County,Garden Grove,Orange County,237.0,Layoff Permanent,HYATT CORPORATION DBA HYATT REGENCY ORANGE COUNTY,HYATT,HYATT REGENCY ORANGE COUNTY,Orange County,2020,layoff permanent,3175692.0,garden grove
07/02/2020,07/03/2020,10/01/2020,"Alumni Partners, LLC",San Clemente,Orange County,78.0,Layoff Permanent,ALUMNI PARTNERS LLC,ALUMNI PARTNERS LLC,ALUMNI PARTNERS LLC,Orange County,2020,layoff permanent,3175692.0,san clemente
06/24/2020,06/19/2020,10/01/2020,Hyatt Corporation dba Park Hyatt Aviara Resort Golf Club and Spa,Carlsbad,San Diego County,1.0,Layoff Permanent,HYATT CORPORATION DBA PARK HYATT AVIARA RESORT GOLF CLUB AND SPA,HYATT,PARK HYATT AVIARA RESORT GOLF CLUB AND SPA,San Diego County,2020,layoff permanent,3338330.0,carlsbad
03/23/2020,03/17/2020,10/01/2020,YogaWorks,San Francisco,San Francisco County,230.0,Closure Permanent,YOGAWORKS,YOGAWORKS,YOGAWORKS,San Francisco County,2020,closure permanent,881549.0,san francisco
06/24/2020,06/19/2020,10/01/2020,Hyatt Corporation dba Hyatt Regency San Francisco,San Francisco,San Francisco County,23.0,Layoff Permanent,HYATT CORPORATION DBA HYATT REGENCY SAN FRANCISCO,HYATT,HYATT REGENCY SAN FRANCISCO,San Francisco County,2020,layoff permanent,881549.0,san francisco
05/29/2020,05/29/2020,10/01/2020,Sky Chefs Inc.,Los Angeles,Los Angeles County,221.0,Layoff Permanent,SKY CHEFS INC,SKY CHEFS INC,SKY CHEFS INC,Los Angeles County,2020,layoff permanent,10039107.0,los angeles
09/29/2020,11/30/2020,10/01/2020,IHG (Intercontinental Hotels Group) Management serving at Crowne Plaza Hotel LAX,Los Angeles,Los Angeles County,125.0,Layoff Permanent,IHG INTERCONTINENTAL HOTELS GROUP MANAGEMENT SERVING AT CROWNE PLAZA HOTEL LAX,IHG INTERCONTINENTAL HOTELS GROUP MANAGEMENT SERVING AT CROWNE PLAZA HOTEL LAX,IHG INTERCONTINENTAL HOTELS GROUP MANAGEMENT SERVING AT CROWNE PLAZA HOTEL LAX,Los Angeles County,2020,layoff permanent,10039107.0,los angeles
09/30/2020,11/30/2020,10/01/2020,"InterContinental Hotels Group Resources, LLC serving at Staybridge Suites SFO",San Bruno,San Mateo County,36.0,Layoff Permanent,INTERCONTINENTAL HOTELS GROUP RESOURCES LLC SERVING AT STAYBRIDGE SUITES SFO,INTERCONTINENTAL HOTELS GROUP RESOURCES LLC,INTERCONTINENTAL HOTELS GROUP RESOURCES LLC SERVING AT STAYBRIDGE SUITES SFO,San Mateo County,2020,layoff permanent,766573.0,san bruno
06/22/2020,08/14/2020,10/02/2020,Blackhawk Country Club,Danville,Contra Costa County,31.0,Layoff Permanent,BLACKHAWK COUNTRY CLUB,BLACKHAWK COUNTRY CLUB,BLACKHAWK COUNTRY CLUB,Contra Costa County,2020,layoff permanent,1153526.0,danville
09/30/2020,09/30/2020,10/02/2020,"Coldwater, LLC",North Hollywood,Los Angeles County,142.0,Layoff Temporary,COLDWATER LLC,COLDWATER LLC,COLDWATER LLC,Los Angeles County,2020,layoff temporary,10039107.0,north hollywood
08/28/2020,08/28/2020,10/02/2020,Hyatt Corporation dba Hyatt Regency Long Beach,Long Beach,Los Angeles County,32.0,Layoff Permanent,HYATT CORPORATION DBA HYATT REGENCY LONG BEACH,HYATT,HYATT REGENCY LONG BEACH,Los Angeles County,2020,layoff permanent,10039107.0,long beach
06/26/2020,06/27/2020,10/02/2020,Hyatt Corporation dba Carmel Valley Ranch,Carmel,Monterey County,76.0,Layoff Permanent,HYATT CORPORATION DBA CARMEL VALLEY RANCH,HYATT,CARMEL VALLEY RANCH,Monterey County,2020,layoff permanent,434061.0,carmel
08/28/2020,08/28/2020,10/02/2020,Hyatt Corporation dba Carmel Valley Ranch,Carmel,Monterey County,47.0,Layoff Permanent,HYATT CORPORATION DBA CARMEL VALLEY RANCH,HYATT,CARMEL VALLEY RANCH,Monterey County,2020,layoff permanent,434061.0,carmel
08/14/2020,08/14/2020,10/02/2020,Hyatt Regency Orange County,Garden Grove,Orange County,2.0,Layoff Permanent,HYATT REGENCY ORANGE COUNTY,HYATT,HYATT REGENCY ORANGE COUNTY,Orange County,2020,layoff permanent,3175692.0,garden grove
07/07/2020,07/03/2020,10/02/2020,Hyatt Corporation dba Hyatt Regency Orange County,Garden Grove,Orange County,52.0,Layoff Permanent,HYATT CORPORATION DBA HYATT REGENCY ORANGE COUNTY,HYATT,HYATT REGENCY ORANGE COUNTY,Orange County,2020,layoff permanent,3175692.0,garden grove
06/30/2020,06/30/2020,10/02/2020,Hoag Memorial Hospital Presbyterian,Newport Beach,Orange County,218.0,Layoff Temporary,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,Orange County,2020,layoff temporary,3175692.0,newport beach
09/29/2020,12/04/2020,10/02/2020,"Disney Destinations, LLC",Anaheim,Orange County,95.0,Layoff Permanent,DISNEY DESTINATIONS LLC,DISNEY,DISNEY DESTINATIONS LLC,Orange County,2020,layoff permanent,3175692.0,anaheim
09/29/2020,12/04/2020,10/02/2020,Disney Entertainment Productions,Anaheim,Orange County,128.0,Layoff Permanent,DISNEY ENTERTAINMENT PRODUCTIONS,DISNEY,DISNEY ENTERTAINMENT PRODUCTIONS,Orange County,2020,layoff permanent,3175692.0,anaheim
09/29/2020,12/04/2020,10/02/2020,Disney Entertainment Productions,Orange,Orange County,1.0,Layoff Permanent,DISNEY ENTERTAINMENT PRODUCTIONS,DISNEY,DISNEY ENTERTAINMENT PRODUCTIONS,Orange County,2020,layoff permanent,3175692.0,orange
09/29/2020,12/04/2020,10/02/2020,"DVD, Inc.",Anaheim,Orange County,83.0,Layoff Permanent,DVD INC,DVD INC,DVD INC,Orange County,2020,layoff permanent,3175692.0,anaheim
09/29/2020,12/04/2020,10/02/2020,"Walt Disney Travel Co., Inc.",Anaheim,Orange County,74.0,Layoff Permanent,WALT DISNEY TRAVEL CO INC,DISNEY,WALT DISNEY TRAVEL CO INC,Orange County,2020,layoff permanent,3175692.0,anaheim
09/30/2020,11/30/2020,10/02/2020,IHG Management LLC,Anaheim,Orange County,58.0,Layoff Permanent,IHG MANAGEMENT LLC,IHG MANAGEMENT LLC,IHG MANAGEMENT LLC,Orange County,2020,layoff permanent,3175692.0,anaheim
07/01/2020,06/20/2020,10/02/2020,TriWest,Rancho Cordova,Sacramento County,56.0,Layoff Permanent,TRIWEST,TRIWEST,TRIWEST,Sacramento County,2020,layoff permanent,1552058.0,rancho cordova
09/29/2020,12/04/2020,10/02/2020,"Walt Disney Parks and Resorts U.S.,",Ontario,San Bernardino County,1.0,Layoff Permanent,WALT DISNEY PARKS AND RESORTS US INC,DISNEY,WALT DISNEY PARKS AND RESORTS US INC,San Bernardino County,2020,layoff permanent,2180085.0,ontario
07/10/2020,07/07/2020,10/02/2020,Stones South Bay Corp. dba Seven Mile Casino,Chula Vista,San Diego County,261.0,Layoff Temporary,STONES SOUTH BAY CORP DBA SEVEN MILE CASINO,STONES SOUTH BAY CORP,SEVEN MILE CASINO,San Diego County,2020,layoff temporary,3338330.0,chula vista
06/29/2020,06/19/2020,10/02/2020,Hyatt Corporation dba Grand Hyatt San Diego,San Diego,San Diego County,624.0,Layoff Permanent,HYATT CORPORATION DBA GRAND HYATT SAN DIEGO,HYATT,GRAND HYATT SAN DIEGO,San Diego County,2020,layoff permanent,3338330.0,san diego
08/14/2020,08/07/2020,10/02/2020,Hyatt Corporation dba Hyatt Regency La Jolla,San Diego,San Diego County,96.0,Layoff Permanent,HYATT CORPORATION DBA HYATT REGENCY LA JOLLA,HYATT,HYATT REGENCY LA JOLLA,San Diego County,2020,layoff permanent,3338330.0,san diego
06/25/2020,06/19/2020,10/02/2020,Hyatt Corporation dba Grand Hyatt San Francisco,San Francisco,San Francisco County,28.0,Layoff Permanent,HYATT CORPORATION DBA GRAND HYATT SAN FRANCISCO,HYATT,GRAND HYATT SAN FRANCISCO,San Francisco County,2020,layoff permanent,881549.0,san francisco
06/26/2020,08/09/2020,10/02/2020,nVent Thermal,Redwood City,San Mateo County,62.0,Layoff Temporary,NVENT THERMAL LLC,NVENT THERMAL LLC,NVENT THERMAL LLC,San Mateo County,2020,layoff temporary,766573.0,redwood city
06/26/2020,07/12/2020,10/02/2020,nVent Thermal LLC,Redwood City,San Mateo County,62.0,Layoff Temporary,NVENT THERMAL LLC,NVENT THERMAL LLC,NVENT THERMAL LLC,San Mateo County,2020,layoff temporary,766573.0,redwood city
09/22/2020,09/25/2020,10/02/2020,Hyatt Corporation,Santa Clara,Santa Clara County,1.0,Layoff Permanent,HYATT CORPORATION,HYATT,HYATT CORPORATION,Santa Clara County,2020,layoff permanent,1927852.0,santa clara
09/29/2020,09/29/2020,10/02/2020,Flex,Milpitas,Santa Clara County,25.0,Layoff Type Unknown,FLEX,FLEX,FLEX,Santa Clara County,2020,layoff type uncategorized,1927852.0,milpitas
06/19/2020,06/19/2020,10/02/2020,Hyatt Corporation dba Hyatt Regency Santa Clara,Santa Clara,Santa Clara County,201.0,Layoff Permanent,HYATT CORPORATION DBA HYATT REGENCY SANTA CLARA,HYATT,HYATT REGENCY SANTA CLARA,Santa Clara County,2020,layoff permanent,1927852.0,santa clara
09/30/2020,11/30/2020,10/02/2020,"Intercontinental Hotels Group Resources, LLC servicing  Staybridge Suites Chatsworth",Chatsworth,Los Angeles County,34.0,Layoff Permanent,INTERCONTINENTAL HOTELS GROUP RESOURCES LLC SERVICING  STAYBRIDGE SUITES CHATSWORTH,INTERCONTINENTAL HOTELS GROUP RESOURCES LLC,INTERCONTINENTAL HOTELS GROUP RESOURCES LLC SERVICING  STAYBRIDGE SUITES CHATSWORTH,Los Angeles County,2020,layoff permanent,10039107.0,chatsworth
06/24/2020,06/24/2020,10/02/2020,AltaMed,Commerce,Los Angeles County,12.0,Layoff Permanent,ALTAMED,ALTAMED,ALTAMED,Los Angeles County,2020,layoff permanent,10039107.0,commerce
05/08/2020,07/17/2020,10/02/2020,Allergan plc,Irvine,Orange County,54.0,Layoff Permanent,ALLERGAN PLC,ALLERGAN PLC,ALLERGAN PLC,Orange County,2020,layoff permanent,3175692.0,irvine
07/02/2020,06/19/2020,10/02/2020,Rancho Valencia Resort & Spa (RVR),Rancho Santa Fe,San Diego County,129.0,Layoff Temporary,RANCHO VALENCIA RESORT  SPA RVR,RANCHO VALENCIA RESORT  SPA,RANCHO VALENCIA RESORT  SPA RVR,San Diego County,2020,layoff temporary,3338330.0,rancho santa fe
07/01/2020,07/01/2020,10/02/2020,"Delta C, LP dba Kings Card Club and Westlane Card Room",Stockton,San Joaquin County,157.0,Closure Temporary,DELTA C LP DBA KINGS CARD CLUB AND WESTLANE CARD ROOM,DELTA C LP,KINGS CARD CLUB AND WESTLANE CARD ROOM,San Joaquin County,2020,closure temporary,762148.0,stockton
09/30/2020,11/30/2020,10/02/2020,IHG Management (Intercontinental Hotels Group),Milpitas,Santa Clara County,50.0,Layoff Permanent,IHG MANAGEMENT INTERCONTINENTAL HOTELS GROUP,IHG MANAGEMENT LLC,IHG MANAGEMENT INTERCONTINENTAL HOTELS GROUP,Santa Clara County,2020,layoff permanent,1927852.0,milpitas
09/29/2020,01/29/2021,10/05/2020,Corning Optical Communications LLC DBA TR Manufacturing,Union City,Alameda County,196.0,Layoff Permanent,CORNING OPTICAL COMMUNICATIONS LLC DBA TR MANUFACTURING,CORNING OPTICAL COMMUNICATIONS LLC,TR MANUFACTURING,Alameda County,2020,layoff permanent,1671329.0,union city
10/01/2020,09/30/2020,10/05/2020,"Grapevine Entertainment, Inc",Bakersfield,Kern County,84.0,Layoff Type Unknown,GRAPEVINE ENTERTAINMENT INC,GRAPEVINE ENTERTAINMENT INC,GRAPEVINE ENTERTAINMENT INC,Kern County,2020,layoff type uncategorized,900202.0,bakersfield
10/01/2020,09/30/2020,10/05/2020,Hollywood and Vine Club LLC,Los Angeles,Los Angeles County,85.0,Layoff Type Unknown,HOLLYWOOD AND VINE CLUB LLC,HOLLYWOOD AND VINE CLUB LLC,HOLLYWOOD AND VINE CLUB LLC,Los Angeles County,2020,layoff type uncategorized,10039107.0,los angeles
07/13/2020,07/19/2020,10/05/2020,Ruth's Chris Steak House,Beverly Hills,Los Angeles County,47.0,Closure Permanent,RUTHS CHRIS STEAK HOUSE,RUTHS CHRIS STEAK HOUSE,RUTHS CHRIS STEAK HOUSE,Los Angeles County,2020,closure permanent,10039107.0,beverly hills
08/03/2020,10/19/2020,10/05/2020,Horizon Air - Los Angeles International Airport,Los Angeles,Los Angeles County,370.0,Closure Permanent,HORIZON AIR  LOS ANGELES INTERNATIONAL AIRPORT,HORIZON AIR  LOS ANGELES INTERNATIONAL AIRPORT,HORIZON AIR  LOS ANGELES INTERNATIONAL AIRPORT,Los Angeles County,2020,closure permanent,10039107.0,los angeles
09/30/2020,11/30/2020,10/05/2020,IHG Management LLC,Anaheim,Orange County,19.0,Layoff Permanent,IHG MANAGEMENT LLC,IHG MANAGEMENT LLC,IHG MANAGEMENT LLC,Orange County,2020,layoff permanent,3175692.0,anaheim
05/29/2020,07/14/2020,10/05/2020,The Westin Mission Hills Golf Resort & Spa,Rancho Mirage,Riverside County,351.0,Layoff Permanent,THE WESTIN MISSION HILLS GOLF RESORT  SPA,THE WESTIN,THE WESTIN MISSION HILLS GOLF RESORT  SPA,Riverside County,2020,layoff permanent,2470546.0,rancho mirage
10/01/2020,09/30/2020,10/05/2020,Deja Vu Showgirls - Sacramento LLC,Rancho Cordova,Sacramento County,90.0,Layoff Type Unknown,DEJA VU SHOWGIRLS  SACRAMENTO LLC,DEJA VU SHOWGIRLS  SACRAMENTO LLC,DEJA VU SHOWGIRLS  SACRAMENTO LLC,Sacramento County,2020,layoff type uncategorized,1552058.0,rancho cordova
07/10/2020,07/13/2020,10/05/2020,PSG California LLC,Grand Terrace,San Bernardino County,184.0,Layoff Temporary,PSG CALIFORNIA LLC,PSG CALIFORNIA LLC,PSG CALIFORNIA LLC,San Bernardino County,2020,layoff temporary,2180085.0,grand terrace
07/10/2020,07/15/2020,10/05/2020,PSG California LLC,Grand Terrace,San Bernardino County,5.0,Layoff Permanent,PSG CALIFORNIA LLC,PSG CALIFORNIA LLC,PSG CALIFORNIA LLC,San Bernardino County,2020,layoff permanent,2180085.0,grand terrace
10/01/2020,09/30/2020,10/05/2020,Ontario Food & Beverage LLC,Ontario,San Bernardino County,71.0,Layoff Type Unknown,ONTARIO FOOD  BEVERAGE LLC,ONTARIO FOOD  BEVERAGE LLC,ONTARIO FOOD  BEVERAGE LLC,San Bernardino County,2020,layoff type uncategorized,2180085.0,ontario
10/01/2020,09/30/2020,10/05/2020,Showgirls of San Diego,San Diego,San Diego County,70.0,Layoff Type Unknown,SHOWGIRLS OF SAN DIEGO,SHOWGIRLS OF SAN DIEGO,SHOWGIRLS OF SAN DIEGO,San Diego County,2020,layoff type uncategorized,3338330.0,san diego
10/01/2020,09/30/2020,10/05/2020,"Stockton Enterprises, LLC",Stockton,San Joaquin County,99.0,Layoff Type Unknown,STOCKTON ENTERPRISES LLC,STOCKTON ENTERPRISES LLC,STOCKTON ENTERPRISES LLC,San Joaquin County,2020,layoff type uncategorized,762148.0,stockton
10/02/2020,09/30/2020,10/05/2020,Vince LLC,Palo Alto,Santa Clara County,4.0,Layoff Permanent,VINCE LLC,VINCE LLC,VINCE LLC,Santa Clara County,2020,layoff permanent,1927852.0,palo alto
06/24/2020,08/01/2020,10/05/2020,Levy Premium Foodservice Limited Partnership,Santa Clara,Santa Clara County,25.0,Layoff Permanent,LEVY PREMIUM FOODSERVICE LIMITED PARTNERSHIP,LEVY PREMIUM FOODSERVICE LP,LEVY PREMIUM FOODSERVICE LIMITED PARTNERSHIP,Santa Clara County,2020,layoff permanent,1927852.0,santa clara
09/17/2020,10/26/2020,10/05/2020,"Amentum,",San Diego,San Diego County,4.0,Layoff Permanent,AMENTUM,AMENTUM,AMENTUM,San Diego County,2020,layoff permanent,3338330.0,san diego
06/04/2020,03/07/2020,10/05/2020,The Westin St. Francis San Francisco On Union Square,San Francisco,San Francisco County,940.0,Layoff Temporary,THE WESTIN ST FRANCIS SAN FRANCISCO ON UNION SQUARE,THE WESTIN,THE WESTIN ST FRANCIS SAN FRANCISCO ON UNION SQUARE,San Francisco County,2020,layoff temporary,881549.0,san francisco
07/07/2020,07/15/2020,10/05/2020,Veritiv Operating Company,Downey,Los Angeles County,47.0,Layoff Permanent,VERITIV OPERATING COMPANY,VERITIV OPERATING COMPANY,VERITIV OPERATING COMPANY,Los Angeles County,2020,layoff permanent,10039107.0,downey
09/21/2020,08/14/2020,10/06/2020,Hyatt Corporation dba Grand Hyatt San Diego,San Diego,San Diego County,35.0,Layoff Temporary,HYATT CORPORATION DBA GRAND HYATT SAN DIEGO,HYATT,GRAND HYATT SAN DIEGO,San Diego County,2020,layoff temporary,3338330.0,san diego
10/05/2020,10/16/2020,10/06/2020,NortonLifeLock Inc.,Mountain View,Santa Clara County,12.0,Layoff Permanent,NORTONLIFELOCK INC,NORTONLIFELOCK INC,NORTONLIFELOCK INC,Santa Clara County,2020,layoff permanent,1927852.0,mountain view
06/03/2020,05/09/2020,10/06/2020,"NBCUniversal Media, LLC",Universal City,Los Angeles County,53.0,Layoff Temporary,NBCUNIVERSAL MEDIA LLC,NBCUNIVERSAL MEDIA LLC,NBCUNIVERSAL MEDIA LLC,Los Angeles County,2020,layoff temporary,10039107.0,universal city
07/13/2020,05/03/2020,10/06/2020,"Universal City Studios, LLC dba Universal Studios Hollywood",Universal City,Los Angeles County,117.0,Layoff Temporary,UNIVERSAL CITY STUDIOS LLC DBA UNIVERSAL STUDIOS HOLLYWOOD,UNIVERSAL CITY STUDIOS LLC,UNIVERSAL STUDIOS HOLLYWOOD,Los Angeles County,2020,layoff temporary,10039107.0,universal city
06/24/2020,06/24/2020,10/06/2020,Aloft El Segundo Los Angeles,El Segundo,Los Angeles County,38.0,Layoff Permanent,ALOFT EL SEGUNDO LOS ANGELES,ALOFT EL SEGUNDO,ALOFT EL SEGUNDO LOS ANGELES,Los Angeles County,2020,layoff permanent,10039107.0,el segundo
07/30/2020,08/08/2020,10/06/2020,"Universal City Studios, LLC dba Universal Studios Hollywood",Universal City,Los Angeles County,517.0,Layoff Temporary,UNIVERSAL CITY STUDIOS LLC DBA UNIVERSAL STUDIOS HOLLYWOOD,UNIVERSAL CITY STUDIOS LLC,UNIVERSAL STUDIOS HOLLYWOOD,Los Angeles County,2020,layoff temporary,10039107.0,universal city
08/24/2020,05/11/2020,10/06/2020,"Universal City Studios, LLC dba Universal Studios Hollywood",Universal City,Los Angeles County,59.0,Layoff Temporary,UNIVERSAL CITY STUDIOS LLC DBA UNIVERSAL STUDIOS HOLLYWOOD,UNIVERSAL CITY STUDIOS LLC,UNIVERSAL STUDIOS HOLLYWOOD,Los Angeles County,2020,layoff temporary,10039107.0,universal city
01/29/2020,03/31/2020,10/06/2020,Mendocino Coast District Hospital,Fort Bragg,Mendocino County,250.0,Layoff Permanent,MENDOCINO COAST DISTRICT HOSPITAL,MENDOCINO COAST DISTRICT HOSPITAL,MENDOCINO COAST DISTRICT HOSPITAL,Mendocino County,2020,layoff permanent,86749.0,fort bragg
05/21/2020,06/23/2020,10/06/2020,Bon Appetit Management Co. operation at Airbnb,San Francisco,San Francisco County,241.0,Closure Type Unknown,BON APPETIT MANAGEMENT CO OPERATION AT AIRBNB,BON APPETIT,BON APPETIT MANAGEMENT CO OPERATION AT AIRBNB,San Francisco County,2020,closure type uncategorized,881549.0,san francisco
07/22/2020,12/31/2020,10/06/2020,"Ichor Systems, Inc.",Union City,Alameda County,78.0,Closure Permanent,ICHOR SYSTEMS INC,ICHOR SYSTEMS INC,ICHOR SYSTEMS INC,Alameda County,2020,closure permanent,1671329.0,union city
06/29/2020,07/01/2020,10/06/2020,ClassPass Inc.,San Francisco,San Francisco County,8.0,Layoff Permanent,CLASSPASS INC,CLASSPASS INC,CLASSPASS INC,San Francisco County,2020,layoff permanent,881549.0,san francisco
09/29/2020,11/30/2020,10/06/2020,"InterContinental Hotels Group Resources, LLC (IHG)",San Jose,Santa Clara County,25.0,Layoff Permanent,INTERCONTINENTAL HOTELS GROUP RESOURCES LLC IHG,INTERCONTINENTAL HOTELS GROUP RESOURCES LLC,INTERCONTINENTAL HOTELS GROUP RESOURCES LLC IHG,Santa Clara County,2020,layoff permanent,1927852.0,san jose
09/30/2020,09/28/2020,10/07/2020,Centric Brands Inc.,Los Angeles,Los Angeles County,1.0,Layoff Permanent,CENTRIC BRANDS INC,CENTRIC BRANDS INC,CENTRIC BRANDS INC,Los Angeles County,2020,layoff permanent,10039107.0,los angeles
09/18/2020,09/25/2020,10/07/2020,Centric Brands,Los Angeles,Los Angeles County,5.0,Layoff Permanent,CENTRIC BRANDS,CENTRIC BRANDS INC,CENTRIC BRANDS,Los Angeles County,2020,layoff permanent,10039107.0,los angeles
03/31/2020,03/31/2020,10/07/2020,"All About Parking, Inc. (AAP)",San Mateo,San Mateo County,98.0,Layoff Permanent,ALL ABOUT PARKING INC AAP,ALL ABOUT PARKING,ALL ABOUT PARKING INC AAP,San Mateo County,2020,layoff permanent,766573.0,san mateo
09/30/2020,12/22/2020,10/07/2020,Kaiser Foundation,Modesto,Stanislaus County,5.0,Layoff Permanent,KAISER FOUNDATION,KAISER FOUNDATION,KAISER FOUNDATION,Stanislaus County,2020,layoff permanent,550660.0,modesto
10/01/2020,10/01/2020,10/08/2020,Electro Rent,Canoga Park,Los Angeles County,25.0,Layoff Temporary,ELECTRO RENT,ELECTRO RENT,ELECTRO RENT,Los Angeles County,2020,layoff temporary,10039107.0,canoga park
10/08/2020,12/14/2020,10/08/2020,Chevron,El Segundo,Los Angeles County,50.0,Layoff Permanent,CHEVRON,CHEVRON,CHEVRON,Los Angeles County,2020,layoff permanent,10039107.0,el segundo
10/06/2020,12/04/2020,10/08/2020,Adventist Health Howard Memorial,Willits,Mendocino County,1.0,Layoff Permanent,ADVENTIST HEALTH HOWARD MEMORIAL,ADVENTIST HEALTH,ADVENTIST HEALTH HOWARD MEMORIAL,Mendocino County,2020,layoff permanent,86749.0,willits
06/12/2020,06/12/2020,10/08/2020,"MV Transportation, Inc. - Omni Trans/San Bernardino",San Bernardino,San Bernardino County,63.0,Closure Permanent,MV TRANSPORTATION INC  OMNI TRANSSAN BERNARDINO,MV TRANSPORTATION INC,MV TRANSPORTATION INC  OMNI TRANSSAN BERNARDINO,San Bernardino County,2020,closure permanent,2180085.0,san bernardino
10/07/2020,10/09/2020,10/08/2020,ABM Aviation LAX Employee Parking Shuttle,Los Angeles,Los Angeles County,61.0,Layoff Permanent,ABM AVIATION LAX EMPLOYEE PARKING SHUTTLE,ABM AVIATION,ABM AVIATION LAX EMPLOYEE PARKING SHUTTLE,Los Angeles County,2020,layoff permanent,10039107.0,los angeles
10/07/2020,12/07/2020,10/08/2020,"Bottling Group, LLC",Baldwin Park,Los Angeles County,161.0,Closure Permanent,BOTTLING GROUP LLC,BOTTLING GROUP LLC,BOTTLING GROUP LLC,Los Angeles County,2020,closure permanent,10039107.0,baldwin park
10/09/2020,12/17/2020,10/09/2020,"Trio Engineered Products, Inc.",Azusa,Los Angeles County,10.0,Closure Permanent,TRIO ENGINEERED PRODUCTS INC,TRIO ENGINEERED PRODUCTS INC,TRIO ENGINEERED PRODUCTS INC,Los Angeles County,2020,closure permanent,10039107.0,azusa
10/08/2020,10/08/2020,10/09/2020,Shultz Steel Company,South Gate,Los Angeles County,52.0,Layoff Permanent,SHULTZ STEEL COMPANY,SHULTZ STEEL COMPANY,SHULTZ STEEL COMPANY,Los Angeles County,2020,layoff permanent,10039107.0,south gate
10/08/2020,10/26/2020,10/09/2020,IMAX,Playa Vista,Los Angeles County,50.0,Layoff Temporary,IMAX,IMAX,IMAX,Los Angeles County,2020,layoff temporary,10039107.0,playa vista
